Wall time,Step,Value
1567125735.454784,128,0.2421875
1567125735.459508,256,0.28125
1567125735.4626749,384,0.3125
1567125735.465568,512,0.3359375
1567125735.468267,640,0.3203125
1567125735.471887,768,0.265625
1567125735.475094,896,0.296875
1567125735.478047,1024,0.3359375
1567125735.481,1152,0.359375
1567125735.483836,1280,0.3203125
1567125735.487028,1408,0.3359375
1567125735.490466,1536,0.4140625
1567125735.493258,1664,0.3203125
1567125735.4965901,1792,0.328125
1567125735.4999092,1920,0.3984375
1567125735.502986,2048,0.46875
1567125735.5073469,2176,0.4140625
1567125735.511154,2193,0.4117647111415863
1567125737.9722261,2193,0.33880528807640076
1567125737.976542,2321,0.421875
1567125737.979188,2449,0.4375
1567125737.9822888,2577,0.4609375
1567125737.9856992,2705,0.515625
1567125737.98908,2833,0.5234375
1567125737.992914,2961,0.484375
1567125737.9968798,3089,0.390625
1567125738.000056,3217,0.5078125
1567125738.0030148,3345,0.5078125
1567125738.006589,3473,0.4375
1567125738.009658,3601,0.5078125
1567125738.0125592,3729,0.515625
1567125738.0158908,3857,0.453125
1567125738.01891,3985,0.5390625
1567125738.021918,4113,0.609375
1567125738.024874,4241,0.6171875
1567125738.028564,4369,0.5625
1567125738.031109,4386,0.529411792755127
1567125738.054624,4386,0.49977201223373413
1567125738.059534,4514,0.6015625
1567125738.063756,4642,0.6015625
1567125738.067965,4770,0.6875
1567125738.072118,4898,0.71875
1567125738.076163,5026,0.6328125
1567125738.0800772,5154,0.609375
1567125738.0845492,5282,0.609375
1567125738.0887868,5410,0.6875
1567125738.0924969,5538,0.625
1567125738.095674,5666,0.609375
1567125738.098805,5794,0.625
1567125738.101951,5922,0.640625
1567125738.105004,6050,0.5625
1567125738.108167,6178,0.7734375
1567125738.112315,6306,0.6796875
1567125738.1155179,6434,0.6640625
1567125738.119466,6562,0.6953125
1567125738.1236749,6579,0.6470588445663452
1567125738.148226,6579,0.6484268307685852
1567125738.152577,6707,0.71875
1567125738.156589,6835,0.7265625
1567125738.160055,6963,0.7265625
1567125738.163556,7091,0.7109375
1567125738.167466,7219,0.75
1567125738.171742,7347,0.703125
1567125738.1758249,7475,0.6953125
1567125738.17953,7603,0.7265625
1567125738.183464,7731,0.671875
1567125738.186899,7859,0.7578125
1567125738.1912498,7987,0.78125
1567125738.1945128,8115,0.671875
1567125738.1974819,8243,0.7265625
1567125738.200494,8371,0.8125
1567125738.204234,8499,0.796875
1567125738.208781,8627,0.8046875
1567125738.212029,8755,0.78125
1567125738.215316,8772,0.7647058963775635
1567125738.243099,8772,0.7391700744628906
1567125738.248321,8900,0.8046875
1567125738.252876,9028,0.734375
1567125738.256754,9156,0.796875
1567125738.260421,9284,0.78125
1567125738.2643042,9412,0.765625
1567125738.2684312,9540,0.71875
1567125738.272407,9668,0.7890625
1567125738.276048,9796,0.765625
1567125738.2800782,9924,0.734375
1567125738.283912,10052,0.7734375
1567125738.287758,10180,0.7109375
1567125738.2925599,10308,0.7734375
1567125738.2967758,10436,0.71875
1567125738.301028,10564,0.7890625
1567125738.305825,10692,0.7734375
1567125738.3099258,10820,0.8203125
1567125738.3139079,10948,0.75
1567125738.3167129,10965,0.9411764740943909
1567125738.342696,10965,0.7660738825798035
1567125738.3478389,11093,0.7265625
1567125738.352748,11221,0.71875
1567125738.357388,11349,0.7109375
1567125738.361405,11477,0.734375
1567125738.3649971,11605,0.78125
1567125738.368712,11733,0.765625
1567125738.3728461,11861,0.7578125
1567125738.376843,11989,0.7734375
1567125738.385779,12117,0.8125
1567125738.38927,12245,0.828125
1567125738.392832,12373,0.7890625
1567125738.395893,12501,0.7578125
1567125738.399738,12629,0.796875
1567125738.403661,12757,0.71875
1567125738.407572,12885,0.75
1567125738.411555,13013,0.84375
1567125738.414887,13141,0.828125
1567125738.417509,13158,0.8823529481887817
1567125738.442229,13158,0.7710898518562317
1567125738.447197,13286,0.796875
1567125738.451946,13414,0.7734375
1567125738.4562728,13542,0.7734375
1567125738.4601102,13670,0.8125
1567125738.4639528,13798,0.765625
1567125738.467627,13926,0.765625
1567125738.471827,14054,0.78125
1567125738.4760818,14182,0.78125
1567125738.479452,14310,0.796875
1567125738.482429,14438,0.7578125
1567125738.485687,14566,0.8125
1567125738.489273,14694,0.7890625
1567125738.492509,14822,0.6953125
1567125738.495716,14950,0.8046875
1567125738.4993432,15078,0.7734375
1567125738.50256,15206,0.8125
1567125738.5065322,15334,0.8046875
1567125738.5149,15351,0.8235294222831726
1567125738.540191,15351,0.7824897170066833
1567125738.5457249,15479,0.8359375
1567125738.549679,15607,0.7265625
1567125738.553417,15735,0.8125
1567125738.5572,15863,0.796875
1567125738.5607092,15991,0.7578125
1567125738.5639849,16119,0.78125
1567125738.5674329,16247,0.7890625
1567125738.5714371,16375,0.8046875
1567125738.575053,16503,0.7734375
1567125738.578388,16631,0.796875
1567125738.581344,16759,0.7421875
1567125738.584192,16887,0.828125
1567125738.5873458,17015,0.78125
1567125738.590535,17143,0.7734375
1567125738.593494,17271,0.828125
1567125738.597018,17399,0.8203125
1567125738.600461,17527,0.765625
1567125738.603497,17544,0.8235294222831726
1567125738.63006,17544,0.7893297076225281
