Wall time,Step,Value
1567128816.855798,96,0.375
1567128817.376137,304,0.4375
1567128817.611966,400,0.4375
1567128818.235115,656,0.6875
1567128818.315258,688,0.5625
1567128818.4321358,736,0.625
1567128818.746764,864,0.5625
1567128818.866063,912,0.75
1567128819.450751,1152,0.75
1567128819.5701802,1200,0.5625
1567128820.361108,1520,0.75
1567128820.672429,1648,0.625
1567128820.821492,1712,0.8125
1567128821.5860422,2032,0.8125
1567129340.2268538,2209,0.6875
1567129340.65396,2385,0.875
1567129340.84098,2465,0.8125
1567129340.954397,2513,0.875
1567129341.293118,2657,0.75
1567129341.709258,2833,0.875
1567129341.895998,2913,0.625
1567129341.970864,2945,0.75
1567129342.008032,2961,0.5625
1567129342.1571,3025,0.6875
1567129342.458324,3153,0.5625
1567129342.8054159,3297,0.75
1567129342.994743,3377,0.8125
1567129343.407237,3553,0.6875
1567129343.637568,3649,0.8125
1567129343.826279,3729,0.75
1567129344.388397,3969,0.6875
1567129344.619509,4065,0.875
1567129344.808044,4145,0.5
1567129345.067681,4257,0.6875
1567129345.215957,4321,0.75
1567129345.291256,4353,0.875
1567129348.903092,4626,0.8125
1567129349.0898392,4706,0.75
1567129349.31475,4802,0.9375
1567129349.5059578,4882,0.875
1567129349.584376,4914,0.9375
1567129349.8810492,5042,0.875
1567129350.330318,5234,0.75
1567129350.6710222,5378,0.75
1567129350.969665,5506,0.6875
1567129351.579603,5762,0.875
1567129351.729965,5826,1.0
1567129352.104171,5986,0.5625
1567129356.641759,6659,0.8125
1567129356.679423,6675,1.0
1567129357.312976,6947,0.8125
1567129357.3872068,6979,0.75
1567129357.4253418,6995,0.6875
1567129357.5382771,7043,0.8125
1567129358.105685,7283,0.875
1567129358.21779,7331,0.8125
1567129358.254772,7347,0.9375
1567129358.637766,7507,0.6875
1567129359.269301,7779,0.8125
1567129359.344426,7811,0.875
1567129360.130504,8147,0.75
1567129360.240491,8195,0.75
1567129360.5421162,8323,0.875
1567129360.771779,8419,0.8125
1567129360.8457558,8451,0.8125
1567129360.958726,8499,0.9375
1567129361.181387,8595,0.9375
1567129361.3702211,8675,1.0
1567129364.6668632,8804,0.6875
1567129364.89036,8900,0.75
1567129365.280287,9060,0.75
1567129365.511629,9156,0.875
1567129365.5856729,9188,0.75
1567129365.771172,9268,0.875
1567129365.808811,9284,0.9375
1567129366.3672168,9524,0.6875
1567129367.045058,9812,0.8125
1567129367.120118,9844,0.875
1567129367.570773,10036,0.875
1567129367.8316832,10148,0.9375
1567129367.869271,10164,0.875
1567129367.944837,10196,0.75
1567129368.056339,10244,0.75
1567129368.130829,10276,0.9375
1567129368.583544,10468,0.8125
1567129368.699283,10516,0.625
1567129368.849906,10580,0.75
1567129368.96173,10628,0.75
1567129369.0734038,10676,0.8125
1567129369.223022,10740,0.8125
1567129369.4112608,10820,1.0
1567129369.600885,10900,0.8125
1567129373.497515,11285,0.625
1567129373.6505432,11349,0.75
1567129373.799813,11413,0.8125
1567129373.8365068,11429,0.75
1567129374.0985012,11541,0.75
1567129374.439168,11685,0.8125
1567129374.588703,11749,0.5625
1567129374.741396,11813,0.625
1567129374.9297721,11893,0.8125
1567129375.0799649,11957,0.875
1567129375.417092,12101,0.9375
1567129375.565653,12165,0.9375
1567129375.609272,12181,0.75
1567129375.645314,12197,0.9375
1567129375.7190661,12229,1.0
1567129375.978801,12341,0.75
1567129376.1644459,12421,0.6875
1567129376.239816,12453,0.875
1567129376.4283168,12533,0.875
1567129376.503047,12565,0.875
1567129376.6589398,12629,0.75
1567129376.808898,12693,0.6875
1567129377.034836,12789,0.875
1567129377.071706,12805,0.875
1567129377.94113,13158,1.0
1567129380.9985778,13206,0.8125
1567129382.237647,13734,0.9375
1567129382.424364,13814,0.75
1567129382.499445,13846,0.6875
1567129382.7271838,13942,0.6875
1567129383.0281112,14070,0.8125
1567129383.251977,14166,0.8125
1567129383.402828,14230,0.9375
1567129383.670568,14342,0.6875
1567129383.745607,14374,0.875
