Wall time,Step,Value
1567130964.1841102,96,0.1875
1567130964.984271,304,0.375
1567130965.3505049,400,0.1875
1567130966.3269691,656,0.1875
1567130966.4480488,688,0.375
1567130966.6452851,736,0.25
1567130967.1346262,864,0.5
1567130967.31792,912,0.375
1567130968.242694,1152,0.4375
1567130968.428691,1200,0.4375
1567130969.6576462,1520,0.6875
1567130970.146881,1648,0.5
1567130970.393481,1712,0.5
1567130971.596541,2032,0.75
1567131646.264204,2209,0.8125
1567131646.712885,2385,0.5
1567131646.913734,2465,0.5625
1567131647.0339131,2513,0.4375
1567131647.393449,2657,0.875
1567131647.8370602,2833,0.5
1567131648.0377579,2913,0.6875
1567131648.116728,2945,0.75
1567131648.157408,2961,0.8125
1567131648.319345,3025,0.6875
1567131648.6434639,3153,0.625
1567131649.003654,3297,0.625
1567131649.2039711,3377,0.75
1567131649.65216,3553,0.5625
1567131649.890898,3649,0.5625
1567131650.095392,3729,0.625
1567131650.696455,3969,0.8125
1567131650.941998,4065,0.9375
1567131651.139699,4145,0.6875
1567131651.421649,4257,0.6875
1567131651.58423,4321,0.625
1567131651.666141,4353,0.75
1567131656.118127,4626,0.8125
1567131656.318845,4706,0.6875
1567131656.560552,4802,0.8125
1567131656.7631512,4882,0.875
1567131656.841696,4914,0.875
1567131657.1604831,5042,0.8125
1567131657.648465,5234,0.75
1567131658.008777,5378,0.9375
1567131658.326646,5506,0.6875
1567131658.978024,5762,0.5625
1567131659.1356091,5826,0.75
1567131659.5325599,5986,0.6875
1567131665.002903,6659,0.8125
1567131665.042779,6675,0.8125
1567131665.725151,6947,0.75
1567131665.8042612,6979,0.8125
1567131665.844057,6995,0.6875
1567131665.964782,7043,0.75
1567131666.5621681,7283,0.8125
1567131666.6885152,7331,0.5625
1567131666.7294028,7347,0.8125
1567131667.1318982,7507,0.6875
1567131667.8127549,7779,0.75
1567131667.89194,7811,1.0
1567131668.730473,8147,0.9375
1567131668.8479922,8195,0.875
1567131669.1754298,8323,0.8125
1567131669.4176939,8419,0.875
1567131669.498431,8451,0.6875
1567131669.6183732,8499,0.875
1567131669.859333,8595,0.8125
1567131670.064898,8675,0.875
1567131674.167535,8804,0.625
1567131674.413849,8900,0.6875
1567131674.81423,9060,0.6875
1567131675.053431,9156,0.8125
1567131675.132465,9188,0.875
1567131675.330476,9268,0.5625
1567131675.3717718,9284,0.5625
1567131675.973599,9524,0.75
1567131676.6925771,9812,0.9375
1567131676.7720718,9844,0.625
1567131677.251749,10036,0.75
1567131677.5356932,10148,0.75
1567131677.575572,10164,0.625
1567131677.654936,10196,0.875
1567131677.7764218,10244,0.875
1567131677.854322,10276,0.75
1567131678.335563,10468,0.8125
1567131678.453151,10516,0.875
1567131678.6112561,10580,0.75
1567131678.7322721,10628,0.9375
1567131678.851125,10676,0.875
1567131679.010113,10740,0.75
1567131679.207231,10820,0.9375
1567131679.407564,10900,0.75
1567131680.7334652,11285,0.75
1567131680.8912919,11349,0.875
1567131681.051538,11413,0.75
1567131681.090422,11429,0.875
1567131681.37209,11541,0.8125
1567131681.7338,11685,1.0
1567131681.893698,11749,0.75
1567131682.054038,11813,0.75
1567131682.252502,11893,1.0
1567131682.4114292,11957,0.625
1567131682.7736268,12101,0.875
1567131682.935561,12165,0.8125
1567131682.980818,12181,0.9375
1567131683.019485,12197,0.9375
1567131683.0993521,12229,0.6875
1567131683.37763,12341,0.875
1567131683.579378,12421,0.6875
1567131683.661124,12453,0.6875
1567131683.858238,12533,0.8125
1567131683.944524,12565,0.8125
1567131684.103206,12629,0.6875
1567131684.262474,12693,0.875
1567131684.499298,12789,0.875
1567131684.5384371,12805,0.8125
1567131685.4631019,13158,1.0
1567131689.2999492,13206,0.9375
1567131690.634421,13734,0.75
1567131690.8313532,13814,0.8125
1567131690.912792,13846,0.9375
1567131691.15099,13942,0.8125
1567131691.475431,14070,0.9375
1567131691.7163498,14166,0.9375
1567131691.878549,14230,0.875
1567131692.157377,14342,0.875
1567131692.236096,14374,0.8125
1567131692.4789,14470,0.9375
1567131692.5592692,14502,0.8125
1567131693.119151,14726,0.625
1567131693.1583328,14742,0.8125
1567131693.562067,14902,1.0
1567131693.682098,14950,1.0
1567131694.039346,15094,0.8125
1567131694.2003589,15158,0.875
1567131694.362942,15222,1.0
1567131694.725824,15351,1.0
1567131695.048548,15351,0.8340173363685608
1567131695.2902641,15447,0.8125
1567131695.3306491,15463,0.8125
1567131695.535276,15543,0.6875
1567131696.015848,15735,0.6875
1567131696.2539022,15831,0.75
1567131696.3723872,15879,0.875
1567131696.737406,16023,0.875
1567131696.8552861,16071,0.875
1567131697.174413,16199,0.8125
1567131697.660466,16391,0.875
1567131697.938134,16503,0.9375
1567131698.4569201,16711,0.75
1567131698.699573,16807,0.875
1567131698.818779,16855,0.9375
1567131698.897661,16887,0.9375
1567131699.057745,16951,0.9375
1567131699.215615,17015,0.875
1567131699.294345,17047,0.75
1567131699.49424,17127,0.875
1567131699.533959,17143,0.9375
1567131699.895413,17287,0.875
1567131700.1358972,17383,0.8125
1567131700.2971368,17447,0.9375
1567131700.337209,17463,0.875
1567131701.028197,17592,0.9375
