Wall time,Step,Value
1566982957.104196,32,0.0625
1566982957.196058,64,0.0
1566982957.289126,96,0.0625
1566982957.335687,112,0.1875
1566982957.431793,144,0.4375
1566982957.526293,176,0.125
1566982957.573269,192,0.375
1566982957.6483672,208,0.6875
1566982957.6962528,224,0.25
1566982957.74335,240,0.3125
1566982957.790761,256,0.1875
1566982957.838315,272,0.0625
1566982957.8857641,288,0.3125
1566982957.933579,304,0.125
1566982957.981899,320,0.375
1566982958.029668,336,0.25
1566982958.123832,368,0.125
1566982958.216806,400,0.125
1566982958.26226,416,0.1875
1566982958.354652,448,0.375
1566982958.502927,496,0.375
1566982958.550677,512,0.3125
1566982958.6149042,528,0.375
1566982958.666265,544,0.375
1566982958.715151,560,0.4375
1566982958.8079302,592,0.25
1566982958.945676,640,0.4375
1566982958.992382,656,0.3125
1566982959.084434,688,0.1875
1566982959.129374,704,0.3125
1566982959.174965,720,0.25
1566982959.219828,736,0.25
1566982959.264673,752,0.375
1566982959.31233,768,0.1875
1566982959.405251,800,0.5
1566982959.451275,816,0.3125
1566982959.599566,864,0.1875
1566982959.6565208,880,0.3125
1566982959.703114,896,0.3125
1566982959.751009,912,0.0625
1566982959.797893,928,0.25
1566982959.9340422,976,0.25
1566982959.9793699,992,0.3125
1566982960.0255518,1008,0.375
1566982960.0711539,1024,0.375
1566982960.117784,1040,0.5
1566982960.163622,1056,0.4375
1566982960.2099001,1072,0.125
1566982960.2557282,1088,0.1875
1566982960.305543,1104,0.375
1566982960.353775,1120,0.1875
1566982960.453994,1152,0.5
1566982960.499968,1168,0.375
1566982960.545826,1184,0.25
1566982960.611031,1200,0.25
1566982960.704582,1232,0.3125
1566982960.798959,1264,0.4375
1566982960.844418,1280,0.625
1566982960.935159,1312,0.5
1566982960.982392,1328,0.3125
1566982961.073333,1360,0.4375
1566982961.118386,1376,0.375
1566982961.1642098,1392,0.4375
1566982961.2097511,1408,0.3125
1566982961.254318,1424,0.1875
1566982961.3013482,1440,0.25
1566982961.393963,1472,0.4375
1566982961.439544,1488,0.3125
1566982961.486885,1504,0.375
1566982961.533325,1520,0.3125
1566982961.627038,1552,0.3125
1566982961.767148,1600,0.5625
1566982961.81289,1616,0.375
1566982961.8585,1632,0.5
1566982961.903591,1648,0.4375
1566982961.9941068,1680,0.625
1566982962.039218,1696,0.5
1566982962.094858,1712,0.4375
1566982962.2319949,1760,0.5
1566982962.276073,1776,0.625
1566982962.409214,1824,0.5625
1566982962.5417652,1872,0.5
1566982962.586823,1888,0.5625
1566982962.63553,1904,0.75
1566982962.68318,1920,0.6875
1566982962.729391,1936,0.5
1566982962.869334,1984,0.4375
1566982962.9150279,2000,0.6875
1566982962.959601,2016,0.4375
1566982963.004645,2032,0.5625
1566982963.049806,2048,0.75
1566982963.138247,2080,0.625
1566982963.1833339,2096,0.75
1566982963.316889,2144,0.625
1566982963.450428,2192,0.75
1566982963.492915,2193,0.0
1566983820.612187,2209,0.4375
1566983820.701988,2241,0.875
1566983820.750645,2257,0.75
1566983820.791431,2273,0.4375
1566983820.835694,2289,0.625
1566983820.875861,2305,0.4375
1566983820.921854,2321,0.5625
1566983821.0135958,2353,0.6875
1566983821.053091,2369,0.6875
1566983821.096969,2385,0.8125
1566983821.137299,2401,0.75
1566983821.220371,2433,0.5625
1566983821.264577,2449,0.6875
1566983821.3047009,2465,0.625
1566983821.3873339,2497,0.75
1566983821.4278588,2513,0.5625
1566983821.46968,2529,0.6875
1566983821.5524049,2561,0.6875
1566983821.594482,2577,0.75
1566983821.6844249,2609,0.5
1566983821.727052,2625,0.8125
1566983821.812337,2657,0.875
1566983821.856292,2673,0.625
1566983821.8966851,2689,0.8125
1566983821.996974,2721,0.6875
1566983822.036821,2737,0.5625
1566983822.162107,2785,0.75
1566983822.2042391,2801,0.5625
1566983822.247103,2817,0.75
1566983822.2879949,2833,0.75
1566983822.370757,2865,0.6875
1566983822.413682,2881,0.5
1566983822.4986382,2913,0.5625
1566983822.582844,2945,0.5625
1566983822.624234,2961,0.9375
1566983822.670515,2977,0.5625
1566983822.715141,2993,0.4375
1566983822.803702,3025,0.625
1566983822.84949,3041,0.6875
1566983823.005833,3089,0.625
1566983823.1854951,3153,0.75
1566983823.230199,3169,0.8125
1566983823.365664,3217,0.8125
1566983823.41105,3233,0.8125
1566983823.50016,3265,0.75
1566983823.545768,3281,0.625
1566983823.589796,3297,0.625
1566983823.635185,3313,0.8125
1566983823.679838,3329,0.6875
1566983823.815012,3377,0.6875
1566983823.8590562,3393,0.5625
1566983823.904669,3409,0.8125
1566983823.9575639,3425,0.8125
1566983824.097793,3473,0.6875
1566983824.1420531,3489,0.5
1566983824.18702,3505,0.9375
1566983824.232694,3521,0.6875
1566983824.277807,3537,0.6875
1566983824.322001,3553,0.625
1566983824.4115,3585,0.6875
1566983824.4560199,3601,0.75
1566983824.500235,3617,0.75
1566983824.590112,3649,0.6875
1566983824.6354911,3665,0.75
1566983824.679418,3681,0.5625
1566983824.72492,3697,0.75
1566983824.769061,3713,0.8125
1566983824.8145669,3729,0.6875
1566983824.8577511,3745,0.75
1566983824.957645,3777,0.75
1566983825.003936,3793,0.8125
1566983825.0926452,3825,0.6875
1566983825.2714381,3889,0.75
1566983825.315867,3905,0.8125
1566983825.405308,3937,0.625
1566983825.45059,3953,0.75
1566983825.496085,3969,0.6875
1566983825.541184,3985,0.75
1566983825.585598,4001,0.875
1566983825.6315799,4017,0.8125
1566983825.67578,4033,0.8125
1566983825.766098,4065,0.75
1566983825.9019048,4113,0.6875
1566983825.955029,4129,0.5
1566983826.001555,4145,0.6875
1566983826.045273,4161,0.625
1566983826.133037,4193,0.8125
1566983826.222829,4225,0.875
1566983826.311507,4257,0.875
1566983826.3985631,4289,0.8125
1566983826.487146,4321,0.5625
1566983826.531996,4337,0.8125
1566983826.575486,4353,0.8125
1566983826.6200802,4369,0.5625
1566983826.664502,4385,0.625
1566983831.27934,4386,0.7031463980674744
1566983831.32269,4402,0.875
1566983831.4139898,4434,0.875
1566983831.4587011,4450,0.6875
1566983831.502192,4466,0.9375
1566983831.591279,4498,0.8125
1566983831.81777,4578,0.9375
1566983831.90815,4610,0.75
1566983831.9659991,4626,0.8125
1566983832.0549288,4658,0.875
1566983832.099529,4674,0.9375
1566983832.14259,4690,0.75
1566983832.186978,4706,0.6875
1566983832.2298508,4722,0.8125
1566983832.2743628,4738,0.6875
1566983832.318422,4754,0.8125
1566983832.364377,4770,0.8125
1566983832.4083982,4786,0.9375
1566983832.452877,4802,0.75
1566983832.6321259,4866,0.6875
