Wall time,Step,Value
1567290658.283057,16,0.25
1567290658.453344,32,0.125
1567290658.5494132,48,0.1875
1567290658.6310349,64,0.25
1567290658.71112,80,0.25
1567290658.800971,96,0.0
1567290658.885665,112,0.125
1567290658.9699478,128,0.125
1567290659.068078,140,0.0833333358168602
1567290777.693888,140,0.15714286267757416
1567290777.7981281,156,0.25
1567290777.878478,172,0.0625
1567290777.957543,188,0.25
1567290778.036215,204,0.25
1567290778.114367,220,0.375
1567290778.202445,236,0.25
1567290778.2790139,252,0.125
1567290778.3589618,268,0.3125
1567290778.437419,280,0.3333333432674408
1567290781.078023,280,0.24285714328289032
1567290781.1674628,296,0.1875
1567290781.2452369,312,0.25
1567290781.322897,328,0.375
1567290781.401221,344,0.3125
1567290781.4825442,360,0.5
1567290781.561428,376,0.4375
1567290781.6394281,392,0.625
1567290781.7171042,408,0.4375
1567290781.792722,420,0.3333333432674408
1567290784.5260952,420,0.3857142925262451
1567290784.605531,436,0.4375
1567290784.683767,452,0.5625
1567290784.761986,468,0.375
1567290784.841318,484,0.625
1567290784.9230778,500,0.6875
1567290785.000052,516,0.5
1567290785.092469,532,0.6875
1567290785.1861792,548,0.6875
1567290785.265333,560,0.5833333134651184
1567290787.9289548,560,0.5714285969734192
1567290788.0061069,576,0.5625
1567290788.0837498,592,0.5625
1567290788.174368,608,0.375
1567290788.251266,624,0.5625
1567290788.327716,640,0.75
1567290788.403567,656,0.5625
1567290788.481358,672,0.5
1567290788.557913,688,0.5625
1567290788.63618,700,0.75
1567290791.287968,700,0.5714285969734192
1567290791.367956,716,0.5
1567290791.453111,732,0.6875
1567290791.534754,748,0.6875
1567290791.6184,764,0.625
1567290791.6998389,780,0.1875
1567290791.783683,796,0.625
1567290791.866551,812,0.6875
1567290791.94666,828,0.625
1567290792.023892,840,0.6666666865348816
1567290794.7596428,840,0.5857142806053162
1567290794.839097,856,0.6875
1567290794.915933,872,0.625
1567290794.993896,888,0.625
1567290795.074503,904,0.625
1567290795.163558,920,0.75
1567290795.242644,936,0.6875
1567290795.321321,952,0.6875
1567290795.3989608,968,0.375
1567290795.477355,980,0.5833333134651184
1567290798.21918,980,0.6285714507102966
1567290798.302704,996,0.5625
1567290798.383307,1012,0.5625
1567290798.468469,1028,0.6875
1567290798.552426,1044,0.75
1567290798.628188,1060,0.625
1567290798.7057421,1076,0.625
1567290798.782876,1092,0.8125
1567290798.8612869,1108,0.6875
1567290798.940368,1120,0.5
1567290801.6540182,1120,0.6499999761581421
1567290801.72992,1136,0.75
1567290801.806892,1152,0.6875
1567290801.898864,1168,0.6875
1567290801.977797,1184,0.75
1567290802.055004,1200,0.8125
1567290802.140618,1216,0.6875
1567290802.2190871,1232,0.6875
1567290802.296132,1248,0.75
1567290802.377598,1260,0.8333333134651184
1567290804.992769,1260,0.7357142567634583
1567290805.072553,1276,0.75
1567290805.1505349,1292,0.625
1567290805.2372549,1308,0.6875
1567290805.314354,1324,0.5625
1567290805.3936992,1340,0.5625
1567290805.4731112,1356,0.75
1567290805.550494,1372,0.8125
1567290805.635469,1388,0.6875
1567290805.710816,1400,0.9166666865348816
1567290808.375479,1400,0.699999988079071
1567290808.4531178,1416,0.875
1567290808.530484,1432,0.6875
1567290808.6077042,1448,0.875
1567290808.684746,1464,0.5625
1567290808.76256,1480,0.75
1567290808.841331,1496,0.75
1567290808.9232,1512,0.75
1567290808.9991791,1528,0.75
1567290809.075579,1540,0.6666666865348816
1567290811.7316322,1540,0.7428571581840515
1567290811.807783,1556,0.75
1567290811.886197,1572,0.8125
1567290811.963743,1588,0.625
1567290812.042169,1604,0.8125
1567290812.118461,1620,0.8125
1567290812.203784,1636,0.75
1567290812.281439,1652,0.9375
1567290812.3583848,1668,0.875
1567290812.4367008,1680,0.75
1567290815.097646,1680,0.7928571701049805
1567290815.194006,1696,0.9375
1567290815.2747788,1712,0.75
1567290815.3561978,1728,0.9375
1567290815.441468,1744,0.75
1567290815.583186,1760,0.75
1567290815.65995,1776,0.8125
1567290815.737202,1792,0.75
1567290815.8154979,1808,0.9375
1567290815.892479,1820,0.5833333134651184
1567290818.662407,1820,0.8071428537368774
1567290818.741898,1836,0.625
1567290818.823623,1852,1.0
1567290818.905153,1868,0.8125
1567290818.985168,1884,0.8125
1567290819.065845,1900,0.6875
1567290819.153515,1916,0.875
1567290819.228082,1932,0.8125
1567290819.3072681,1948,0.8125
1567290819.385955,1960,0.6666666865348816
1567290822.138766,1960,0.7928571701049805
1567290822.224836,1976,0.8125
1567290822.300249,1992,0.8125
1567290822.3770409,2008,0.8125
1567290822.4558668,2024,0.9375
1567290822.531818,2040,0.8125
1567290822.609484,2056,0.9375
1567290822.6852338,2072,0.75
1567290822.761277,2088,0.75
1567290822.8378181,2100,0.9166666865348816
1567290825.546983,2100,0.8357142806053162
1567290825.6282141,2116,0.9375
1567290825.7083368,2132,0.8125
1567290825.786884,2148,1.0
1567290825.866977,2164,0.8125
1567290825.947639,2180,0.9375
1567290826.028946,2196,0.75
1567290826.109184,2212,0.9375
1567290826.196738,2228,0.75
1567290826.2811399,2240,0.8333333134651184
1567290828.9668422,2240,0.8642857074737549
1567290829.045726,2256,0.9375
1567290829.1233332,2272,0.8125
1567290829.207547,2288,0.75
1567290829.285743,2304,0.875
1567290829.367158,2320,0.75
1567290829.4475079,2336,0.9375
1567290829.528607,2352,0.8125
1567290829.615531,2368,0.8125
1567290829.692933,2380,1.0
1567290832.401335,2380,0.8500000238418579
1567290832.4798322,2396,1.0
1567290832.5599098,2412,0.875
1567290832.6377652,2428,0.875
1567290832.714717,2444,0.9375
1567290832.790873,2460,0.9375
1567290832.867892,2476,1.0
1567290832.946212,2492,0.8125
1567290833.025012,2508,1.0
1567290833.101839,2520,0.5
1567290835.793708,2520,0.8928571343421936
1567290835.8758788,2536,0.9375
1567290835.956983,2552,0.9375
1567290836.0395288,2568,0.8125
1567290836.121543,2584,0.875
1567290836.2163599,2600,0.875
1567290836.298115,2616,0.8125
1567290836.3800771,2632,0.625
1567290836.4617112,2648,0.8125
1567290836.539117,2660,1.0
1567290839.1037388,2660,0.8500000238418579
1567290839.19491,2676,0.8125
1567290839.276323,2692,0.9375
1567290839.358987,2708,0.875
1567290839.4408891,2724,0.875
1567290839.5259242,2740,0.9375
1567290839.605608,2756,0.875
1567290839.688617,2772,0.9375
1567290839.768854,2788,0.875
1567290839.8481238,2800,0.8333333134651184
1567290842.442745,2800,0.8857142925262451
1567290842.5241568,2816,0.875
1567290842.605576,2832,1.0
1567290842.689387,2848,0.8125
1567290842.773192,2864,0.8125
1567290842.856272,2880,0.875
1567290842.9384708,2896,0.875
1567290843.021564,2912,0.8125
1567290843.10537,2928,0.875
1567290843.199536,2940,0.9166666865348816
1567290846.021622,2940,0.8714285492897034
1567290846.105251,2956,1.0
1567290846.1951418,2972,0.9375
1567290846.277987,2988,0.875
1567290846.361977,3004,0.9375
1567290846.445301,3020,0.8125
1567290846.528764,3036,0.75
1567290846.61201,3052,0.8125
1567290846.6945212,3068,1.0
1567290846.7738922,3080,0.9166666865348816
1567290849.656519,3080,0.8928571343421936
1567290849.744002,3096,0.875
1567290849.826059,3112,1.0
1567290849.9095218,3128,0.875
1567290849.9917178,3144,0.75
1567290850.0748749,3160,0.6875
1567290850.161561,3176,0.75
1567290850.248064,3192,0.75
1567290850.3331609,3208,0.875
