Wall time,Step,Value
1567291690.7077062,16,0.0625
1567291693.098211,32,0.0625
1567291693.223934,48,0.0625
1567291693.3378189,64,0.0625
1567291693.4634979,80,0.125
1567291693.6331542,96,0.0625
1567291693.746638,112,0.1875
1567291693.855364,128,0.4375
1567291693.964808,144,0.125
1567291694.08165,160,0.1875
1567291694.2053618,176,0.4375
1567291694.315501,192,0.375
1567291694.428386,208,0.25
1567291694.539655,224,0.25
1567291694.69366,240,0.125
1567291694.80446,256,0.5
1567291694.912055,272,0.0
1567291695.032011,288,0.3125
1567291695.144908,304,0.3125
1567291695.256489,320,0.1875
1567291695.3643389,336,0.3125
1567291695.475727,352,0.4375
1567291695.6036632,368,0.4375
1567291695.718799,384,0.375
1567291695.8266969,400,0.375
1567291695.9380858,416,0.0625
1567291696.04883,432,0.125
1567291696.158862,448,0.125
1567291696.269537,464,0.4375
1567291696.375294,480,0.3125
1567291696.483511,496,0.375
1567291696.588785,512,0.25
1567291696.695189,528,0.3125
1567291696.804733,533,0.4000000059604645
1567294750.812869,16,0.125
1567294752.142026,32,0.125
1567294752.268149,48,0.125
1567294752.398255,64,0.3125
1567294752.5319219,80,0.3125
1567294752.655684,96,0.125
1567294752.777966,112,0.1875
1567294752.902396,128,0.3125
1567294753.0348742,140,0.25
1567300230.705513,140,0.20714285969734192
1567300230.9064288,156,0.3125
1567300231.022723,172,0.25
1567300231.1365619,188,0.1875
1567300231.250583,204,0.3125
1567300231.368778,220,0.25
1567300231.478432,236,0.3125
1567300231.5906181,252,0.1875
1567300231.69988,268,0.25
1567300231.811156,280,0.5833333134651184
1567300249.889754,280,0.2857142984867096
1567300250.003156,296,0.25
1567300250.115436,312,0.25
1567300250.2252831,328,0.3125
1567300250.339446,344,0.5
1567300250.453349,360,0.3125
1567300250.564081,376,0.3125
1567300250.674388,392,0.25
1567300250.7842271,408,0.3125
1567300250.8913941,420,0.25
1567300268.704475,420,0.30714285373687744
1567300268.8136268,436,0.375
1567300268.922719,452,0.3125
1567300269.0313191,468,0.1875
1567300269.13969,484,0.375
1567300269.2476811,500,0.5
1567300269.3633249,516,0.375
1567300269.4688761,532,0.25
1567300269.57671,548,0.375
1567300269.682991,560,0.4166666567325592
1567300287.272114,560,0.3499999940395355
1567300287.397845,576,0.1875
1567300287.5136719,592,0.5
1567300287.626721,608,0.25
1567300287.745614,624,0.375
1567300287.8531961,640,0.5
1567300287.980067,656,0.5
1567300288.090333,672,0.375
1567300288.19575,688,0.4375
1567300288.3000078,700,0.5
1567300305.843714,700,0.4000000059604645
1567300305.952377,716,0.3125
