Wall time,Step,Value
1566978048.3108869,512,0.46875
1566978048.327204,768,0.4453125
1566978048.336125,896,0.546875
1566978048.353585,1152,0.4609375
1566978048.370763,1408,0.546875
1566978048.379019,1536,0.46875
1566978048.397485,1792,0.6015625
1566978048.405827,1920,0.578125
1566978048.4136121,2048,0.546875
1566978048.421757,2176,0.53125
1566978048.429588,2304,0.5078125
1566978048.438498,2432,0.5625
1566978048.44682,2560,0.515625
1566978048.455054,2688,0.515625
1566978048.489841,3200,0.578125
1566978048.498558,3328,0.5859375
1566978048.535171,3968,0.5
1566978048.543325,4096,0.6171875
1566978048.5575948,4352,0.609375
1566978048.564662,4480,0.65625
1566978048.579977,4736,0.5234375
1566978048.604177,5120,0.5
1566978048.612096,5248,0.5625
1566978048.626562,5504,0.59375
1566978048.633583,5632,0.578125
1566978048.6402528,5760,0.578125
1566978048.647392,5888,0.5546875
1566978048.662959,6144,0.6328125
1566978048.677087,6400,0.609375
1566978048.6839092,6528,0.46875
1566978048.705871,6820,0.6944444179534912
1566978055.8965561,6820,0.5492668747901917
1566978055.9048178,6948,0.6328125
1566978055.9127018,7076,0.609375
1566978055.920326,7204,0.5703125
1566978055.943119,7588,0.6171875
1566978055.9508648,7716,0.6171875
1566978055.968173,7972,0.5703125
1566978055.984332,8228,0.5546875
1566978055.991882,8356,0.578125
1566978055.998969,8484,0.671875
1566978056.005889,8612,0.671875
1566978056.0133288,8740,0.5546875
1566978056.0286238,8996,0.65625
1566978056.036142,9124,0.6484375
1566978056.04404,9252,0.5234375
1566978056.0514681,9380,0.578125
1566978056.066487,9636,0.65625
1566978056.081353,9892,0.609375
1566978056.089102,10020,0.5859375
1566978056.126292,10660,0.671875
1566978056.134181,10788,0.6171875
1566978056.141788,10916,0.65625
1566978056.1539469,11044,0.5625
1566978056.161577,11172,0.609375
1566978056.169548,11300,0.640625
1566978056.207499,11940,0.6640625
1566978056.278741,12964,0.625
1566978056.301613,13220,0.6328125
1566978056.308542,13348,0.65625
1566978056.3155048,13476,0.6015625
1566978056.423329,14152,0.65625
1566978056.446342,14536,0.6640625
1566978056.462545,14792,0.6875
1566978056.470399,14920,0.671875
1566978056.4771478,15048,0.7265625
1566978056.505761,15560,0.6875
1566978056.5132658,15688,0.609375
1566978056.5214348,15816,0.671875
1566978056.5433128,16200,0.6640625
1566978056.5506718,16328,0.5859375
1566978056.57299,16712,0.6640625
1566978056.603279,17224,0.6796875
1566978056.620105,17480,0.609375
1566978056.634861,17736,0.671875
1566978056.641598,17864,0.625
1566978056.648423,17992,0.65625
1566978056.655076,18120,0.6484375
1566978056.662144,18248,0.671875
1566978056.669817,18376,0.5625
1566978056.683744,18632,0.5703125
1566978056.698737,18888,0.640625
1566978056.7211132,19272,0.6875
1566978056.728069,19400,0.6796875
1566978056.735144,19528,0.671875
1566978056.750294,19784,0.6875
1566978056.7573981,19912,0.625
1566978056.765336,20040,0.6796875
1566978056.779773,20296,0.609375
1566978056.787447,20424,0.59375
1566978056.874763,20460,0.6529325246810913
1566978056.8847601,20588,0.6796875
1566978056.901011,20844,0.625
1566978056.908906,20972,0.625
1566978056.916666,21100,0.625
1566978056.931326,21356,0.625
1566978056.961931,21868,0.71875
1566978056.969353,21996,0.5703125
1566978056.976337,22124,0.6640625
1566978056.982864,22252,0.65625
1566978056.99721,22508,0.6796875
1566978057.005034,22636,0.6796875
1566978057.0198221,22892,0.671875
1566978057.0335,23148,0.6328125
1566978057.0411909,23276,0.625
1566978057.04942,23404,0.6171875
1566978057.057015,23532,0.640625
1566978057.0720189,23788,0.671875
1566978057.079461,23916,0.640625
1566978057.132365,24812,0.7265625
1566978057.161759,25324,0.6796875
1566978057.191324,25836,0.6875
1566978057.199658,25964,0.6875
1566978057.207374,26092,0.6875
1566978057.2380512,26604,0.71875
1566978057.244653,26732,0.6875
1566978057.252203,26860,0.703125
1566978057.2603,26988,0.7265625
1566978057.2854311,27280,0.5833333134651184
1566978057.3548312,27280,0.6634897589683533
1566978057.3730009,27536,0.71875
1566978057.3808289,27664,0.6875
1566978057.3894248,27792,0.7109375
1566978057.405968,28048,0.6640625
1566978057.414995,28176,0.6953125
1566978057.422984,28304,0.6875
1566978057.438787,28560,0.6875
1566978057.446163,28688,0.71875
1566978057.453325,28816,0.65625
1566978057.46101,28944,0.7109375
1566978057.469059,29072,0.640625
1566978057.477317,29200,0.7734375
1566978057.5015318,29584,0.6484375
1566978057.5086899,29712,0.640625
1566978057.552939,29968,0.7109375
1566978057.587764,30480,0.6328125
1566978057.596609,30608,0.703125
1566978057.613958,30864,0.6875
1566978057.629725,31120,0.609375
1566978057.63759,31248,0.6484375
1566978057.677095,31888,0.75
1566978057.699817,32272,0.671875
1566978057.7079492,32400,0.6640625
1566978057.716495,32528,0.7109375
1566978057.724413,32656,0.6015625
1566978057.739415,32912,0.6796875
1566978057.770307,33424,0.6953125
1566978057.785963,33680,0.671875
1566978057.800564,33936,0.640625
1566978057.8076339,34064,0.703125
1566978057.814534,34100,0.6666666865348816
1566978057.881223,34100,0.6749266982078552
1566978057.905111,34484,0.6796875
1566978057.91219,34612,0.734375
1566978057.927982,34868,0.6796875
1566978057.944127,35124,0.7265625
1566978057.962559,35380,0.6484375
1566978058.006578,36020,0.609375
1566978058.024365,36276,0.6875
1566978058.0340638,36404,0.7109375
1566978058.063506,36788,0.6640625
1566978058.073219,36916,0.7109375
1566978058.082313,37044,0.703125
1566978058.091412,37172,0.7109375
1566978058.100034,37300,0.6640625
1566978058.110052,37428,0.6875
1566978058.119797,37556,0.6640625
1566978058.129065,37684,0.65625
1566978058.138311,37812,0.6484375
1566978058.174398,38324,0.625
1566978058.182336,38452,0.6640625
1566978058.1978922,38708,0.6875
1566978058.219672,39092,0.6171875
1566978058.2492979,39604,0.7265625
1566978058.256135,39732,0.6484375
1566978058.262461,39860,0.7109375
1566978058.2700632,39988,0.6328125
1566978058.292334,40244,0.6953125
1566978058.30692,40500,0.6875
1566978058.3139892,40628,0.7265625
1566978058.3218718,40756,0.703125
1566978058.329773,40884,0.6640625
1566978058.414569,41048,0.71875
1566978058.423538,41176,0.734375
1566978058.439064,41432,0.734375
1566978058.472944,41944,0.71875
1566978058.491123,42200,0.671875
1566978058.506773,42456,0.7734375
1566978058.514722,42584,0.71875
1566978058.551023,42712,0.6484375
1566978058.561428,42840,0.6953125
1566978058.572076,42968,0.6796875
1566978058.5887418,43224,0.6875
1566978058.5966258,43352,0.6640625
1566978058.6235142,43736,0.703125
1566978058.639453,43992,0.671875
1566978058.646603,44120,0.71875
1566978058.662387,44376,0.6640625
1566978058.678124,44632,0.6953125
1566978058.685771,44760,0.6328125
1566978058.692999,44888,0.6484375
1566978058.707498,45144,0.71875
1566978058.715845,45272,0.71875
1566978058.72427,45400,0.6953125
1566978058.731982,45528,0.6328125
1566978058.7475042,45784,0.6875
1566978058.755761,45912,0.6875
1566978058.771828,46168,0.703125
1566978058.780062,46296,0.6875
1566978058.796437,46552,0.7421875
1566978058.811321,46808,0.7265625
1566978058.818757,46936,0.71875
1566978058.826826,47064,0.671875
1566978058.83497,47192,0.640625
1566978058.8428779,47320,0.6875
1566978058.8579042,47576,0.765625
1566978058.865047,47704,0.703125
1566978058.951031,47868,0.71875
1566978058.959444,47996,0.640625
1566978058.967196,48124,0.6875
1566978058.97497,48252,0.6953125
1566978058.991016,48508,0.6875
1566978058.9987369,48636,0.671875
1566978059.007305,48764,0.734375
1566978059.015287,48892,0.71875
1566978059.0558999,49532,0.6875
1566978059.09072,50044,0.75
1566978059.0977862,50172,0.796875
1566978059.113119,50428,0.671875
1566978059.139495,50812,0.7578125
1566978059.193078,51708,0.7109375
1566978059.2005708,51836,0.6796875
1566978059.2228749,52220,0.6484375
1566978059.230061,52348,0.765625
1566978059.239043,52476,0.6875
1566978059.24626,52604,0.59375
1566978059.260349,52860,0.6875
1566978059.282115,53116,0.7109375
1566978059.297847,53372,0.640625
1566978059.312515,53628,0.7109375
1566978059.3496242,54268,0.671875
1566978059.432888,54560,0.6972140669822693
1566978059.441789,54688,0.6328125
1566978059.450502,54816,0.7421875
1566978059.457896,54944,0.703125
1566978059.473563,55200,0.7109375
1566978059.4805171,55328,0.671875
1566978059.505949,55712,0.7265625
1566978059.530405,56096,0.734375
1566978059.5667388,56480,0.6953125
1566978059.595914,56864,0.7890625
1566978059.605101,56992,0.7265625
1566978059.61567,57120,0.7734375
1566978059.629676,57248,0.6953125
1566978059.642551,57376,0.6953125
1566978059.661064,57632,0.6953125
1566978059.669226,57760,0.6796875
1566978059.679067,57888,0.65625
1566978059.692791,58016,0.6328125
1566978059.7043788,58144,0.640625
1566978059.7154229,58272,0.71875
1566978059.724083,58400,0.6875
1566978059.739928,58656,0.671875
1566978059.763515,58912,0.6796875
1566978059.7751172,59040,0.7109375
1566978059.8102021,59552,0.734375
1566978059.854743,60064,0.7421875
1566978059.886875,60448,0.7578125
1566978059.89964,60576,0.65625
1566978059.916536,60832,0.7421875
1566978059.924046,60960,0.7265625
1566978059.950505,61216,0.8046875
1566978059.9724019,61380,0.7777777910232544
1566978060.116342,61636,0.7734375
1566978060.123557,61764,0.6875
1566978060.1883368,62532,0.71875
1566978060.225088,62916,0.7265625
1566978060.236137,63044,0.7265625
1566978060.244725,63172,0.7109375
1566978060.261311,63428,0.65625
1566978060.2744331,63556,0.671875
1566978060.294494,63684,0.703125
1566978060.313422,63940,0.765625
1566978060.322124,64068,0.7109375
1566978060.32957,64196,0.6796875
1566978060.344813,64324,0.7421875
1566978060.371231,64580,0.765625
1566978060.426141,65220,0.7265625
1566978060.4360871,65348,0.6953125
1566978060.497708,66116,0.703125
1566978060.5119302,66372,0.8203125
1566978060.5313668,66500,0.7734375
1566978060.541614,66628,0.78125
1566978060.551408,66756,0.6796875
1566978060.559047,66884,0.671875
1566978060.566578,67012,0.7109375
1566978060.576797,67140,0.7578125
1566978060.596263,67268,0.6875
1566978060.60715,67396,0.71875
1566978060.616331,67524,0.7421875
1566978060.6244118,67652,0.71875
1566978060.6317492,67780,0.703125
1566978060.652064,68036,0.6328125
1566978060.6603,68164,0.734375
1566978060.667163,68200,0.6388888955116272
1566978060.751883,68200,0.7153958678245544
1566978060.771918,68456,0.6796875
1566978060.782453,68584,0.75
1566978060.7903051,68712,0.7421875
1566978060.805262,68968,0.65625
1566978060.820985,69224,0.6640625
1566978060.835914,69480,0.78125
1566978060.842898,69608,0.734375
1566978060.863776,69992,0.71875
1566978060.871093,70120,0.7265625
1566978060.877863,70248,0.765625
1566978060.892861,70504,0.7421875
1566978060.900244,70632,0.75
1566978060.907433,70760,0.7734375
1566978060.925017,71016,0.703125
1566978060.9419131,71272,0.703125
1566978060.951344,71400,0.7109375
1566978060.969437,71656,0.6875
1566978060.97756,71784,0.7421875
1566978060.985695,71912,0.6015625
1566978060.9931269,72040,0.765625
1566978061.001437,72168,0.734375
1566978061.009069,72296,0.6953125
1566978061.017868,72424,0.7265625
1566978061.026111,72552,0.71875
1566978061.034724,72680,0.734375
1566978061.051539,72936,0.734375
1566978061.058809,73064,0.71875
1566978061.0664299,73192,0.6875
1566978061.089328,73576,0.71875
1566978061.096492,73704,0.71875
1566978061.104149,73832,0.78125
1566978061.119055,74088,0.7421875
1566978061.1259499,74216,0.75
1566978061.134637,74344,0.75
1566978061.142328,74472,0.7421875
1566978061.1577249,74728,0.6796875
1566978061.1719491,74984,0.7578125
1566978061.178166,75020,0.6388888955116272
1566978061.212306,75020,0.7256598472595215
1566978061.2300658,75276,0.6640625
1566978061.246491,75532,0.734375
1566978061.262773,75788,0.7421875
1566978061.2723358,75916,0.7578125
1566978061.2824168,76044,0.7890625
1566978061.306489,76428,0.7109375
1566978061.338665,76940,0.671875
1566978061.346248,77068,0.7109375
1566978061.3616488,77324,0.7265625
1566978061.370037,77452,0.78125
1566978061.3860962,77708,0.7890625
1566978061.418386,78220,0.7734375
1566978061.425591,78348,0.75
1566978061.441379,78604,0.671875
1566978061.45859,78860,0.6875
1566978061.492047,79372,0.71875
1566978061.5180328,79756,0.75
1566978061.526079,79884,0.796875
1566978061.544418,80140,0.765625
1566978061.553337,80268,0.71875
1566978061.5610921,80396,0.75
1566978061.569185,80524,0.765625
1566978061.577392,80652,0.71875
1566978061.586752,80780,0.7421875
1566978061.5963562,80908,0.7265625
1566978061.606653,81036,0.7265625
1566978061.6158779,81164,0.6953125
1566978061.652543,81676,0.7265625
1566978061.66124,81804,0.75
1566978061.747519,81840,0.7341642379760742
1566978061.767404,82096,0.7578125
1566978061.7750459,82224,0.7734375
1566978061.784074,82352,0.7890625
1566978061.791892,82480,0.7265625
1566978061.8067431,82736,0.8203125
1566978061.8150048,82864,0.7578125
1566978061.823856,82992,0.6796875
1566978061.831415,83120,0.703125
1566978061.847306,83376,0.7421875
1566978061.855465,83504,0.7421875
