Wall time,Step,Value
1566981847.657828,128,0.4453125
1566981847.702973,256,0.5390625
1566981847.7482822,384,0.4921875
1566981847.794222,512,0.5703125
1566981847.842499,640,0.65625
1566981847.8892128,768,0.6875
1566981847.933934,896,0.640625
1566981847.9768589,1024,0.796875
1566981848.0225122,1152,0.78125
1566981848.0679958,1280,0.8046875
1566981848.112263,1408,0.8828125
1566981848.155191,1536,0.859375
1566981848.196649,1664,0.8671875
1566981848.2390232,1792,0.875
1566981848.2843788,1920,0.90625
1566981848.327334,2048,0.8984375
1566981848.369032,2176,0.921875
1566981848.411208,2304,0.9375
1566981848.4571588,2432,0.9140625
1566981848.5012212,2560,0.890625
1566981848.553771,2688,0.9375
1566981848.607114,2816,0.9140625
1566981848.65264,2944,0.9140625
1566981848.7014122,3072,0.9609375
1566981848.7460968,3200,0.8828125
1566981848.787482,3328,0.9609375
1566981848.831358,3456,0.9375
1566981848.874926,3584,0.9375
1566981848.918993,3712,0.9453125
1566981848.972018,3840,0.9453125
1566981849.014216,3968,0.9375
1566981849.055113,4096,0.953125
1566981849.099673,4224,0.9296875
1566981849.144074,4352,0.9609375
1566981849.187948,4480,0.984375
1566981849.231659,4608,0.9296875
1566981849.272486,4736,0.9453125
1566981849.31459,4864,0.921875
1566981849.3594828,4992,0.9609375
1566981849.399821,5120,0.9296875
1566981849.4414132,5248,0.921875
1566981849.4824388,5376,0.890625
1566981849.5267131,5504,0.921875
1566981849.5694551,5632,0.8984375
1566981849.612992,5760,0.9453125
1566981849.6582122,5888,0.9375
1566981849.701459,6016,0.9609375
1566981849.74372,6144,0.9453125
1566981849.786541,6272,0.953125
1566981849.8289669,6400,0.9296875
1566981849.875762,6528,0.921875
1566981849.916608,6656,0.9453125
1566981849.9525099,6701,0.9555555582046509
1566982227.1486132,6701,0.8722578883171082
1566982227.1905248,6829,0.90625
1566982227.229059,6957,0.8984375
1566982227.2678049,7085,0.953125
1566982227.3066518,7213,0.96875
1566982227.346272,7341,0.9453125
1566982227.3892229,7469,0.96875
1566982227.427834,7597,0.90625
1566982227.466461,7725,0.9453125
1566982227.5077639,7853,0.9375
1566982227.5457332,7981,0.953125
1566982227.5892859,8109,0.921875
1566982227.629697,8237,0.9453125
1566982227.674356,8365,0.9453125
1566982227.7135181,8493,0.9453125
1566982227.7564611,8621,0.9453125
1566982227.794446,8749,0.890625
1566982227.8340101,8877,0.953125
1566982227.873161,9005,0.984375
1566982227.9136891,9133,0.921875
1566982227.9528189,9261,0.9375
1566982228.0090618,9389,0.9609375
1566982228.047002,9517,0.9453125
1566982228.0859368,9645,0.9296875
1566982228.1257899,9773,0.953125
1566982228.168019,9901,0.9453125
1566982228.206943,10029,0.9453125
1566982228.247371,10157,0.9765625
1566982228.288921,10285,0.9140625
1566982228.330223,10413,0.9453125
1566982228.3686872,10541,0.9296875
1566982228.409765,10669,0.9609375
1566982228.448833,10797,0.921875
1566982228.4897761,10925,0.9765625
1566982228.529587,11053,0.9609375
1566982228.574621,11181,0.9609375
1566982228.618305,11309,0.96875
1566982228.6603441,11437,0.96875
1566982228.704299,11565,0.90625
1566982228.747796,11693,0.96875
1566982228.785793,11821,0.9140625
1566982228.823592,11949,0.96875
1566982228.872746,12077,0.9296875
1566982228.912212,12205,0.9609375
1566982228.9500558,12333,0.9453125
1566982228.987883,12461,0.9609375
1566982229.0254028,12589,0.984375
1566982229.0623949,12717,0.9453125
1566982229.099759,12845,0.9609375
1566982229.137238,12973,0.953125
1566982229.175925,13101,0.9296875
1566982229.215774,13229,0.953125
1566982229.255987,13357,0.953125
1566982229.288831,13402,0.9333333373069763
1566982231.443048,13402,0.9455305337905884
1566982231.488592,13530,0.9375
1566982231.530845,13658,0.9453125
1566982231.571188,13786,0.9609375
1566982231.614678,13914,0.9453125
1566982231.65815,14042,0.96875
1566982231.700341,14170,0.953125
1566982231.737864,14298,0.9296875
1566982231.777187,14426,0.9375
1566982231.820197,14554,0.9453125
1566982231.8611782,14682,0.953125
1566982231.901246,14810,0.9453125
1566982231.945046,14938,0.9765625
1566982231.984778,15066,0.96875
1566982232.0328782,15194,1.0
1566982232.0732632,15322,0.9375
1566982232.111242,15450,0.921875
1566982232.15199,15578,0.9609375
1566982232.189729,15706,0.9609375
1566982232.228668,15834,0.9296875
1566982232.269023,15962,0.9453125
1566982232.3110669,16090,0.9609375
1566982232.352395,16218,0.953125
1566982232.393149,16346,0.9453125
1566982232.431079,16474,0.9609375
1566982232.472376,16602,0.9609375
1566982232.513199,16730,0.984375
1566982232.552622,16858,0.9375
1566982232.591957,16986,0.9375
1566982232.6364758,17114,0.921875
1566982232.6805708,17242,0.9453125
1566982232.719244,17370,0.9296875
1566982232.7584052,17498,0.9609375
1566982232.801467,17626,0.9765625
1566982232.842863,17754,0.96875
1566982232.883064,17882,0.953125
1566982232.92122,18010,0.9765625
1566982232.958751,18138,0.984375
1566982233.002304,18266,0.921875
1566982233.040619,18394,0.921875
1566982233.078898,18522,0.96875
1566982233.12093,18650,0.890625
1566982233.159866,18778,0.9375
1566982233.1988091,18906,0.953125
1566982233.239943,19034,0.9140625
1566982233.277453,19162,0.953125
1566982233.317209,19290,0.8984375
1566982233.3584158,19418,0.9609375
1566982233.3961558,19546,0.921875
