Wall time,Step,Value
1566978111.326425,512,0.5703125
1566978111.4099672,768,0.4921875
1566978111.451822,896,0.578125
1566978111.531371,1152,0.484375
1566978111.61889,1408,0.46875
1566978111.658752,1536,0.515625
1566978111.739112,1792,0.46875
1566978111.778591,1920,0.5625
1566978111.825204,2048,0.5703125
1566978111.875784,2176,0.515625
1566978111.920535,2304,0.4375
1566978111.9633012,2432,0.4921875
1566978112.003646,2560,0.484375
1566978112.044569,2688,0.515625
1566978112.202132,3200,0.5390625
1566978112.242371,3328,0.4765625
1566978112.440518,3968,0.421875
1566978112.481923,4096,0.5546875
1566978112.5586739,4352,0.46875
1566978112.599597,4480,0.578125
1566978112.67961,4736,0.484375
1566978112.7993631,5120,0.546875
1566978112.839404,5248,0.5703125
1566978112.931875,5504,0.578125
1566978112.971123,5632,0.5234375
1566978113.010344,5760,0.546875
1566978113.048459,5888,0.5234375
1566978113.1286001,6144,0.53125
1566978113.204727,6400,0.484375
1566978113.244211,6528,0.5390625
1566978113.353926,6820,0.5833333134651184
1566978418.936534,6820,0.5203812122344971
1566978418.988229,6948,0.546875
1566978419.0330722,7076,0.515625
1566978419.080828,7204,0.4921875
1566978419.220564,7588,0.4921875
1566978419.2650518,7716,0.546875
1566978419.356566,7972,0.578125
1566978419.447045,8228,0.5390625
1566978419.491533,8356,0.4609375
1566978419.5396569,8484,0.6015625
1566978419.586787,8612,0.5703125
1566978419.633766,8740,0.453125
1566978419.72964,8996,0.5390625
1566978419.7741199,9124,0.484375
1566978419.8170722,9252,0.5546875
1566978419.8610969,9380,0.484375
1566978419.94777,9636,0.5078125
1566978420.04668,9892,0.484375
1566978420.090514,10020,0.6171875
1566978420.312474,10660,0.609375
1566978420.360309,10788,0.578125
1566978420.4075131,10916,0.53125
1566978420.451405,11044,0.5234375
1566978420.49507,11172,0.5
1566978420.539945,11300,0.5390625
1566978420.78471,11940,0.5546875
1566978421.139937,12964,0.53125
1566978421.2234418,13220,0.53125
1566978421.265669,13348,0.5625
1566978421.3113532,13476,0.5546875
1566978423.755498,14152,0.5390625
1566978423.878168,14536,0.5234375
1566978423.965846,14792,0.4921875
1566978424.008404,14920,0.5625
1566978424.048476,15048,0.5859375
1566978424.21264,15560,0.5859375
1566978424.252507,15688,0.5859375
1566978424.295216,15816,0.5546875
1566978424.4245162,16200,0.546875
1566978424.4641988,16328,0.53125
1566978424.620111,16712,0.5546875
1566978424.796101,17224,0.625
1566978424.8803918,17480,0.578125
1566978424.964837,17736,0.5234375
1566978425.0067132,17864,0.546875
1566978425.049689,17992,0.578125
1566978425.090355,18120,0.53125
1566978425.129328,18248,0.5390625
1566978425.1694798,18376,0.5625
1566978425.249332,18632,0.4453125
1566978425.331609,18888,0.5234375
1566978425.462451,19272,0.5625
1566978425.505502,19400,0.6015625
1566978425.5503008,19528,0.5234375
1566978425.6344352,19784,0.6171875
1566978425.675002,19912,0.5390625
1566978425.715691,20040,0.5859375
1566978425.798857,20296,0.6171875
1566978425.839777,20424,0.625
1566978428.07335,20460,0.5702345967292786
1566978428.11851,20588,0.6171875
1566978428.2036,20844,0.5234375
1566978428.246923,20972,0.5859375
1566978428.2891982,21100,0.6171875
1566978428.376066,21356,0.4921875
1566978428.544723,21868,0.5703125
1566978428.588347,21996,0.5703125
1566978428.632844,22124,0.6328125
1566978428.676042,22252,0.4921875
1566978428.761985,22508,0.640625
1566978428.802031,22636,0.59375
1566978428.896138,22892,0.5703125
1566978428.991725,23148,0.5625
1566978429.034693,23276,0.5703125
1566978429.077606,23404,0.6328125
1566978429.121297,23532,0.6015625
1566978429.204617,23788,0.578125
1566978429.245064,23916,0.5546875
1566978429.5580459,24812,0.5859375
1566978429.741056,25324,0.59375
1566978429.909635,25836,0.5703125
1566978429.954942,25964,0.53125
1566978429.999712,26092,0.5546875
1566978430.171477,26604,0.5390625
1566978430.213572,26732,0.515625
1566978430.255627,26860,0.6328125
1566978430.299038,26988,0.59375
1566978430.419189,27280,0.7222222089767456
1566978432.601295,27280,0.5762463212013245
1566978432.691114,27536,0.5703125
1566978432.733721,27664,0.5390625
1566978432.780033,27792,0.515625
1566978432.869036,28048,0.609375
1566978432.9100869,28176,0.625
1566978432.95383,28304,0.6171875
1566978433.0344708,28560,0.5859375
1566978433.076271,28688,0.5390625
1566978433.120138,28816,0.5234375
1566978433.1644852,28944,0.546875
1566978433.208631,29072,0.625
1566978433.251157,29200,0.546875
1566978433.377994,29584,0.5546875
1566978433.4194372,29712,0.65625
1566978433.507735,29968,0.546875
1566978433.675709,30480,0.5546875
1566978433.718722,30608,0.59375
1566978433.803099,30864,0.640625
1566978433.897656,31120,0.5546875
1566978433.9420009,31248,0.5546875
1566978434.1552372,31888,0.59375
1566978434.2793841,32272,0.609375
1566978434.322056,32400,0.5546875
1566978434.3625128,32528,0.5546875
1566978434.403542,32656,0.609375
1566978434.485611,32912,0.640625
1566978434.662461,33424,0.578125
1566978434.749813,33680,0.6015625
1566978434.845356,33936,0.6171875
1566978434.893193,34064,0.6015625
1566978434.924181,34100,0.5
1566978437.081038,34100,0.5907624363899231
1566978437.2155678,34484,0.6484375
1566978437.256215,34612,0.65625
1566978437.341907,34868,0.640625
1566978437.436457,35124,0.53125
1566978437.5181062,35380,0.578125
1566978437.737935,36020,0.6015625
1566978437.8265731,36276,0.5078125
1566978437.8688,36404,0.625
1566978438.000889,36788,0.546875
1566978438.042201,36916,0.5703125
1566978438.083937,37044,0.6015625
1566978438.125023,37172,0.578125
1566978438.170033,37300,0.6171875
1566978438.214839,37428,0.5546875
1566978438.260063,37556,0.6875
1566978438.304367,37684,0.5546875
1566978438.3454819,37812,0.59375
1566978438.513313,38324,0.625
1566978438.559254,38452,0.625
1566978438.649406,38708,0.578125
1566978438.774744,39092,0.609375
1566978438.9553978,39604,0.6640625
1566978438.99943,39732,0.578125
1566978439.03915,39860,0.6328125
1566978439.081084,39988,0.6171875
1566978439.165975,40244,0.59375
1566978439.253058,40500,0.59375
1566978439.2970822,40628,0.5859375
1566978439.34127,40756,0.671875
1566978439.383869,40884,0.59375
1566978441.727953,41048,0.6015625
1566978441.7739131,41176,0.5859375
1566978441.85971,41432,0.7109375
1566978442.035415,41944,0.5625
1566978442.123774,42200,0.6171875
1566978442.207509,42456,0.6015625
1566978442.250104,42584,0.65625
1566978442.2961988,42712,0.59375
1566978442.343319,42840,0.65625
1566978442.384676,42968,0.6796875
1566978442.475529,43224,0.6484375
1566978442.5229208,43352,0.625
1566978442.655326,43736,0.6875
1566978442.7445571,43992,0.65625
1566978442.7884202,44120,0.640625
1566978442.8758998,44376,0.5234375
1566978442.9639108,44632,0.546875
1566978443.0164568,44760,0.5
1566978443.0657809,44888,0.625
1566978443.154033,45144,0.609375
1566978443.199973,45272,0.578125
1566978443.245187,45400,0.578125
1566978443.289912,45528,0.671875
1566978443.381522,45784,0.6640625
1566978443.424191,45912,0.5546875
1566978443.513242,46168,0.578125
1566978443.5592341,46296,0.6640625
1566978443.652508,46552,0.515625
1566978443.7385159,46808,0.6015625
1566978443.791874,46936,0.59375
1566978443.8387158,47064,0.578125
1566978443.882117,47192,0.5859375
1566978443.928284,47320,0.609375
1566978444.013526,47576,0.6015625
1566978444.056156,47704,0.625
1566978444.272555,47868,0.625
1566978444.333715,47996,0.6328125
1566978444.37623,48124,0.6171875
1566978444.4186969,48252,0.5546875
1566978444.503103,48508,0.578125
1566978444.547362,48636,0.6640625
1566978444.594829,48764,0.640625
1566978444.637651,48892,0.6484375
1566978444.865859,49532,0.625
1566978445.053015,50044,0.5625
1566978445.099448,50172,0.5390625
1566978445.184693,50428,0.6171875
1566978445.313926,50812,0.625
1566978445.6205802,51708,0.6328125
1566978445.666674,51836,0.546875
1566978445.799179,52220,0.6328125
1566978445.850402,52348,0.5859375
1566978445.894527,52476,0.6015625
1566978445.938657,52604,0.609375
1566978446.0298398,52860,0.65625
1566978446.116439,53116,0.7109375
1566978446.202576,53372,0.6015625
1566978446.289034,53628,0.6484375
1566978446.503687,54268,0.6015625
1566978448.868234,54560,0.6252199411392212
1566978448.9178329,54688,0.6328125
1566978448.965353,54816,0.609375
1566978449.00794,54944,0.6171875
1566978449.091197,55200,0.734375
1566978449.134906,55328,0.6484375
1566978449.261643,55712,0.5390625
1566978449.39421,56096,0.6640625
1566978449.528048,56480,0.609375
1566978449.6618948,56864,0.640625
1566978449.704741,56992,0.59375
1566978449.746818,57120,0.640625
1566978449.792866,57248,0.6875
1566978449.8351722,57376,0.734375
1566978449.9282181,57632,0.6484375
1566978449.970022,57760,0.6328125
1566978450.011432,57888,0.6328125
1566978450.056492,58016,0.5546875
1566978450.097149,58144,0.578125
1566978450.138883,58272,0.6328125
1566978450.179577,58400,0.5546875
1566978450.268685,58656,0.578125
1566978450.3632908,58912,0.6953125
1566978450.405783,59040,0.6171875
1566978450.584634,59552,0.7421875
1566978450.7679482,60064,0.640625
1566978450.911554,60448,0.6015625
1566978450.9537961,60576,0.6796875
1566978451.040954,60832,0.5234375
1566978451.0819561,60960,0.6171875
1566978451.167058,61216,0.6484375
