Wall time,Step,Value
1567144118.0852108,304,0.3125
1567144118.351758,688,0.0
1567144118.389329,736,0.1875
1567144118.545387,912,0.125
1567144118.722595,1152,0.125
1567144118.964991,1520,0.0625
1567144119.670918,2496,0.125
1567144119.710002,2544,0.25
1567144119.817568,2688,0.25
1567144120.542031,3680,0.375
1567144120.599104,3760,0.25
1567144120.843693,4096,0.3125
1567144120.9777548,4288,0.0625
1567144121.044898,4384,0.125
1567144121.425736,4944,0.3125
1567144121.445002,4976,0.25
1567144121.537318,5104,0.125
1567144121.873596,5568,0.1875
1567144122.098037,5888,0.125
1567144131.796853,6734,0.25
1567144132.01092,7070,0.25
1567144132.212929,7358,0.125
1567144132.3606431,7582,0.3125
1567144133.048691,8574,0.3125
1567144133.338262,9006,0.25
1567144133.510745,9262,0.25
1567144133.58998,9374,0.0
1567144133.6014788,9390,0.3125
1567144133.976892,9918,0.25
1567144134.1332,10142,0.375
1567144134.2666528,10350,0.25
1567144134.4138172,10574,0.3125
1567144134.542222,10734,0.1875
1567144135.035271,11422,0.25
1567144135.126859,11550,0.375
1567144135.208106,11678,0.3125
1567144136.037892,12220,0.1875
1567144136.09616,12284,0.25
1567144136.124141,12316,0.25
1567144136.300771,12540,0.125
1567144136.325991,12572,0.1875
1567144136.411347,12684,0.3125
1567144136.5286,12812,0.375
1567144136.594999,12908,0.1875
1567144136.909759,13356,0.125
1567144138.155285,15100,0.25
1567144138.345666,15372,0.375
1567144138.444212,15516,0.25
1567144138.45598,15532,0.3125
1567144138.529239,15628,0.1875
1567144138.600312,15724,0.25
1567144138.803211,16012,0.375
1567144138.838472,16060,0.375
1567144138.940921,16204,0.0625
1567144139.4990778,16988,0.375
1567144139.532081,17036,0.0
1567144139.599261,17132,0.3125
1567144139.671011,17228,0.0625
1567144139.856065,17468,0.4375
1567144139.9234471,17564,0.125
1567144139.9795148,17644,0.375
1567144141.033675,18458,0.4375
1567144141.0980248,18538,0.1875
1567144141.109886,18554,0.25
1567144141.3042939,18842,0.375
1567144141.4469929,19050,0.4375
1567144142.0090282,19866,0.0625
1567144142.197286,20138,0.375
1567144142.848458,21018,0.3125
1567144142.884125,21066,0.25
1567144143.044178,21290,0.4375
1567144143.097764,21354,0.375
1567144143.643282,22122,0.125
1567144143.722573,22234,0.4375
1567144143.987873,22586,0.25
1567144144.118976,22778,0.375
1567144144.223315,22938,0.625
1567144144.571164,23418,0.375
1567144144.700135,23594,0.3125
1567144144.794801,23722,0.25
1567144144.8664372,23818,0.4375
1567144145.621687,24312,0.3125
1567144145.962086,24776,0.375
1567144146.144282,25032,0.5
1567144146.307976,25288,0.5
1567144146.3491268,25352,0.25
1567144146.52954,25624,0.25
1567144146.947743,26184,0.375
1567144147.39112,26856,0.25
1567144147.490907,27000,0.0625
1567144147.614744,27176,0.3125
1567144147.697162,27288,0.375
1567144147.79878,27432,0.125
1567144147.9518652,27656,0.4375
1567144147.976588,27688,0.25
1567144148.01029,27736,0.125
1567144148.513398,28440,0.625
1567144149.0362601,29160,0.3125
1567144149.238291,29448,0.125
1567144149.338329,29592,0.125
1567144149.486819,29800,0.25
1567144149.5203588,29848,0.0625
1567144149.614151,29976,0.25
1567144150.512059,30598,0.5
1567144150.702625,30870,0.375
1567144150.8288698,31030,0.3125
1567144150.8672268,31078,0.3125
1567144151.111597,31398,0.625
1567144151.5008278,31942,0.1875
1567144151.6392949,32134,0.0625
1567144151.922571,32502,0.1875
1567144152.3533828,33094,0.3125
1567144152.389803,33142,0.1875
1567144152.400827,33158,0.3125
1567144152.496042,33286,0.1875
1567144152.543456,33350,0.25
1567144152.62873,33462,0.625
1567144153.2468102,34310,0.375
1567144153.321921,34422,0.4375
1567144153.414569,34566,0.5625
1567144153.673795,34918,0.375
1567144153.7226071,34982,0.25
1567144153.819249,35110,0.375
1567144153.914592,35238,0.3125
1567144153.9614441,35302,0.25
1567144154.190018,35622,0.3125
1567144154.2419221,35702,0.5
1567144154.252151,35718,0.125
1567144154.310501,35798,0.25
1567144154.507173,36038,0.3125
1567144154.5671492,36118,0.1875
