Wall time,Step,Value
1567033889.092973,768,0.125
1567033889.2702599,896,0.125
1567033889.945805,1408,0.171875
1567033890.117815,1536,0.1796875
1567033890.5924978,1920,0.1875
1567033890.776201,2048,0.203125
1567033891.2443361,2432,0.21875
1567033891.413653,2560,0.171875
1567033891.58055,2688,0.171875
1567033892.276843,3200,0.234375
1567033893.780976,4352,0.21875
1567033894.3039029,4736,0.1484375
1567033894.9834921,5248,0.2421875
1567033895.305944,5504,0.234375
1567033895.616159,5760,0.2109375
1567033895.7894359,5888,0.2109375
1567033896.084297,6038,0.27272728085517883
1567035210.6123981,6166,0.203125
1567035211.0800781,6678,0.265625
1567035211.186369,6806,0.234375
1567035211.293437,6934,0.3125
1567035211.4002728,7062,0.2421875
1567035211.5065,7190,0.2109375
1567035212.1766698,7958,0.203125
1567035212.39726,8214,0.21875
1567035212.5136352,8342,0.2109375
1567035212.6278489,8470,0.2734375
1567035212.732772,8598,0.265625
1567035213.055635,8982,0.2734375
1567035213.161484,9110,0.234375
1567035213.269516,9238,0.25
1567035213.375448,9366,0.265625
1567035213.92335,10006,0.265625
1567035214.4855092,10646,0.203125
1567035214.8214111,11030,0.3125
1567035214.931874,11158,0.2421875
1567035215.5939121,11926,0.265625
1567035221.6429892,12716,0.25
1567035221.959578,13100,0.2890625
1567035222.066813,13228,0.40625
1567035222.777468,14124,0.3671875
1567035223.071487,14508,0.359375
1567035223.267346,14764,0.3359375
1567035223.987968,15660,0.25
1567035224.092444,15788,0.3359375
1567035224.378073,16172,0.390625
1567035224.474656,16300,0.328125
1567035225.1830862,17196,0.3046875
1567035225.387394,17452,0.28125
1567035225.579493,17708,0.328125
1567035225.67324,17836,0.28125
1567035225.76576,17964,0.296875
1567035231.594351,18626,0.28125
1567035232.101419,19266,0.3359375
1567035232.301516,19522,0.359375
1567035232.406443,19650,0.3359375
1567035232.510798,19778,0.375
1567035232.811457,20162,0.265625
1567035233.111406,20546,0.28125
1567035233.3128371,20802,0.34375
1567035233.4085371,20930,0.3125
1567035233.692801,21314,0.359375
1567035234.277743,22082,0.3359375
1567035234.3737721,22210,0.328125
1567035234.571824,22466,0.328125
1567035234.881716,22850,0.2734375
1567035235.077215,23106,0.34375
1567035235.185496,23234,0.34375
1567035235.390104,23490,0.3671875
1567035235.591114,23746,0.3828125
1567035235.695022,23874,0.34375
1567035241.576782,24536,0.3046875
1567035242.393434,25560,0.34375
1567035242.502712,25688,0.3125
1567035242.611069,25816,0.2265625
1567035243.014348,26328,0.3046875
1567035244.053229,27608,0.390625
1567035244.147687,27736,0.328125
1567035244.34103,27992,0.3203125
1567035244.540721,28248,0.34375
1567035244.738643,28504,0.3671875
1567035245.040396,28888,0.3125
1567035245.1470022,29016,0.3515625
1567035245.252479,29144,0.40625
1567035245.5497742,29528,0.3359375
1567035251.690148,30574,0.359375
1567035251.899057,30830,0.3515625
1567035252.482399,31598,0.3203125
1567035252.770964,31982,0.375
1567035252.881603,32110,0.3828125
1567035252.978718,32238,0.359375
1567035253.074701,32366,0.359375
1567035253.281364,32622,0.34375
1567035253.7018182,33134,0.390625
1567035253.916469,33390,0.3359375
1567035254.1291661,33646,0.2578125
1567035254.322699,33902,0.4375
1567035254.822058,34542,0.34375
1567035255.404999,35310,0.3828125
1567035256.100121,36206,0.390625
1567035256.173841,36228,0.22727273404598236
1567035261.786626,36740,0.3984375
1567035261.89499,36868,0.359375
1567035262.205058,37252,0.3515625
1567035262.303478,37380,0.4375
1567035262.3996758,37508,0.421875
1567035262.800596,38020,0.3984375
1567035262.898756,38148,0.3671875
1567035263.088481,38404,0.484375
1567035263.38892,38788,0.4140625
1567035263.819959,39300,0.375
1567035263.926962,39428,0.359375
1567035264.034389,39556,0.3984375
1567035264.149663,39684,0.3984375
1567035264.3454,39940,0.3046875
1567035264.6676638,40324,0.34375
1567035264.778951,40452,0.453125
1567035264.899061,40580,0.3828125
1567035265.224229,40964,0.328125
1567035265.5363252,41348,0.3046875
1567035266.172086,42116,0.3359375
1567035266.340468,42266,0.3181818127632141
1567035272.005834,42522,0.3984375
1567035272.104573,42650,0.3984375
1567035272.307725,42906,0.3359375
1567035272.414712,43034,0.421875
1567035272.930897,43674,0.4375
1567035273.0277948,43802,0.375
1567035273.4421592,44314,0.296875
1567035273.642397,44570,0.40625
1567035273.963895,44954,0.296875
1567035274.371229,45466,0.421875
1567035274.7791731,45978,0.484375
1567035274.9873762,46234,0.3984375
1567035275.3900402,46746,0.359375
1567035275.496744,46874,0.4375
1567035275.592937,47002,0.3125
1567035275.8076642,47258,0.3203125
1567035275.924243,47386,0.3671875
1567035276.316531,47898,0.375
1567035276.4245,48026,0.3515625
1567035281.8205838,48304,0.37462735176086426
1567035281.931198,48432,0.3671875
1567035282.029108,48560,0.4375
1567035283.037166,49840,0.421875
1567035283.566441,50480,0.421875
1567035284.302817,51376,0.3828125
1567035284.399081,51504,0.40625
1567035284.895635,52144,0.40625
1567035285.002014,52272,0.34375
1567035285.192388,52528,0.3984375
1567035285.386084,52784,0.3671875
1567035285.7903209,53296,0.4296875
1567035286.696373,54342,0.40909090638160706
1567035292.0744908,54470,0.4296875
1567035292.1736698,54598,0.390625
1567035292.47338,54982,0.4375
1567035293.083512,55750,0.3671875
1567035293.799119,56646,0.3984375
1567035293.908743,56774,0.3359375
1567035294.0134761,56902,0.390625
1567035294.110809,57030,0.421875
1567035294.334702,57286,0.375
1567035294.4343832,57414,0.359375
1567035294.752539,57798,0.34375
1567035294.855911,57926,0.375
1567035295.36817,58566,0.453125
1567035295.4791648,58694,0.390625
1567035296.643129,60102,0.3515625
1567035296.917207,60380,0.3181818127632141
1567035302.429952,60380,0.3858893811702728
1567035302.649602,60636,0.3984375
1567035302.8493,60892,0.3125
1567035303.164808,61276,0.3984375
1567035304.373866,62684,0.3984375
1567035304.780468,63196,0.3671875
1567035304.893249,63324,0.40625
1567035305.112559,63580,0.3515625
1567035305.32273,63836,0.4140625
1567035305.419679,63964,0.4609375
1567035305.633735,64220,0.390625
1567035306.149487,64860,0.3515625
1567035306.258847,64988,0.328125
1567035306.873282,65756,0.3828125
1567035307.079374,66012,0.3359375
1567035307.176186,66140,0.375
1567035307.292945,66268,0.46875
1567035307.3908439,66396,0.3125
1567035307.462055,66418,0.5
1567035313.0744581,66418,0.38853925466537476
1567035313.296892,66674,0.40625
1567035313.408829,66802,0.5234375
1567035313.5273001,66930,0.34375
1567035314.042342,67570,0.3828125
1567035314.1581829,67698,0.4140625
1567035314.2590778,67826,0.359375
1567035314.4607291,68082,0.3671875
1567035314.8849878,68594,0.421875
1567035315.0930948,68850,0.390625
1567035315.2862568,69106,0.4609375
1567035315.7093189,69618,0.40625
1567035315.80531,69746,0.4140625
1567035315.907412,69874,0.4375
1567035316.309972,70386,0.390625
1567035316.703704,70898,0.4296875
1567035316.7986612,71026,0.375
1567035317.108612,71410,0.34375
1567035317.3051689,71666,0.40625
1567035317.406166,71794,0.3984375
1567035317.504032,71922,0.375
1567035317.61678,72050,0.3671875
1567035317.7134678,72178,0.3984375
1567035317.811015,72306,0.3828125
1567035317.9950411,72456,0.4545454680919647
1567035323.116879,72456,0.3976482152938843
1567035323.6316428,73096,0.4609375
1567035323.7270882,73224,0.4140625
1567035324.04494,73608,0.390625
1567035324.140477,73736,0.3828125
1567035324.4364622,74120,0.3515625
1567035324.639505,74376,0.421875
1567035325.076212,74888,0.359375
1567035325.293503,75144,0.375
1567035325.494271,75400,0.3984375
1567035325.693247,75656,0.4296875
1567035326.005884,76040,0.3671875
1567035326.4361129,76552,0.5
1567035326.544221,76680,0.328125
1567035326.762723,76936,0.421875
1567035327.080975,77320,0.3515625
1567035327.5111449,77832,0.34375
1567035328.0376441,78472,0.3671875
1567035328.84571,79134,0.4453125
1567035328.942709,79262,0.3984375
1567035329.150542,79518,0.40625
1567035329.260303,79646,0.359375
1567035329.368495,79774,0.3984375
1567035329.476747,79902,0.421875
1567035329.57326,80030,0.4296875
1567035329.67931,80158,0.40625
1567035329.975764,80542,0.3515625
1567035330.380918,81054,0.3984375
1567035330.488718,81182,0.3359375
1567035330.8920808,81694,0.4375
1567035331.196089,82078,0.46875
1567035331.409037,82334,0.4609375
1567035331.61906,82590,0.3359375
1567035331.9371169,82974,0.4140625
1567035332.038034,83102,0.421875
1567035332.141053,83230,0.421875
1567035332.248779,83358,0.3359375
1567035332.357182,83486,0.4140625
1567035332.559602,83742,0.46875
1567035332.6613739,83870,0.390625
1567035332.757715,83998,0.40625
1567035332.9579,84254,0.40625
1567035333.054986,84382,0.3984375
1567035333.157391,84510,0.328125
1567035333.230745,84532,0.27272728085517883
1567035333.562932,84660,0.4609375
1567035333.767047,84916,0.390625
1567035333.866455,85044,0.4453125
1567035334.566658,85940,0.53125
1567035334.883135,86324,0.421875
1567035334.990473,86452,0.390625
1567035335.088203,86580,0.390625
1567035335.3066618,86836,0.4296875
1567035335.6049962,87220,0.390625
1567035335.807915,87476,0.4140625
1567035336.0081532,87732,0.5
1567035336.4210482,88244,0.359375
1567035336.843497,88756,0.46875
1567035337.159477,89140,0.375
1567035337.25777,89268,0.3984375
1567035337.356457,89396,0.4140625
1567035337.4565592,89524,0.3828125
1567035337.556118,89652,0.390625
1567035338.0777228,90292,0.421875
1567035343.772831,90826,0.375
1567035343.98212,91082,0.4140625
1567035344.087923,91210,0.3671875
1567035344.196526,91338,0.3828125
1567035344.490714,91722,0.5
1567035344.79845,92106,0.46875
1567035344.909444,92234,0.4609375
1567035345.229776,92618,0.46875
1567035345.3346372,92746,0.4375
1567035345.431029,92874,0.3359375
1567035345.632267,93130,0.3984375
1567035345.837425,93386,0.421875
1567035346.4552,94154,0.4609375
1567035346.77783,94538,0.3984375
1567035346.888895,94666,0.4140625
1567035347.18962,95050,0.390625
1567035347.286748,95178,0.4375
1567035347.3967721,95306,0.4140625
