Wall time,Step,Value
1567036704.5343459,96,0.125
1567036705.907455,256,0.1875
1567036706.312277,304,0.1875
1567036707.12991,400,0.1875
1567036709.349098,656,0.375
1567036709.629605,688,0.125
1567036709.9041321,720,0.1875
1567036710.043414,736,0.1875
1567036710.318953,768,0.25
1567036711.142287,864,0.3125
1567036711.280538,880,0.125
1567036711.4209862,896,0.1875
1567036711.55642,912,0.25
1567036712.797512,1056,0.125
1567036713.6409621,1152,0.125
1567036713.778584,1168,0.0625
1567036713.9149408,1184,0.125
1567036714.0451992,1200,0.5625
1567036714.718223,1280,0.375
1567036715.763712,1408,0.25
1567036716.7282681,1520,0.125
1567036717.788341,1648,0.1875
1567036718.164792,1696,0.375
1567036718.302686,1712,0.3125
1567036719.206461,1824,0.3125
1567036719.84533,1904,0.3125
1567036720.8659048,2032,0.0625
1567036721.246467,2080,0.125
1567036721.374225,2096,0.3125
1567036722.5762172,2240,0.125
1567036722.843526,2272,0.125
1567036722.980881,2288,0.1875
1567036724.0310771,2416,0.375
1567036724.704297,2496,0.125
1567036725.012768,2528,0.1875
1567036725.143481,2544,0.25
1567036726.347542,2688,0.0
1567036726.4766212,2704,0.1875
1567036726.888252,2752,0.125
1567036727.698296,2848,0.125
1567036727.839724,2864,0.25
1567036728.5262442,2944,0.0
1567036728.79716,2976,0.0
1567036728.9287412,2992,0.125
1567036729.502672,3056,0.375
1567036729.643937,3072,0.125
1567036730.616118,3184,0.375
1567036731.719712,3312,0.3125
1567036731.860789,3328,0.125
1567036732.011924,3344,0.1875
1567036732.563613,3408,0.25
1567036734.121099,3584,0.25
1567036735.006978,3680,0.1875
1567036735.734092,3760,0.125
1567036736.177171,3808,0.3125
1567036737.9675908,4000,0.25
1567036738.864557,4096,0.0625
1567036739.613305,4176,0.1875
1567036740.0601401,4224,0.25
1567036740.677066,4288,0.25
1567036741.2774248,4352,0.1875
1567036741.5977511,4384,0.375
1567036742.351309,4464,0.25
1567036744.417784,4688,0.4375
1567036745.185874,4768,0.25
1567036745.333696,4784,0.125
1567036746.15008,4864,0.125
1567036746.76803,4928,0.0
1567036746.9275699,4944,0.25
1567036747.281377,4976,0.125
1567036748.598356,5104,0.1875
1567036748.753797,5120,0.1875
1567036749.669166,5216,0.4375
1567036749.833309,5232,0.4375
1567036749.9922209,5248,0.125
1567036750.447139,5296,0.125
1567036751.8847291,5440,0.4375
1567036753.1993861,5568,0.3125
1567036755.853129,5824,0.25
1567036756.548269,5888,0.25
1567036757.542561,5984,0.25
1567036758.219402,6038,0.1666666716337204
1567039221.119968,6054,0.0625
1567039222.196123,6246,0.0625
1567039222.287328,6262,0.1875
1567039223.762301,6518,0.0
1567039225.012165,6726,0.4375
1567039225.107272,6742,0.25
1567039225.293321,6774,0.3125
1567039225.849578,6870,0.375
1567039226.694331,7014,0.25
1567039226.880186,7046,0.0625
1567039226.9707541,7062,0.125
1567039227.243084,7110,0.25
1567039227.792802,7206,0.3125
1567039228.6107142,7350,0.0
1567039228.890635,7398,0.0625
1567039228.983546,7414,0.1875
1567039229.791553,7558,0.3125
1567039229.883431,7574,0.3125
1567039231.2850828,7814,0.25
1567039231.475455,7846,0.1875
1567039231.662884,7878,0.25
1567039232.93893,8102,0.5625
1567039233.4184582,8182,0.375
1567039233.5976021,8214,0.0625
1567039233.891238,8262,0.1875
1567039234.676471,8390,0.125
1567039235.2628438,8486,0.4375
1567039235.463852,8518,0.1875
1567039235.760107,8566,0.25
1567039236.343284,8662,0.25
1567039236.8318899,8742,0.25
1567039236.932267,8758,0.25
1567039237.812615,8902,0.125
1567039238.014066,8934,0.125
1567039238.419828,8998,0.1875
1567039238.524457,9014,0.375
1567039239.009276,9094,0.3125
1567039239.4232461,9158,0.25
1567039239.525019,9174,0.1875
1567039240.0315268,9254,0.1875
1567039240.230727,9286,0.375
1567039240.328255,9302,0.3125
1567039240.531255,9334,0.375
1567039240.737834,9366,0.25
1567039240.842377,9382,0.3125
1567039241.339326,9462,0.375
1567039241.439261,9478,0.375
1567039242.155751,9590,0.3125
1567039242.3574789,9622,0.1875
1567039242.995383,9718,0.1875
1567039243.2055979,9750,0.1875
1567039243.729228,9830,0.3125
1567039244.250696,9910,0.1875
1567039244.458199,9942,0.4375
1567039245.715231,10134,0.375
1567039246.460918,10246,0.125
1567039246.5656672,10262,0.1875
1567039246.770344,10294,0.25
1567039246.880646,10310,0.375
1567039246.988082,10326,0.3125
1567039247.090442,10342,0.3125
1567039247.2921941,10374,0.4375
1567039247.60225,10422,0.4375
1567039248.031869,10486,0.3125
1567039248.588535,10566,0.4375
1567039248.918139,10614,0.1875
1567039249.3622909,10678,0.0625
1567039249.703784,10726,0.375
1567039249.8243341,10742,0.1875
1567039250.046932,10774,0.375
1567039250.159174,10790,0.0625
1567039250.495106,10838,0.375
1567039250.605154,10854,0.5625
1567039250.924402,10902,0.375
1567039251.037292,10918,0.125
1567039251.604172,10998,0.1875
1567039251.708988,11014,0.4375
1567039252.4646451,11126,0.125
1567039252.787749,11174,0.5
1567039253.229463,11238,0.125
