Wall time,Step,Value
1566972578.79819,128,0.5703125
1566972578.815555,256,0.5859375
1566972578.829414,384,0.6171875
1566972578.843798,512,0.5625
1566972578.857596,640,0.5078125
1566972578.872053,768,0.6640625
1566972578.886094,896,0.625
1566972578.898871,1024,0.703125
1566972578.913239,1152,0.703125
1566972578.92776,1280,0.6875
1566972578.9415512,1408,0.7265625
1566972578.954593,1536,0.7265625
1566972578.9687731,1664,0.640625
1566972578.9819431,1792,0.671875
1566972578.995223,1920,0.71875
1566972579.008335,2048,0.7578125
1566972579.0217159,2176,0.8046875
1566972579.034882,2304,0.734375
1566972579.047467,2432,0.75
1566972579.060149,2560,0.7421875
1566972579.074031,2688,0.8046875
1566972579.087004,2816,0.828125
1566972579.099838,2944,0.8125
1566972579.113056,3072,0.8515625
1566972579.1262112,3200,0.8125
1566972579.139775,3328,0.7890625
1566972579.152429,3456,0.8125
1566972579.165466,3584,0.7734375
1566972579.179765,3712,0.765625
1566972579.193728,3840,0.828125
1566972579.208199,3968,0.78125
1566972579.2218409,4096,0.8046875
1566972579.235255,4224,0.8046875
1566972579.2495959,4352,0.8046875
1566972579.262593,4480,0.859375
1566972579.275488,4608,0.8359375
1566972579.289261,4736,0.859375
1566972579.302065,4845,0.8256880640983582
1566972589.329026,4845,0.7405572533607483
1566972589.342013,4973,0.8984375
1566972589.35637,5101,0.890625
1566972589.369437,5229,0.84375
1566972589.383008,5357,0.8125
1566972589.397278,5485,0.84375
1566972589.410707,5613,0.8671875
1566972589.422946,5741,0.859375
1566972589.450615,5869,0.84375
1566972589.466621,5997,0.8515625
1566972589.4807549,6125,0.890625
1566972589.494134,6253,0.8203125
1566972589.508978,6381,0.828125
1566972589.5217888,6509,0.8203125
1566972589.5349529,6637,0.796875
1566972589.548254,6765,0.9140625
1566972589.562062,6893,0.8828125
1566972589.575169,7021,0.8515625
1566972589.5878952,7149,0.8671875
1566972589.600394,7277,0.8671875
1566972589.613734,7405,0.8671875
1566972589.626683,7533,0.875
1566972589.638314,7661,0.890625
1566972589.6504,7789,0.890625
1566972589.6625102,7917,0.90625
1566972589.675047,8045,0.8984375
1566972589.6884549,8173,0.9140625
1566972589.7008698,8301,0.875
