Wall time,Step,Value
1567027847.887713,768,0.0859375
1567027847.906848,896,0.09375
1567027847.9847171,1408,0.2578125
1567027848.002193,1536,0.4140625
1567027848.038909,1792,0.359375
1567027848.0567539,1920,0.3515625
1567027848.074781,2048,0.3125
1567027848.1117592,2304,0.3359375
1567027848.1433449,2432,0.2578125
1567027848.165285,2560,0.4375
1567027848.1839218,2688,0.2890625
1567027848.257102,3200,0.390625
1567027848.425178,4352,0.3828125
1567027848.444067,4480,0.3203125
1567027848.480234,4736,0.4375
1567027864.821236,4973,0.3515625
1567027864.843454,5101,0.3515625
1567027864.8832371,5357,0.34375
1567027864.921937,5613,0.3515625
1567027864.9437902,5741,0.3828125
1567027864.983066,5997,0.3828125
1567027865.0232608,6253,0.421875
1567027865.041326,6381,0.4140625
1567027865.097845,6765,0.40625
1567027865.115393,6893,0.4375
1567027865.13431,7021,0.3671875
1567027865.153311,7149,0.375
1567027865.171534,7277,0.4765625
1567027865.226627,7661,0.359375
1567027865.244936,7789,0.375
1567027865.2814689,8045,0.390625
1567027865.31883,8301,0.390625
1567027865.336755,8429,0.4296875
1567027865.355646,8557,0.4453125
1567027865.3738172,8685,0.4140625
1567027865.429664,9069,0.3359375
1567027865.447563,9197,0.375
1567027865.4657779,9325,0.421875
1567027865.484687,9453,0.4453125
1567027865.521882,9690,0.4403669834136963
1567027865.7117639,9946,0.3515625
1567027865.806874,10586,0.484375
1567027865.827449,10714,0.40625
1567027865.8466449,10842,0.390625
1567027865.8659399,10970,0.453125
1567027865.8851762,11098,0.484375
1567027865.9051552,11226,0.4296875
1567027866.001413,11866,0.4296875
1567027866.152956,12890,0.453125
1567027866.209151,13274,0.5078125
1567027866.228162,13402,0.453125
1567027866.3743029,14298,0.5078125
1567027866.569331,14535,0.44375646114349365
1567027866.609463,14791,0.46875
1567027866.629225,14919,0.421875
1567027866.648881,15047,0.5078125
1567027866.7234151,15559,0.4296875
1567027866.742089,15687,0.4296875
1567027866.760562,15815,0.484375
1567027866.8166451,16199,0.5390625
1567027866.836106,16327,0.4765625
1567027866.894432,16711,0.484375
1567027866.972801,17223,0.4453125
1567027867.010814,17479,0.484375
1567027867.065334,17735,0.625
1567027867.085459,17863,0.5078125
1567027867.10461,17991,0.375
1567027867.122972,18119,0.46875
1567027867.160995,18375,0.578125
1567027867.198909,18631,0.5625
1567027867.233333,18887,0.53125
1567027867.288795,19271,0.484375
1567027867.3079438,19380,0.5137614607810974
1567027867.454077,19380,0.48379772901535034
1567027867.4933271,19636,0.515625
1567027867.512842,19764,0.421875
1567027867.5332391,19892,0.5390625
1567027867.596309,20276,0.5859375
1567027867.635175,20532,0.5703125
1567027867.654528,20660,0.515625
1567027867.693307,20916,0.4453125
1567027867.713202,21044,0.390625
1567027867.7711449,21428,0.5
1567027867.8869739,22068,0.5703125
1567027867.906688,22196,0.53125
1567027867.9270122,22324,0.4765625
1567027867.967094,22580,0.53125
1567027867.9864058,22708,0.5078125
1567027868.024585,22964,0.515625
1567027868.062918,23220,0.53125
1567027868.083082,23348,0.4765625
1567027868.103866,23476,0.515625
1567027868.124682,23604,0.4453125
1567027868.163978,23860,0.5859375
1567027868.183702,23988,0.6015625
1567027868.458828,24737,0.5078125
1567027868.5367758,25249,0.5390625
1567027868.6177878,25761,0.46875
1567027868.635447,25889,0.5703125
1567027868.6553018,26017,0.5078125
1567027868.7301419,26529,0.5625
1567027868.749356,26657,0.5
1567027868.7899551,26913,0.4765625
1567027868.8509839,27297,0.5625
1567027868.8722858,27425,0.5859375
1567027868.9345531,27809,0.5078125
1567027868.95548,27937,0.515625
1567027868.9957829,28193,0.53125
1567027869.018168,28321,0.5625
1567027869.039349,28449,0.5
1567027869.080965,28705,0.578125
1567027869.09918,28833,0.5234375
1567027869.118352,28961,0.46875
1567027869.138676,29070,0.5504587292671204
1567027869.317336,29070,0.529411792755127
1567027869.339374,29198,0.5859375
1567027869.3989482,29582,0.5390625
1567027869.457371,29966,0.5546875
1567027869.536505,30478,0.5546875
1567027869.556291,30606,0.5546875
1567027869.598911,30862,0.6171875
1567027869.637183,31118,0.5546875
1567027869.657102,31246,0.515625
1567027869.7525089,31886,0.578125
1567027869.811924,32270,0.59375
1567027869.831448,32398,0.5
1567027869.851348,32526,0.4765625
1567027869.8718069,32654,0.546875
1567027869.910093,32910,0.6484375
1567027869.990459,33422,0.5390625
1567027870.033692,33678,0.546875
1567027870.081686,33915,0.5045871734619141
1567027870.274197,34043,0.625
1567027870.380666,34683,0.5625
1567027870.421227,34939,0.4921875
1567027870.503763,35451,0.5078125
1567027870.607075,36091,0.4921875
1567027870.6455512,36347,0.4765625
1567027870.6652591,36475,0.546875
1567027870.723225,36859,0.59375
1567027870.760946,37115,0.6484375
1567027870.7796118,37243,0.5625
1567027870.798538,37371,0.578125
1567027870.851397,37627,0.5546875
1567027870.870284,37755,0.59375
1567027870.889193,37883,0.515625
1567027870.9722528,38395,0.5859375
1567027870.992817,38523,0.53125
1567027871.031469,38760,0.5871559381484985
1567027871.220182,39016,0.65625
1567027871.297206,39528,0.5546875
1567027871.3162088,39656,0.5234375
1567027871.336247,39784,0.515625
1567027871.3565838,39912,0.609375
1567027871.396158,40168,0.6171875
1567027871.4538,40552,0.5390625
1567027871.4736798,40680,0.546875
1567027871.4931269,40808,0.5703125
1567027871.550581,41192,0.6015625
1567027871.5718231,41320,0.5390625
1567027871.6097422,41576,0.5703125
1567027871.7236302,42344,0.578125
1567027871.762772,42600,0.625
1567027871.838912,42984,0.53125
1567027871.858329,43112,0.609375
1567027871.8961868,43368,0.59375
1567027871.9152808,43496,0.640625
1567027872.147021,43989,0.5078125
1567027872.168109,44117,0.6015625
1567027872.20858,44373,0.5625
1567027872.247802,44629,0.6015625
1567027872.267381,44757,0.640625
1567027872.2862751,44885,0.6875
1567027872.3446531,45269,0.59375
1567027872.364015,45397,0.6171875
1567027872.382279,45525,0.640625
1567027872.418967,45781,0.5234375
1567027872.438056,45909,0.6015625
1567027872.476144,46165,0.6328125
1567027872.494824,46293,0.59375
1567027872.534336,46549,0.5390625
1567027872.579085,46805,0.546875
1567027872.6182988,47061,0.5859375
1567027872.637795,47189,0.6015625
1567027872.65745,47317,0.6328125
1567027872.696023,47573,0.59375
1567027872.716491,47701,0.5546875
1567027872.774102,48085,0.546875
1567027872.792983,48213,0.546875
1567027872.829659,48341,0.5234375
1567027872.852048,48450,0.5688073635101318
1567027873.0298629,48578,0.6171875
1567027873.05006,48706,0.546875
1567027873.069477,48834,0.5625
1567027873.091657,48962,0.5703125
1567027873.269012,50114,0.6875
1567027873.28912,50242,0.6328125
1567027873.3278039,50498,0.6640625
1567027873.384693,50882,0.640625
1567027873.521936,51778,0.5859375
1567027873.540873,51906,0.59375
1567027873.621904,52418,0.6171875
1567027873.641776,52546,0.625
1567027873.6601238,52674,0.65625
1567027873.697171,52930,0.5859375
1567027873.736537,53186,0.5859375
1567027873.956983,53551,0.6328125
1567027874.137283,54703,0.578125
1567027874.15637,54831,0.6640625
1567027874.174856,54959,0.6015625
1567027874.193706,55087,0.6328125
1567027874.252058,55343,0.6328125
1567027874.271873,55471,0.5625
1567027874.329896,55855,0.609375
1567027874.386048,56239,0.578125
1567027874.5200949,57135,0.6328125
1567027874.540086,57263,0.5859375
1567027874.56061,57391,0.625
1567027874.581113,57519,0.53125
1567027874.620967,57775,0.6171875
1567027874.640574,57903,0.6328125
1567027874.6612039,58031,0.5234375
1567027874.85139,58140,0.6117647290229797
1567027874.8721669,58268,0.6640625
1567027874.890815,58396,0.6171875
1567027874.929763,58652,0.5546875
1567027874.971143,58908,0.6484375
1567027874.991405,59036,0.65625
1567027875.077352,59548,0.71875
1567027875.2164721,60444,0.6171875
1567027875.275041,60828,0.5859375
1567027875.294198,60956,0.625
1567027875.3337102,61212,0.5703125
1567027875.374314,61468,0.5625
1567027875.4326441,61852,0.5625
1567027875.7936902,63113,0.546875
1567027875.886482,63497,0.6015625
1567027875.9076962,63625,0.6484375
1567027875.928809,63753,0.609375
1567027875.971139,64009,0.5703125
1567027876.015769,64265,0.6484375
1567027876.036237,64393,0.703125
1567027876.076378,64649,0.5703125
1567027876.179496,65289,0.7265625
1567027876.2007868,65417,0.5703125
1567027876.3191879,66185,0.6640625
1567027876.356735,66441,0.625
1567027876.376137,66569,0.6640625
1567027876.3948648,66697,0.609375
1567027876.415044,66825,0.6796875
1567027876.43572,66953,0.7109375
1567027876.454328,67081,0.609375
1567027876.475084,67209,0.6328125
1567027876.4965491,67337,0.6484375
1567027876.516209,67465,0.6015625
1567027876.536751,67593,0.6640625
1567027876.576745,67830,0.6605504751205444
1567027876.7740312,68086,0.5546875
1567027876.7942789,68214,0.6328125
1567027876.840019,68342,0.640625
1567027876.891649,68598,0.6484375
1567027876.988779,69110,0.671875
1567027877.031389,69366,0.5390625
1567027877.072777,69622,0.6015625
1567027877.156306,70134,0.6875
1567027877.184116,70262,0.734375
1567027877.20674,70390,0.7109375
1567027877.248665,70646,0.6640625
1567027877.2910342,70902,0.6171875
1567027877.3313222,71158,0.625
1567027877.376373,71414,0.6015625
1567027877.39873,71542,0.6640625
1567027877.458665,71926,0.609375
1567027877.49885,72182,0.6015625
1567027877.517536,72310,0.7109375
1567027877.5379672,72438,0.6328125
1567027877.5574489,72566,0.703125
1567027877.575066,72675,0.6146789193153381
1567027877.733251,72675,0.6369453072547913
1567027877.775028,72931,0.6875
1567027877.797056,73059,0.6796875
1567027877.919853,73699,0.640625
1567027877.940968,73827,0.609375
1567027877.981966,74083,0.5546875
1567027878.000731,74211,0.6796875
1567027878.019974,74339,0.5859375
1567027878.078809,74723,0.609375
1567027878.120033,74979,0.65625
1567027878.15863,75235,0.7109375
1567027878.198038,75491,0.6640625
1567027878.238304,75747,0.6171875
1567027878.277119,76003,0.6171875
1567027878.295418,76131,0.5546875
1567027878.3139288,76259,0.625
1567027878.3700328,76643,0.6640625
1567027878.446603,77155,0.6640625
1567027878.465895,77283,0.65625
1567027878.504638,77520,0.6880733966827393
1567027878.661155,77520,0.6433436274528503
1567027878.700944,77776,0.671875
1567027878.7770822,78288,0.6328125
1567027878.89679,78928,0.7109375
1567027879.0383291,79824,0.6171875
1567027879.058369,79952,0.6171875
1567027879.098471,80208,0.7265625
1567027879.118426,80336,0.6328125
1567027879.1401742,80464,0.6796875
1567027879.159366,80592,0.6640625
1567027879.180275,80720,0.6015625
1567027879.1988952,80848,0.6875
1567027879.2390962,81104,0.6796875
1567027879.258384,81232,0.625
1567027879.3354082,81744,0.5625
1567027879.355354,81872,0.703125
1567027879.392282,82128,0.640625
1567027879.4301429,82365,0.6605504751205444
1567027879.620542,82621,0.6484375
1567027879.65987,82877,0.640625
1567027879.680655,83005,0.6484375
1567027879.699723,83133,0.65625
1567027879.756972,83517,0.609375
1567027879.776086,83645,0.625
1567027879.796711,83773,0.65625
1567027879.815382,83901,0.640625
1567027879.83515,84029,0.6640625
1567027879.8729632,84285,0.65625
1567027879.893655,84413,0.65625
1567027879.914757,84541,0.7265625
1567027879.95423,84797,0.6953125
1567027879.973693,84925,0.671875
1567027879.993058,85053,0.640625
1567027880.012268,85181,0.609375
1567027880.031596,85309,0.6796875
1567027880.0506072,85437,0.671875
1567027880.0891032,85693,0.7109375
1567027880.108245,85821,0.625
1567027880.164293,86205,0.5703125
1567027880.240395,86717,0.546875
1567027880.315489,87101,0.7578125
1567027880.336492,87210,0.6788991093635559
1567027880.4912472,87210,0.656965970993042
1567027880.531586,87466,0.6640625
1567027880.5508852,87594,0.640625
1567027880.5712268,87722,0.6953125
1567027880.591615,87850,0.59375
1567027880.6285791,88106,0.6953125
1567027880.649448,88234,0.734375
1567027880.669415,88362,0.6328125
1567027880.746368,88874,0.6953125
1567027880.824055,89386,0.5703125
1567027880.843678,89514,0.625
1567027880.88367,89770,0.65625
1567027880.904314,89898,0.65625
1567027880.923539,90026,0.6171875
1567027880.944185,90154,0.671875
1567027880.962591,90282,0.6796875
1567027880.9809332,90410,0.625
1567027881.039437,90794,0.6875
