Wall time,Step,Value
1567017117.698791,128,0.0078125
1567017117.835259,256,0.0234375
1567017118.1079,512,0.125
1567017118.227612,640,0.1796875
1567017118.3460128,768,0.359375
1567017118.4675798,896,0.3515625
1567017118.596997,1024,0.34375
1567017118.726908,1152,0.359375
1567017118.850324,1280,0.3984375
1567017118.972002,1408,0.2734375
1567017119.1156712,1536,0.3515625
1567017119.2424781,1664,0.375
1567017119.360821,1792,0.390625
1567017119.48048,1920,0.3515625
1567017119.609261,2048,0.3828125
1567017119.730309,2176,0.40625
1567017119.8504698,2304,0.3828125
1567017119.9742541,2432,0.3671875
1567017120.1078742,2560,0.421875
1567017120.227984,2688,0.375
1567017120.348462,2816,0.328125
1567017120.473988,2944,0.421875
1567017120.594511,3072,0.4375
1567017120.725662,3200,0.375
1567017120.855996,3328,0.3828125
1567017120.977095,3456,0.421875
1567017121.111914,3584,0.40625
1567017121.478594,3968,0.3359375
1567017121.597503,4096,0.328125
1567017121.716199,4224,0.3671875
1567017121.845601,4352,0.3515625
1567017121.962445,4480,0.359375
1567017122.2140899,4736,0.3359375
1567017122.3494241,4845,0.3486238420009613
1567018159.1305048,4845,0.33519092202186584
1567018159.257421,4973,0.390625
1567018159.389684,5101,0.4765625
1567018159.6484532,5357,0.4375
1567018159.793207,5485,0.375
1567018159.92168,5613,0.4140625
1567018160.042204,5741,0.421875
1567018160.174581,5869,0.4609375
1567018160.305503,5997,0.390625
1567018160.5446348,6253,0.3984375
1567018160.665447,6381,0.3515625
1567018160.9222379,6637,0.390625
1567018161.0452092,6765,0.3828125
1567018161.194041,6893,0.3828125
1567018161.323461,7021,0.453125
1567018161.443418,7149,0.34375
1567018161.574507,7277,0.4140625
1567018161.831605,7533,0.421875
1567018161.962228,7661,0.4140625
1567018162.09509,7789,0.421875
1567018162.230999,7917,0.4453125
1567018162.34747,8045,0.4609375
1567018162.468601,8173,0.359375
1567018162.592652,8301,0.3984375
1567018162.713961,8429,0.3125
1567018162.840628,8557,0.3828125
1567018162.962956,8685,0.390625
1567018163.093271,8813,0.3984375
1567018163.3331578,9069,0.359375
1567018163.4567392,9197,0.40625
1567018163.576925,9325,0.3671875
1567018163.7036312,9453,0.4453125
1567018163.844768,9581,0.46875
1567018163.982653,9690,0.38532111048698425
1567018170.36657,9690,0.40412795543670654
1567018170.491102,9818,0.46875
1567018170.610965,9946,0.4296875
1567018170.86836,10202,0.4296875
1567018170.9874492,10330,0.3984375
1567018171.264883,10586,0.46875
1567018171.384268,10714,0.4375
1567018171.5020318,10842,0.3984375
1567018171.6161852,10970,0.4765625
1567018171.752068,11098,0.4296875
1567018171.8777459,11226,0.4296875
1567018172.137702,11482,0.4296875
1567018172.257975,11610,0.40625
1567018172.382406,11738,0.4921875
1567018172.5086012,11866,0.484375
1567018172.6254668,11994,0.453125
1567018172.760649,12122,0.4375
1567018172.880146,12250,0.3515625
1567018173.115138,12506,0.484375
1567018173.241473,12634,0.3984375
1567018173.3721159,12762,0.5
1567018173.496593,12890,0.4765625
1567018173.625802,13018,0.5
