Wall time,Step,Value
1566972690.712394,128,0.421875
1566972690.857067,256,0.578125
1566972690.993063,384,0.4921875
1566972691.1216152,512,0.359375
1566972691.24953,640,0.5625
1566972691.378089,768,0.4609375
1566972691.508207,896,0.5546875
1566972691.64849,1024,0.609375
1566972691.787311,1152,0.5390625
1566972691.9143848,1280,0.4921875
1566972692.04362,1408,0.53125
1566972692.180276,1536,0.5390625
1566972692.3199308,1664,0.609375
1566972692.4555168,1792,0.5625
1566972692.5901408,1920,0.625
1566972692.719521,2048,0.625
1566972692.861229,2176,0.625
1566972692.999014,2304,0.65625
1566972693.135099,2432,0.546875
1566972693.2712672,2560,0.5546875
1566972693.398232,2688,0.640625
1566972693.5311959,2816,0.6328125
1566972693.675216,2944,0.609375
1566972693.81319,3072,0.6875
1566972693.9420002,3200,0.6328125
1566972694.077947,3328,0.6484375
1566972694.2133582,3456,0.5234375
1566972694.341341,3584,0.59375
1566972694.4709492,3712,0.625
1566972694.601121,3840,0.5703125
1566972694.7367501,3968,0.609375
1566972694.8719392,4096,0.609375
1566972695.0017889,4224,0.609375
1566972695.1369312,4352,0.6953125
1566972695.266479,4480,0.65625
1566972695.395118,4608,0.6875
1566972695.535382,4736,0.640625
1566972695.682476,4845,0.7064220309257507
1566974645.778076,4845,0.5869969129562378
1566974645.9200482,4973,0.6875
1566974646.0536819,5101,0.6875
1566974646.2046962,5229,0.6796875
1566974646.344512,5357,0.6640625
1566974646.486762,5485,0.703125
1566974646.623811,5613,0.7734375
1566974646.763354,5741,0.765625
1566974646.897457,5869,0.6953125
1566974647.055199,5997,0.7265625
1566974647.198984,6125,0.765625
1566974647.3468711,6253,0.703125
1566974647.482444,6381,0.6953125
1566974647.626791,6509,0.703125
1566974647.78,6637,0.7109375
1566974647.925428,6765,0.765625
1566974648.06872,6893,0.71875
1566974648.198998,7021,0.7421875
1566974648.330365,7149,0.71875
1566974648.47679,7277,0.8046875
1566974648.615998,7405,0.7734375
1566974648.763869,7533,0.703125
1566974648.917585,7661,0.796875
1566974649.0660229,7789,0.828125
1566974649.208382,7917,0.8671875
1566974649.3522828,8045,0.734375
1566974649.4841459,8173,0.7265625
1566974649.631754,8301,0.7734375
1566974649.7832441,8429,0.828125
1566974649.9267929,8557,0.7890625
1566974650.057781,8685,0.78125
1566974650.191139,8813,0.84375
1566974650.3334248,8941,0.8359375
1566974650.4753869,9069,0.828125
1566974650.6200662,9197,0.8125
1566974650.761863,9325,0.84375
1566974650.908013,9453,0.8984375
