Wall time,Step,Value
1567037420.009196,768,0.3984375
1567037420.335003,896,0.3125
1567037421.455811,1408,0.3828125
1567037421.763902,1536,0.3515625
1567037422.3007722,1792,0.28125
1567037422.5786629,1920,0.3984375
1567037422.825574,2048,0.40625
1567037423.365489,2304,0.296875
1567037423.639287,2432,0.375
1567037423.927597,2560,0.375
1567037424.183318,2688,0.28125
1567037425.20049,3200,0.4140625
1567037427.6452181,4352,0.34375
1567037427.92856,4480,0.3203125
1567037428.4481459,4736,0.3359375
1567038371.5585659,4973,0.3828125
1567038371.722471,5101,0.3515625
1567038372.0304298,5357,0.3828125
1567038372.345333,5613,0.359375
1567038372.505168,5741,0.3515625
1567038372.800894,5997,0.3984375
1567038373.104049,6253,0.375
1567038373.255857,6381,0.3828125
1567038373.784245,6765,0.3125
1567038373.968927,6893,0.3828125
1567038374.142211,7021,0.328125
1567038374.295637,7149,0.359375
1567038374.46776,7277,0.3359375
1567038374.978116,7661,0.3828125
1567038375.1369002,7789,0.3203125
1567038375.453554,8045,0.2734375
1567038375.759543,8301,0.3515625
1567038375.922802,8429,0.3671875
1567038376.097086,8557,0.40625
1567038376.269115,8685,0.3515625
1567038376.7751281,9069,0.4140625
1567038376.942849,9197,0.3359375
1567038377.119833,9325,0.3515625
1567038377.275412,9453,0.375
1567038377.622429,9690,0.38532111048698425
1567038385.433534,9946,0.359375
1567038386.216115,10586,0.375
1567038386.373503,10714,0.3203125
1567038386.511038,10842,0.3828125
1567038386.659114,10970,0.3828125
1567038386.7939332,11098,0.3359375
1567038386.935426,11226,0.375
1567038387.645984,11866,0.421875
1567038388.79492,12890,0.359375
1567038389.24704,13274,0.3359375
1567038389.3968372,13402,0.234375
1567038390.333757,14298,0.3515625
1567038397.157136,14535,0.35583075881004333
1567038397.406949,14791,0.4453125
1567038397.521203,14919,0.359375
1567038397.6502368,15047,0.3125
1567038398.124233,15559,0.28125
1567038398.240432,15687,0.34375
1567038398.355127,15815,0.3203125
1567038398.711734,16199,0.328125
1567038398.823241,16327,0.359375
1567038399.1924942,16711,0.34375
1567038399.698324,17223,0.390625
1567038399.928247,17479,0.3359375
1567038400.153267,17735,0.296875
1567038400.277361,17863,0.3984375
1567038400.3881311,17991,0.34375
1567038400.512056,18119,0.4375
1567038400.743278,18375,0.3515625
1567038400.978631,18631,0.3984375
1567038401.237963,18887,0.4140625
1567038401.6225338,19271,0.421875
1567038401.755619,19380,0.4128440320491791
1567038407.488412,19380,0.36532506346702576
1567038407.766967,19636,0.34375
1567038407.919842,19764,0.4765625
1567038408.0715551,19892,0.40625
1567038408.463177,20276,0.3671875
1567038408.71731,20532,0.375
1567038408.8420742,20660,0.390625
1567038409.130371,20916,0.3828125
1567038409.264915,21044,0.46875
1567038409.672338,21428,0.359375
1567038410.341185,22068,0.4453125
1567038410.481637,22196,0.4609375
1567038410.6107678,22324,0.4140625
1567038410.872289,22580,0.4296875
1567038411.021632,22708,0.3828125
1567038411.29026,22964,0.5
1567038411.541868,23220,0.4375
1567038411.679768,23348,0.4375
1567038411.807148,23476,0.4375
1567038411.940358,23604,0.375
1567038412.21717,23860,0.4453125
1567038412.360152,23988,0.3125
1567038419.950398,24737,0.3828125
1567038420.509846,25249,0.3984375
1567038421.083074,25761,0.46875
1567038421.2475069,25889,0.453125
1567038421.407857,26017,0.3359375
1567038422.0142531,26529,0.40625
1567038422.17292,26657,0.40625
1567038422.474174,26913,0.4609375
1567038422.955935,27297,0.4765625
1567038423.095832,27425,0.4296875
1567038423.572062,27809,0.4609375
1567038423.713241,27937,0.4296875
1567038424.0231419,28193,0.390625
1567038424.184198,28321,0.453125
1567038424.3325171,28449,0.40625
1567038424.6685991,28705,0.4140625
1567038424.8445902,28833,0.4609375
1567038425.0650811,28961,0.484375
1567038425.303448,29070,0.43119266629219055
1567038434.701762,29070,0.42827656865119934
1567038434.861551,29198,0.4296875
1567038435.330497,29582,0.4609375
1567038435.81245,29966,0.4609375
1567038436.424034,30478,0.453125
1567038436.567415,30606,0.4453125
1567038436.8673122,30862,0.53125
1567038437.1668742,31118,0.546875
1567038437.313646,31246,0.3828125
1567038438.131207,31886,0.4375
1567038438.580201,32270,0.4296875
1567038438.72711,32398,0.453125
1567038438.887983,32526,0.4375
1567038439.057361,32654,0.4140625
1567038439.367997,32910,0.4453125
1567038439.983327,33422,0.4140625
1567038440.294912,33678,0.4765625
1567038440.618068,33915,0.5321100950241089
1567038441.0396202,34043,0.375
1567038441.797684,34683,0.4453125
1567038442.112829,34939,0.453125
1567038442.7297301,35451,0.453125
