Wall time,Step,Value
1567143146.652739,304,0.625
1567143147.790758,688,0.3125
1567143147.94981,736,0.5
1567143148.5113778,912,0.1875
1567143149.2768698,1152,0.375
1567143149.414027,1200,0.4375
1567143150.405751,1520,0.375
1567143153.361381,2496,0.5
1567143153.504769,2544,0.375
1567143153.939167,2688,0.5625
1567143156.9366589,3680,0.5
1567143157.181392,3760,0.5
1567143158.190557,4096,0.8125
1567143158.424014,4176,0.375
1567143158.76085,4288,0.625
1567143159.0543602,4384,0.5
1567143223.041884,4925,0.375
1567143223.1390212,4957,0.625
1567143223.4993532,5085,0.5
1567143224.811884,5549,0.5
1567143225.759457,5869,0.5
1567143228.2883022,6733,0.625
1567143228.3326788,6749,0.6875
1567143229.333729,7069,0.9375
1567143230.283482,7357,0.5625
1567143231.0069919,7581,0.4375
1567143233.949367,8573,0.5625
1567143235.323642,9005,0.6875
1567143236.079697,9261,0.5
1567143236.403501,9373,0.5625
1567143236.462079,9389,0.5
1567143239.732953,9898,0.75
1567143240.466573,10122,0.5
1567143240.841804,10250,0.5
1567143241.115362,10330,0.875
1567143241.207042,10362,0.5625
1567143241.7506151,10554,0.625
1567143242.2712672,10714,0.6875
1567143244.35313,11402,0.5625
1567143244.745833,11530,0.5
1567143245.1066382,11658,0.6875
1567143246.457186,12074,0.5625
1567143246.906456,12218,0.4375
1567143247.1104279,12282,0.6875
1567143247.201859,12314,0.3125
1567143247.898856,12538,0.625
1567143247.9591198,12570,0.6875
1567143248.336524,12682,0.5625
1567143248.749651,12810,0.6875
1567143249.098048,12906,0.5625
1567143250.656928,13354,0.6875
1567143254.862964,14522,0.6875
1567143258.474442,15031,0.8125
1567143258.6049669,15079,0.75
1567143259.66944,15351,0.5625
1567143260.176457,15495,0.6875
1567143260.264858,15511,0.6875
1567143260.5970109,15607,0.6875
1567143260.650296,15623,0.75
1567143260.916565,15703,0.125
1567143262.037205,15991,0.5625
1567143262.19537,16039,0.5
1567143262.724434,16183,0.6875
1567143265.737633,16967,0.625
1567143265.894198,17015,0.6875
1567143266.24927,17111,0.875
1567143266.6055732,17207,0.75
1567143267.6293929,17447,0.625
1567143268.068449,17543,0.8125
1567143268.367993,17623,0.3125
1567143271.603418,18455,0.8125
1567143271.937588,18535,0.5625
1567143272.0088608,18551,0.4375
1567143273.156714,18839,0.625
1567143274.0809479,19047,0.6875
1567143274.9555042,19255,0.75
1567143279.396424,19844,0.875
1567143280.529474,20116,0.8125
1567143281.893323,20436,0.625
1567143284.411981,20996,0.6875
1567143284.6573172,21044,0.75
1567143285.751894,21268,0.5
1567143286.0861282,21332,0.75
1567143289.622964,22100,0.6875
1567143290.110066,22212,0.75
1567143291.750454,22564,0.6875
1567143292.5888472,22756,0.625
1567143293.35299,22916,0.625
1567143295.4989069,23396,0.75
1567143296.2085812,23572,0.5625
1567143296.760612,23700,0.5
1567143297.184299,23796,0.8125
1567143300.989917,24289,0.6875
1567143301.192592,24353,0.8125
1567143302.596406,24753,0.625
1567143303.483347,25009,0.625
1567143303.536544,25025,0.75
1567143304.394335,25265,0.5625
1567143304.610413,25329,0.8125
1567143305.506041,25601,0.6875
1567143307.342431,26161,0.625
1567143307.708957,26289,0.625
1567143309.41055,26833,0.8125
1567143309.8580742,26977,0.875
1567143310.150145,27073,0.8125
1567143310.403104,27153,0.625
1567143310.758222,27265,0.625
1567143311.2296991,27409,0.8125
1567143311.9844632,27633,0.625
1567143312.10449,27665,0.5625
1567143312.2760031,27713,0.8125
1567143312.724017,27857,0.8125
1567143314.433059,28417,0.875
1567143315.603359,28801,0.5
1567143318.234277,29118,0.75
1567143319.062625,29406,0.5625
1567143319.481363,29550,0.8125
1567143320.1150231,29758,0.75
1567143320.241038,29806,0.75
1567143320.607806,29934,0.875
1567143322.53321,30574,0.5625
1567143323.367724,30846,0.75
1567143323.8315609,31006,0.6875
1567143323.969449,31054,0.75
1567143324.889291,31374,0.5625
1567143325.6065228,31630,0.6875
1567143326.430922,31918,0.8125
1567143327.009326,32110,0.5625
1567143327.8210828,32382,0.625
1567143328.127933,32478,0.625
1567143329.362622,32862,0.625
1567143329.969795,33070,0.5
1567143330.10382,33118,0.75
1567143330.150656,33134,0.625
1567143330.517526,33262,0.875
1567143330.713304,33326,0.8125
1567143331.06049,33438,0.6875
1567143334.802176,34203,0.8125
1567143334.979519,34267,0.75
1567143335.2961228,34379,0.75
1567143335.741538,34523,0.6875
1567143336.800982,34875,0.75
1567143336.9692328,34939,0.75
1567143337.307317,35067,0.75
1567143337.682142,35195,0.5625
1567143337.845056,35259,0.875
1567143338.7982159,35579,0.9375
1567143339.033823,35659,0.6875
1567143339.065481,35675,1.0
1567143339.31513,35755,0.75
1567143339.917325,35947,0.75
1567143340.063701,35995,0.6875
1567143340.301507,36075,0.625
1567143341.1980531,36379,0.8125
1567143341.976054,36635,0.75
1567143342.465864,36795,0.5625
1567143343.081842,36987,0.8125
1567143344.3241758,37403,0.6875
1567143344.74716,37547,0.5625
1567143346.459169,38107,0.875
1567143346.4972181,38123,0.6875
1567143346.610305,38155,0.875
1567143350.129306,38840,0.75
1567143350.5183098,38968,0.8125
1567143350.917793,39112,0.75
1567143351.0201678,39144,0.75
1567143351.234612,39224,0.875
1567143352.4903371,39624,0.8125
1567143352.537251,39640,0.8125
1567143353.043434,39800,0.75
1567143353.1187189,39832,0.9375
1567143353.381687,39912,0.875
1567143354.035786,40136,0.875
1567143354.32889,40232,0.5625
1567143354.723168,40376,0.8125
1567143355.443382,40616,0.75
1567143355.7538,40712,0.6875
1567143358.044425,41464,0.75
1567143358.311774,41560,0.75
1567143359.11183,41832,0.875
1567143359.38785,41928,0.75
1567143361.755643,42712,0.75
1567143362.103817,42824,0.75
1567143362.352138,42904,0.75
1567143362.992403,43112,0.6875
1567143366.238218,43685,0.8125
1567143366.931299,43909,0.875
1567143368.6613991,44469,0.875
1567143372.837847,45797,0.6875
1567143373.273338,45941,0.6875
1567143373.740479,46085,0.6875
1567143374.0406232,46181,0.625
1567143375.236353,46565,0.6875
1567143377.747688,47317,0.875
1567143378.173074,47445,0.8125
1567143380.083462,48021,0.625
1567143380.982229,48277,0.8125
1567143381.155046,48325,0.875
1567143381.574717,48450,0.692307710647583
1567143383.40517,48482,0.875
1567143384.671972,48866,1.0
1567143384.9164412,48930,0.875
1567143386.489652,49410,0.75
1567143388.520131,50018,0.875
1567143389.458154,50306,1.0
1567143389.803997,50402,0.8125
1567143390.620776,50658,1.0
1567143391.636506,50946,0.875
1567143391.653731,50962,0.8125
1567143393.5050108,51506,0.625
1567143394.0611022,51666,0.625
1567143394.2546828,51714,0.8125
1567143394.318656,51730,0.75
1567143394.420587,51762,0.625
1567143394.476358,51778,0.875
1567143395.759883,52178,0.6875
1567143397.5474188,52706,0.75
1567143401.214598,53327,0.75
1567143402.90065,53823,0.9375
1567143404.282211,54255,0.8125
1567143404.495741,54335,0.75
1567143405.713897,54687,0.75
1567143406.683637,54991,0.75
1567143407.479748,55231,0.75
1567143408.3238132,55487,0.875
1567143409.8566122,55951,0.5625
1567143410.007633,55999,0.9375
1567143411.2963252,56399,0.8125
1567143412.6981928,56815,0.8125
1567143413.5401359,57087,0.75
1567143414.6472142,57407,0.8125
1567143415.52604,57695,0.8125
1567143415.66199,57727,0.8125
1567143415.782922,57759,0.9375
1567143416.102624,57855,0.8125
1567143419.212945,58284,0.875
1567143419.91545,58508,0.875
1567143422.788102,59404,0.625
1567143423.038613,59468,0.9375
1567143423.578868,59644,0.8125
1567143425.273036,60140,0.8125
1567143425.692734,60268,0.875
1567143426.3637812,60476,0.875
1567143426.641495,60556,0.875
1567143427.501345,60812,0.8125
1567143427.779161,60892,0.875
1567143427.904533,60924,0.9375
1567143428.4392781,61084,0.9375
1567143428.640982,61148,0.9375
1567143430.2139509,61612,0.875
1567143430.860859,61804,0.75
1567143433.795948,62636,0.875
1567143434.430939,62812,0.8125
1567143437.094692,63065,0.9375
1567143438.643069,63513,0.75
1567143440.001489,63929,0.9375
1567143440.601454,64121,0.9375
1567143441.210997,64297,0.9375
1567143441.368135,64345,0.75
1567143444.308797,65257,0.8125
1567143444.566015,65337,1.0
1567143444.5986402,65353,0.875
1567143445.155306,65513,0.6875
1567143448.881872,66681,0.875
1567143449.434433,66857,0.875
1567143449.478661,66873,0.625
1567143449.584973,66905,0.875
1567143449.858336,66985,0.75
1567143449.9099689,67001,0.75
1567143451.164578,67401,0.8125
1567143451.4181561,67481,0.75
1567143451.566004,67529,0.875
1567143451.912908,67657,0.75
1567143454.418745,67958,1.0
1567143454.556685,68006,0.875
1567143454.6178381,68022,0.875
1567143455.3560681,68262,0.8125
1567143456.468756,68614,0.875
1567143457.132237,68822,0.875
1567143457.235444,68854,0.6875
1567143457.89357,69062,0.75
1567143459.704562,69654,0.9375
1567143460.862387,70038,0.8125
1567143461.226889,70150,0.875
1567143461.48109,70246,0.875
1567143462.660789,70630,0.75
1567143462.814801,70678,0.875
1567143465.653517,71622,0.8125
1567143466.4588091,71894,0.8125
1567143467.494665,72230,1.0
1567143467.647181,72278,0.9375
1567143471.469335,72979,0.9375
1567143471.632283,73027,0.9375
1567143472.400331,73283,0.75
1567143474.0118232,73779,1.0
1567143475.416734,74227,0.9375
1567143475.832248,74355,0.6875
1567143476.045111,74419,0.8125
1567143476.449228,74547,0.6875
1567143477.0262852,74723,0.625
1567143478.366427,75139,0.9375
1567143478.613554,75219,0.9375
1567143479.4215412,75475,0.875
1567143480.238419,75731,0.6875
1567143480.628298,75859,0.875
1567143481.102819,76003,0.9375
1567143481.5468428,76147,0.8125
1567143482.0823848,76323,0.875
1567143482.17619,76339,0.75
1567143482.796758,76531,0.8125
1567143482.927115,76563,0.875
1567143484.831664,77171,0.875
1567143485.470526,77363,0.875
1567143487.933434,77648,0.9375
1567143489.164149,78016,0.8125
1567143490.204063,78336,0.9375
1567143492.685814,79104,0.9375
1567143493.185309,79248,0.875
1567143493.3508322,79296,1.0
1567143493.4477608,79328,1.0
1567143496.214051,80144,1.0
1567143496.3702972,80192,0.75
1567143497.394179,80512,0.9375
1567143497.518435,80544,0.75
1567143497.5797188,80560,0.8125
1567143497.872341,80672,0.9375
1567143498.844604,80960,0.875
1567143500.325803,81408,0.6875
1567143501.376265,81728,0.875
1567143501.809789,81856,1.0
1567143503.4134772,82352,0.6875
1567143505.832497,82605,0.8125
1567143506.731987,82893,0.9375
1567143507.141382,83021,0.8125
1567143508.7775,83517,0.875
1567143510.1889532,83949,0.8125
1567143511.360835,84317,1.0
1567143512.827896,84781,0.9375
1567143513.36464,84957,0.8125
1567143514.237168,85213,0.875
1567143514.967812,85437,0.875
1567143516.042551,85773,0.75
1567143518.089202,86413,1.0
1567143519.2522612,86765,0.875
1567143519.504319,86845,1.0
1567143522.9051101,87418,0.9375
1567143523.455306,87594,1.0
1567143523.7641652,87690,0.875
1567143524.444215,87914,0.875
1567143524.5305228,87946,1.0
1567143526.053518,88458,0.875
1567143527.2793012,88842,0.9375
1567143527.887851,89034,0.9375
1567143527.985311,89066,0.8125
1567143528.278795,89162,0.875
1567143528.829759,89354,0.875
1567143530.082154,89754,0.875
1567143531.4504802,90202,0.9375
1567143531.567133,90234,0.75
1567143531.725287,90298,0.9375
1567143532.534168,90538,0.875
1567143534.550689,91194,0.8125
1567143534.709228,91242,0.9375
1567143538.854729,92071,1.0
1567143538.996759,92119,0.9375
1567143539.537277,92279,0.875
1567143540.445238,92567,1.0
1567143540.48241,92583,0.875
1567143541.3205729,92855,1.0
1567143541.470943,92903,0.875
1567143543.150186,93447,0.9375
1567143543.2115378,93479,0.875
1567143543.596478,93591,0.9375
1567143545.401613,94167,0.9375
1567143546.4514492,94503,0.9375
1567143547.674732,94887,0.875
1567143547.9255428,94967,1.0
1567143548.2140858,95063,0.9375
1567143549.6025012,95495,0.875
1567143550.6796858,95815,0.875
1567143550.9667158,95895,0.9375
1567143551.718294,96135,0.9375
1567143552.000252,96215,0.8125
1567143554.202927,96900,1.0
1567143556.942016,97284,0.9375
1567143557.042957,97316,1.0
1567143557.887716,97572,0.9375
1567143557.978406,97604,0.9375
1567143558.300092,97700,0.875
1567143558.395968,97732,1.0
1567143559.3128572,98020,0.9375
1567143560.5040221,98388,1.0
1567143561.093604,98532,1.0
1567143562.158695,98836,0.9375
1567143562.740997,99012,0.9375
1567143562.869625,99044,1.0
1567143563.192449,99140,0.875
1567143563.877312,99348,0.9375
1567143564.8720691,99636,1.0
1567143567.026602,100260,0.8125
1567143568.253442,100628,1.0
1567143568.487595,100692,0.875
1567143568.55145,100708,0.9375
1567143568.9379961,100820,0.875
1567143569.899563,101092,0.8125
1567143570.5284212,101268,0.875
1567143571.150657,101444,0.875
1567143571.6237729,101556,0.9375
1567143571.995949,101652,0.75
1567143575.104537,102017,1.0
1567143578.705133,102961,1.0
1567143580.923437,103537,1.0
1567143580.984836,103553,1.0
1567143581.245527,103617,0.9375
1567143582.477364,103937,1.0
1567143582.555253,103953,1.0
1567143582.595383,103969,1.0
1567143583.093753,104097,1.0
1567143585.75339,104801,1.0
1567143586.1937768,104913,0.9375
1567143586.364949,104961,0.9375
1567143587.486613,105265,1.0
1567143590.700122,106129,1.0
1567143591.2326279,106273,1.0
1567143591.35778,106305,0.875
1567143591.5822709,106369,0.9375
1567143591.9434822,106465,0.9375
1567143592.1362932,106513,1.0
1567143594.247138,106606,0.9375
1567143594.692835,106734,1.0
1567143594.847672,106782,0.875
1567143595.583988,106974,0.9375
1567143597.1142552,107406,1.0
1567143597.334672,107470,0.9375
1567143597.947257,107646,0.875
1567143598.533762,107822,0.875
1567143602.073508,108910,0.8125
1567143602.802868,109134,1.0
1567143603.2126741,109262,0.875
1567143603.8881578,109486,0.9375
1567143603.904927,109502,0.9375
1567143605.2213829,109918,1.0
1567143605.9028192,110142,0.8125
1567143607.142312,110542,0.9375
1567143608.49306,111006,1.0
1567143608.677109,111054,0.8125
1567143611.3669918,111451,1.0
1567143612.215116,111739,0.9375
1567143612.407049,111803,1.0
1567143613.540085,112203,1.0
1567143614.767294,112619,0.9375
1567143616.028547,113035,0.9375
1567143616.740126,113275,0.9375
1567143617.168437,113403,1.0
1567143617.206219,113419,1.0
1567143618.278795,113771,0.9375
1567143619.124089,114059,0.9375
1567143621.098808,114699,1.0
1567143621.5172071,114843,0.9375
1567143622.081509,115035,1.0
1567143622.9378219,115339,1.0
1567143623.115412,115387,0.9375
1567143623.5335958,115531,1.0
1567143627.295393,116360,1.0
1567143627.853471,116536,1.0
1567143628.653464,116824,1.0
1567143629.128932,116984,1.0
1567143629.167325,117000,1.0
1567143630.030088,117288,1.0
1567143630.0692182,117304,0.9375
1567143631.135932,117672,0.9375
1567143631.3360052,117736,1.0
1567143632.0180402,117976,0.9375
1567143633.441552,118456,1.0
1567143633.8597782,118600,1.0
1567143634.0103621,118648,0.9375
1567143634.3509948,118760,0.875
1567143634.849757,118920,1.0
1567143634.984202,118968,0.9375
1567143635.223594,119048,0.9375
1567143635.7147572,119208,0.9375
1567143636.8508291,119592,1.0
1567143637.242965,119736,0.9375
1567143638.1576252,120040,1.0
1567143639.000438,120312,0.875
1567143643.42186,121285,1.0
1567143645.211301,121845,0.9375
1567143646.061153,122117,0.9375
1567143646.509633,122277,1.0
1567143646.77909,122357,1.0
1567143647.305384,122533,1.0
1567143647.587064,122629,0.875
1567143647.954166,122741,1.0
1567143648.867242,123029,0.9375
1567143649.0945148,123109,0.9375
1567143649.341353,123189,1.0
1567143650.283979,123477,1.0
