Wall time,Step,Value
1567138918.299571,304,0.4375
1567138920.332128,688,0.375
1567138920.572727,736,0.375
1567138921.454624,912,0.5
1567138922.682251,1152,0.4375
1567138922.9399638,1200,0.3125
1567138924.609453,1520,0.375
1567138929.3864589,2496,0.5
1567138929.61991,2544,0.5625
1567138930.313086,2688,0.5
1567138935.156992,3680,0.5
1567138935.5434408,3760,0.375
1567138937.197376,4096,0.625
1567138937.583251,4176,0.375
1567138938.135308,4288,0.4375
1567138938.584872,4384,0.375
1567141102.580084,4925,0.375
1567141102.804873,4957,0.5625
1567141103.7131898,5085,0.6875
1567141106.861192,5549,0.8125
1567141109.176704,5869,0.5625
1567141115.31451,6733,0.375
1567141115.426566,6749,0.4375
1567141117.678825,7069,0.4375
1567141119.6898391,7357,0.4375
1567141121.298361,7581,0.3125
1567141128.309184,8573,0.75
1567141131.4222322,9005,0.4375
1567141133.230695,9261,0.4375
1567141133.983428,9373,0.5
1567141134.0942972,9389,0.625
1567141157.8244648,9898,0.375
1567141159.449247,10122,0.3125
1567141160.348782,10250,0.3125
1567141160.922103,10330,0.3125
1567141161.138598,10362,0.375
1567141162.506043,10554,0.625
1567141163.6485069,10714,0.5625
1567141168.4608371,11402,0.3125
1567141169.361297,11530,0.625
1567141170.23729,11658,0.5
1567141173.204479,12074,0.6875
1567141174.223302,12218,0.5625
1567141174.700664,12282,0.6875
1567141174.918899,12314,0.5
1567141176.466752,12538,0.6875
1567141176.681258,12570,0.6875
1567141177.500597,12682,0.5
1567141178.4141078,12810,0.625
1567141179.117249,12906,0.6875
1567141182.303002,13354,0.4375
1567141190.588115,14522,0.625
1567141204.9043012,15031,0.6875
1567141205.162946,15079,0.625
1567141206.634953,15351,0.5625
1567141207.412538,15495,0.5625
1567141207.500148,15511,0.5
1567141208.043062,15607,0.75
1567141208.131503,15623,0.625
1567141208.575347,15703,0.625
1567141210.160314,15991,0.5625
1567141210.430818,16039,0.6875
1567141211.2690618,16183,0.5
1567141215.546037,16967,0.6875
1567141215.811553,17015,0.5
1567141216.3163059,17111,0.5
1567141216.8551779,17207,0.6875
1567141218.1689332,17447,0.75
1567141218.696388,17543,0.5
1567141219.128719,17623,0.75
1567141223.639589,18455,0.75
1567141224.112855,18535,0.6875
1567141224.197474,18551,0.625
1567141225.7819788,18839,0.5625
1567141226.9274812,19047,0.5
1567141228.0700312,19255,0.625
1567141241.292614,19844,0.6875
1567141242.808104,20116,0.75
1567141244.565892,20436,0.6875
1567141247.681728,20996,0.6875
