Wall time,Step,Value
1567145383.15032,304,0.5
1567145385.1546729,688,0.5
1567145385.400197,736,0.5
1567145386.323314,912,0.4375
1567145387.577627,1152,0.375
1567145387.82889,1200,0.4375
1567145389.4824152,1520,0.375
1567145394.31672,2496,0.1875
1567145394.5477371,2544,0.3125
1567145395.2520928,2688,0.1875
1567145400.108115,3680,0.1875
1567145400.496962,3760,0.4375
1567145402.145622,4096,0.4375
1567145402.539882,4176,0.4375
1567145403.090007,4288,0.3125
1567145403.556585,4384,0.25
1567146989.644047,4925,0.3125
1567146989.798414,4957,0.5
1567146990.431783,5085,0.375
1567146992.723208,5549,0.25
1567146994.297311,5869,0.3125
1567146998.566061,6733,0.1875
1567146998.6493068,6749,0.375
1567147000.2282822,7069,0.4375
1567147001.640057,7357,0.25
1567147002.7471511,7581,0.4375
1567147007.667577,8573,0.25
1567147009.800669,9005,0.4375
1567147011.065322,9261,0.4375
1567147011.622514,9373,0.5
1567147011.70341,9389,0.3125
1567147023.043554,9898,0.375
1567147024.145717,10122,0.4375
1567147024.771158,10250,0.5625
1567147025.1641831,10330,0.4375
1567147025.319394,10362,0.375
1567147026.265891,10554,0.375
1567147027.059655,10714,0.3125
1567147030.4563682,11402,0.375
1567147031.091455,11530,0.1875
1567147031.723218,11658,0.375
1567147033.770916,12074,0.5625
1567147034.515588,12218,0.375
1567147034.835277,12282,0.5
1567147034.992776,12314,0.375
1567147036.0915468,12538,0.5
1567147036.2464159,12570,0.375
1567147036.798006,12682,0.375
1567147037.428851,12810,0.4375
1567147037.9059231,12906,0.4375
1567147040.185338,13354,0.625
1567147046.095505,14522,0.375
1567147058.268138,15031,0.375
1567147058.506846,15079,0.375
1567147059.877544,15351,0.375
1567147060.603532,15495,0.3125
1567147060.6836648,15511,0.3125
1567147061.1662679,15607,0.3125
1567147061.2466612,15623,0.5
1567147061.644879,15703,0.5
1567147063.095813,15991,0.6875
1567147063.3318348,16039,0.375
1567147064.059079,16183,0.5625
1567147068.005583,16967,0.1875
1567147068.247179,17015,0.375
1567147068.723968,17111,0.1875
1567147069.213631,17207,0.5625
1567147070.446676,17447,0.4375
1567147070.936872,17543,0.5
1567147071.33842,17623,0.375
1567147075.50837,18455,0.375
1567147075.915256,18535,0.3125
1567147075.9957309,18551,0.25
1567147077.438265,18839,0.5
1567147078.489454,19047,0.5
1567147079.533916,19255,0.4375
1567147092.067163,19844,0.4375
1567147093.4330492,20116,0.4375
1567147095.063363,20436,0.25
1567147097.861265,20996,0.25
1567147098.101582,21044,0.1875
1567147099.228122,21268,0.4375
1567147099.5464242,21332,0.375
1567147103.396239,22100,0.5
1567147103.956645,22212,0.4375
1567147105.71969,22564,0.375
1567147106.627969,22756,0.5
1567147107.430856,22916,0.3125
1567147109.833216,23396,0.375
1567147110.713768,23572,0.375
1567147111.3558242,23700,0.3125
1567147111.841654,23796,0.5
1567147123.765595,24289,0.3125
1567147124.087851,24353,0.375
1567147126.1019268,24753,0.3125
1567147127.3849049,25009,0.25
1567147127.4630542,25025,0.375
1567147128.659822,25265,0.25
1567147128.9853911,25329,0.5625
1567147130.351221,25601,0.3125
1567147133.1573849,26161,0.25
1567147133.797458,26289,0.25
1567147136.522697,26833,0.625
1567147137.248876,26977,0.6875
1567147137.7288241,27073,0.5
1567147138.133609,27153,0.375
1567147138.6917162,27265,0.3125
1567147139.406999,27409,0.375
1567147140.523733,27633,0.25
1567147140.684722,27665,0.4375
1567147140.9255118,27713,0.625
1567147141.6422029,27857,0.25
1567147144.461707,28417,0.4375
1567147146.382256,28801,0.375
1567147157.582301,29118,0.625
1567147159.034146,29406,0.5
1567147159.755761,29550,0.5
1567147160.795032,29758,0.5625
1567147161.0379012,29806,0.25
1567147161.675113,29934,0.8125
1567147164.87344,30574,0.125
1567147166.231655,30846,0.5
1567147167.038814,31006,0.4375
1567147167.275321,31054,0.4375
1567147168.946196,31374,0.5
1567147170.256433,31630,0.3125
1567147171.754098,31918,0.5625
1567147172.76004,32110,0.3125
1567147174.165214,32382,0.5625
1567147174.652937,32478,0.625
1567147176.6369731,32862,0.5
1567147177.704233,33070,0.5
1567147177.9497468,33118,0.4375
1567147178.037917,33134,0.3125
1567147178.7066162,33262,0.4375
1567147179.0349,33326,0.3125
1567147179.61166,33438,0.3125
1567147184.3704581,34203,0.4375
1567147184.7087202,34267,0.4375
1567147185.275003,34379,0.375
1567147186.004832,34523,0.25
1567147187.797502,34875,0.625
1567147188.127485,34939,0.3125
1567147188.801999,35067,0.4375
1567147189.466249,35195,0.4375
1567147189.810391,35259,0.5
1567147191.4294798,35579,0.375
1567147191.8508391,35659,0.3125
1567147191.929894,35675,0.3125
1567147192.331831,35755,0.5625
1567147193.3037179,35947,0.5
1567147193.543225,35995,0.125
1567147193.9462268,36075,0.375
1567147195.473331,36379,0.375
1567147196.755955,36635,0.3125
1567147197.558618,36795,0.25
1567147198.519148,36987,0.5
1567147200.617572,37403,0.25
1567147201.3383281,37547,0.3125
1567147204.142685,38107,0.375
1567147204.222207,38123,0.5
1567147204.3815832,38155,0.375
1567147208.622271,38840,0.625
1567147209.2669802,38968,0.5
1567147210.0000231,39112,0.5625
1567147210.160377,39144,0.3125
1567147210.561834,39224,0.5625
1567147212.573751,39624,0.3125
1567147212.654112,39640,0.3125
1567147213.456365,39800,0.3125
1567147213.617168,39832,0.4375
1567147214.0180402,39912,0.3125
1567147215.149483,40136,0.5
1567147215.629573,40232,0.625
1567147216.364023,40376,0.5
1567147217.567738,40616,0.5
1567147218.053063,40712,0.5
1567147221.835058,41464,0.375
1567147222.31892,41560,0.3125
1567147223.6978729,41832,0.375
1567147224.1802418,41928,0.4375
1567147228.175078,42712,0.4375
1567147228.736594,42824,0.3125
1567147229.146123,42904,0.4375
1567147230.2335181,43112,0.375
1567147243.012181,43685,0.3125
1567147244.140254,43909,0.625
1567147247.118698,44469,0.5625
1567147253.858659,45797,0.3125
1567147254.593906,45941,0.5625
1567147255.3220842,46085,0.3125
1567147255.827179,46181,0.25
1567147257.800092,46565,0.3125
1567147261.749056,47317,0.5
1567147262.4303858,47445,0.5625
1567147265.453853,48021,0.4375
1567147266.7716532,48277,0.6875
1567147267.01891,48325,0.375
1567147267.666223,48450,0.4615384638309479
1567147277.6029508,48482,0.3125
1567147279.540786,48866,0.5625
1567147279.861386,48930,0.4375
1567147282.277051,49410,0.3125
1567147285.3771598,50018,0.4375
1567147286.8436859,50306,0.25
1567147287.3337758,50402,0.4375
1567147288.6058571,50658,0.5625
1567147290.05106,50946,0.5625
1567147290.1355038,50962,0.375
1567147292.862559,51506,0.5
1567147293.647543,51666,0.5
1567147293.8873951,51714,0.5625
1567147293.9682088,51730,0.6875
1567147294.130264,51762,0.25
1567147294.2100532,51778,0.5
1567147296.2404811,52178,0.4375
1567147298.886813,52706,0.5
1567147302.781661,53327,0.4375
1567147305.2344298,53823,0.3125
1567147307.369994,54255,0.5
1567147307.772969,54335,0.4375
1567147309.5164511,54687,0.625
