Wall time,Step,Value
1567041396.8824918,768,0.328125
1567041396.9210901,1536,0.484375
1567041396.938485,1920,0.5390625
1567041397.005087,2048,0.515625
1567041397.0218828,2432,0.6015625
1567041397.049649,3200,0.609375
1567041397.109343,4736,0.65625
1567041397.130195,5248,0.7109375
1567041397.1405828,5504,0.7265625
1567041397.150528,5760,0.7265625
1567041397.155021,5888,0.7421875
1567041397.165386,6144,0.7109375
1567041397.196248,6912,0.7109375
1567041397.200599,7040,0.7734375
1567041397.205782,7168,0.8046875
1567041397.212019,7296,0.7734375
1567041397.262291,8448,0.75
1567041397.278257,8832,0.6953125
1567041397.293227,9216,0.78125
1567041397.297994,9344,0.7578125
1567041397.302167,9472,0.7734375
1567041397.3063412,9600,0.78125
1567041397.332644,10240,0.765625
1567041397.3695612,11264,0.765625
1567041397.406056,12160,0.84375
1567041397.454305,13184,0.765625
1567041397.468503,13568,0.8125
1567041397.4727108,13696,0.7265625
1567041397.5186508,14592,0.7578125
1567041397.545915,15232,0.71875
1567041401.5066829,16098,0.828125
1567041401.523972,16482,0.71875
1567041401.5300422,16610,0.765625
1567041401.5845802,17762,0.8515625
1567041401.593538,18018,0.7734375
1567041401.5988538,18146,0.8203125
1567041401.603185,18274,0.8359375
1567041401.639018,19170,0.734375
1567041401.664533,19810,0.78125
1567041401.67591,20066,0.796875
1567041401.681637,20194,0.796875
1567041401.7017238,20706,0.828125
1567041401.7287061,21346,0.734375
1567041401.734308,21474,0.7578125
1567041401.749491,21858,0.8359375
1567041401.781347,22626,0.734375
1567041401.786488,22754,0.7890625
1567041401.797046,23010,0.7265625
1567041401.811758,23394,0.7265625
1567041401.821323,23650,0.8046875
1567041401.826545,23778,0.8046875
1567041401.8377228,24034,0.7265625
1567041401.847754,24290,0.8359375
1567041401.852384,24418,0.796875
1567041401.885618,25314,0.8203125
1567041401.9267159,26338,0.78125
1567041401.9324749,26466,0.8203125
1567041401.9373078,26594,0.765625
1567041401.9602711,27106,0.8203125
1567041402.012717,28386,0.7890625
1567041402.017108,28514,0.8515625
1567041402.026088,28770,0.828125
1567041402.047051,29282,0.7890625
1567041402.061693,29666,0.796875
1567041402.0662029,29794,0.796875
1567041402.0702279,29922,0.7578125
1567041402.0837739,30306,0.7734375
1567041402.141097,31842,0.7734375
1567041402.24351,32452,0.8125
1567041402.261347,32836,0.7734375
1567041402.272434,33092,0.7734375
1567041402.278239,33220,0.875
1567041402.29041,33476,0.7734375
1567041402.310108,33988,0.859375
1567041402.327405,34500,0.8203125
1567041402.338172,34756,0.8046875
1567041402.363322,35396,0.765625
1567041402.433877,37188,0.8671875
1567041402.460511,37828,0.875
1567041402.4661,37956,0.8203125
1567041402.4871051,38468,0.7578125
1567041402.4946308,38596,0.75
1567041402.5180311,39108,0.796875
1567041402.5228338,39236,0.765625
1567041402.53266,39492,0.78125
1567041402.5469801,39876,0.8046875
1567041402.5737112,40516,0.828125
1567041402.57882,40644,0.8515625
1567041402.583821,40772,0.734375
1567041402.60881,41412,0.8515625
1567041402.614461,41540,0.859375
1567041402.6197782,41668,0.796875
1567041402.6340601,42052,0.8125
1567041402.682376,43204,0.859375
1567041402.6915488,43460,0.796875
1567041402.724718,44228,0.8359375
1567041402.796041,45892,0.7890625
