Wall time,Step,Value
1567040757.469134,768,0.3984375
1567040757.676831,1536,0.40625
1567040757.7815099,1920,0.6015625
1567040757.816962,2048,0.5625
1567040757.926361,2432,0.609375
1567040758.1385322,3200,0.671875
1567040758.5534878,4736,0.7265625
1567040758.699834,5248,0.71875
1567040758.772073,5504,0.7578125
1567040758.8451142,5760,0.7265625
1567040758.880241,5888,0.71875
1567040758.9608371,6144,0.8125
1567040759.199136,6912,0.796875
1567040759.2373362,7040,0.703125
1567040759.2722108,7168,0.71875
1567040759.310644,7296,0.75
1567040759.6388521,8448,0.7734375
1567040759.7360792,8832,0.8125
1567040759.840949,9216,0.7265625
1567040759.8781729,9344,0.7890625
1567040759.918147,9472,0.7578125
1567040759.954923,9600,0.8046875
1567040760.132183,10240,0.78125
1567040760.4016142,11264,0.703125
1567040760.647694,12160,0.84375
1567040760.929172,13184,0.8125
1567040761.033011,13568,0.8125
1567040761.0690491,13696,0.8125
1567040761.297184,14592,0.78125
1567040761.463731,15232,0.8046875
1567040922.354906,16098,0.84375
1567040922.45009,16482,0.7578125
1567040922.4824162,16610,0.8203125
1567040922.777694,17762,0.8359375
1567040922.846344,18018,0.8046875
1567040922.8817742,18146,0.765625
1567040922.9143429,18274,0.7734375
1567040923.143477,19170,0.7734375
1567040923.3066711,19810,0.8046875
1567040923.3710191,20066,0.7734375
1567040923.406113,20194,0.734375
1567040923.546025,20706,0.7890625
1567040923.70805,21346,0.8046875
1567040923.7398558,21474,0.8671875
1567040923.840447,21858,0.75
1567040924.0349371,22626,0.796875
1567040924.0702562,22754,0.7890625
1567040924.133398,23010,0.8515625
1567040924.23147,23394,0.8046875
1567040924.2941902,23650,0.7734375
1567040924.32981,23778,0.78125
1567040924.394516,24034,0.75
1567040924.456456,24290,0.8203125
1567040924.490336,24418,0.8203125
1567040924.722377,25314,0.8125
1567040924.983393,26338,0.7265625
1567040925.017153,26466,0.75
1567040925.048949,26594,0.7890625
1567040925.18396,27106,0.7578125
1567040925.528812,28386,0.7890625
1567040925.563404,28514,0.796875
1567040925.630655,28770,0.7734375
1567040925.762857,29282,0.8125
1567040925.8650482,29666,0.8125
1567040925.902527,29794,0.7421875
1567040925.94119,29922,0.7890625
1567040926.041336,30306,0.7421875
1567040926.455651,31842,0.8046875
1567040928.198851,32452,0.796875
1567040928.299362,32836,0.796875
1567040928.371169,33092,0.8515625
1567040928.406338,33220,0.7421875
1567040928.471703,33476,0.8046875
1567040928.607882,33988,0.8203125
1567040928.744558,34500,0.7734375
1567040928.812086,34756,0.765625
1567040928.9782321,35396,0.796875
1567040929.452099,37188,0.8046875
1567040929.614759,37828,0.8046875
1567040929.649368,37956,0.78125
1567040929.777031,38468,0.8359375
1567040929.812097,38596,0.75
1567040929.96105,39108,0.8046875
1567040929.997317,39236,0.796875
1567040930.063075,39492,0.796875
1567040930.15994,39876,0.78125
1567040930.33729,40516,0.8515625
1567040930.369498,40644,0.8046875
1567040930.402381,40772,0.828125
1567040930.574902,41412,0.75
1567040930.613565,41540,0.734375
1567040930.6485481,41668,0.828125
1567040930.7557771,42052,0.8046875
1567040931.0839229,43204,0.7890625
1567040931.161648,43460,0.7890625
1567040931.3810382,44228,0.78125
1567040931.876375,45892,0.8203125
1567040931.986283,46276,0.7890625
1567040932.134186,46788,0.796875
1567040932.27907,47300,0.78125
1567040932.35254,47556,0.7890625
1567040934.154036,47910,0.7974326610565186
1567040934.192729,48038,0.7890625
1567040934.227593,48166,0.84375
1567040934.306592,48422,0.796875
1567040934.500965,49062,0.78125
1567040934.682521,49702,0.78125
1567040934.7210119,49830,0.71875
1567040935.342557,51878,0.84375
1567040935.6036758,52774,0.8203125
1567040935.8273861,53542,0.78125
1567040935.865692,53670,0.8125
1567040935.9385421,53926,0.796875
1567040936.1593988,54694,0.75
