Wall time,Step,Value
1567042473.666178,768,0.3828125
1567042473.89084,1536,0.375
1567042474.005048,1920,0.5
1567042474.0450308,2048,0.46875
1567042474.161957,2432,0.4296875
1567042474.392025,3200,0.484375
1567042474.856439,4736,0.5390625
1567042475.01182,5248,0.703125
1567042475.107886,5504,0.6875
1567042475.186608,5760,0.6328125
1567042475.225866,5888,0.6171875
1567042475.308083,6144,0.6640625
1567042475.552275,6912,0.6875
1567042475.596334,7040,0.5390625
1567042475.635693,7168,0.625
1567042475.677912,7296,0.5703125
1567042476.081609,8448,0.6796875
1567042476.2350998,8832,0.671875
1567042476.414319,9216,0.5859375
1567042476.464876,9344,0.6953125
1567042476.509802,9472,0.6796875
1567042476.5568068,9600,0.6640625
1567042476.768429,10240,0.6796875
1567042477.1302269,11264,0.7421875
1567042477.425083,12160,0.703125
1567042477.7574668,13184,0.7421875
1567042477.8786361,13568,0.71875
1567042477.922414,13696,0.734375
1567042478.208749,14592,0.7734375
1567042478.41617,15232,0.78125
1567042746.421643,16098,0.7109375
1567042746.553393,16482,0.734375
1567042746.592305,16610,0.78125
1567042746.961115,17762,0.703125
1567042747.042041,18018,0.78125
1567042747.078341,18146,0.78125
1567042747.115911,18274,0.75
1567042747.39134,19170,0.7578125
1567042747.5991051,19810,0.828125
1567042747.678497,20066,0.8125
1567042747.718289,20194,0.7890625
1567042747.883352,20706,0.828125
1567042748.070169,21346,0.8046875
1567042748.106585,21474,0.7265625
1567042748.2214139,21858,0.8046875
1567042748.466288,22626,0.765625
1567042748.504983,22754,0.78125
1567042748.5884092,23010,0.78125
1567042748.705225,23394,0.8125
1567042748.788424,23650,0.7265625
1567042748.831232,23778,0.78125
1567042748.910333,24034,0.765625
1567042748.991436,24290,0.6640625
1567042749.029933,24418,0.8046875
1567042749.314483,25314,0.8125
1567042749.652189,26338,0.765625
1567042749.691346,26466,0.8125
1567042749.7308302,26594,0.7734375
1567042749.8950431,27106,0.796875
1567042750.306083,28386,0.78125
1567042750.3452969,28514,0.7890625
1567042750.425469,28770,0.75
1567042750.590548,29282,0.765625
1567042750.711654,29666,0.7421875
1567042750.749572,29794,0.8203125
1567042750.789354,29922,0.78125
1567042750.911896,30306,0.7734375
1567042751.399609,31842,0.8203125
1567042753.796679,32452,0.78125
1567042753.914588,32836,0.8125
1567042753.9926138,33092,0.7578125
1567042754.031091,33220,0.7734375
1567042754.107151,33476,0.796875
1567042754.26274,33988,0.8046875
1567042754.425319,34500,0.7421875
1567042754.504199,34756,0.8046875
1567042754.71942,35396,0.7890625
1567042755.2652118,37188,0.75
1567042755.45275,37828,0.796875
1567042755.4892192,37956,0.7421875
1567042755.649678,38468,0.7578125
1567042755.687444,38596,0.703125
1567042755.8385012,39108,0.8203125
1567042755.87747,39236,0.765625
1567042755.952847,39492,0.8046875
1567042756.0654268,39876,0.8125
1567042756.258024,40516,0.75
1567042756.294324,40644,0.765625
1567042756.331024,40772,0.765625
1567042756.524993,41412,0.7734375
1567042756.5640478,41540,0.8046875
1567042756.600767,41668,0.7578125
1567042756.7101388,42052,0.75
1567042757.0633202,43204,0.78125
1567042757.136248,43460,0.765625
1567042757.356043,44228,0.78125
1567042757.858366,45892,0.7734375
1567042757.976494,46276,0.8671875
1567042758.1357682,46788,0.765625
1567042758.2896729,47300,0.796875
1567042758.36416,47556,0.7265625
1567042760.247581,47910,0.7849718332290649
1567042760.2833412,48038,0.7890625
1567042760.32176,48166,0.7265625
1567042760.398533,48422,0.796875
1567042760.5942159,49062,0.765625
1567042760.793673,49702,0.78125
1567042760.8307881,49830,0.796875
1567042761.4420722,51878,0.78125
1567042761.7092018,52774,0.75
1567042761.9380639,53542,0.8125
1567042761.976925,53670,0.8203125
1567042762.0549178,53926,0.7421875
1567042762.28815,54694,0.7890625
1567042762.637223,55846,0.7890625
1567042762.712689,56102,0.7109375
1567042762.748655,56230,0.8203125
1567042762.862179,56614,0.8359375
1567042763.088577,57382,0.859375
1567042763.3994749,58406,0.7890625
1567042763.438564,58534,0.7578125
1567042763.5525088,58918,0.796875
1567042763.5904791,59046,0.8203125
1567042763.919296,60198,0.8359375
1567042763.959509,60326,0.8125
1567042764.381928,61734,0.78125
1567042764.503259,62118,0.796875
1567042764.541908,62246,0.7890625
1567042764.616479,62502,0.796875
1567042764.68768,62758,0.8203125
1567042766.985791,64392,0.8203125
1567042767.180542,65032,0.84375
1567042767.2554638,65288,0.78125
1567042767.366086,65672,0.828125
1567042767.4437618,65928,0.765625
1567042767.642517,66568,0.8046875
1567042767.682388,66696,0.765625
1567042767.910527,67464,0.78125
1567042767.98402,67720,0.7890625
1567042768.022816,67848,0.78125
1567042768.096579,68104,0.7734375
1567042768.1337779,68232,0.84375
1567042768.2491462,68616,0.8203125
1567042768.324382,68872,0.8515625
1567042768.518514,69512,0.8125
1567042768.5561988,69640,0.78125
1567042768.885313,70792,0.828125
1567042768.957803,71048,0.8046875
