Wall time,Step,Value
1567303005.0283132,64,0.4375
1567303005.105453,96,0.25
1567303005.1433442,112,0.4375
1567303005.222047,140,0.4166666567325592
1567303070.073693,156,0.75
1567303070.1263309,172,0.6875
1567303070.168617,188,0.4375
1567303070.209902,204,0.4375
1567303070.250331,220,0.5
1567303070.288011,236,0.3125
1567303070.326872,252,0.6875
1567303070.367774,268,0.5625
1567303070.407425,280,0.5833333134651184
1567303071.741631,280,0.550000011920929
1567303071.7805812,296,0.375
1567303071.860115,328,0.5
1567303071.939696,360,0.75
1567303071.978121,376,0.6875
1567303073.4514549,436,0.625
1567303073.492405,452,0.6875
1567303073.532984,468,0.6875
1567303073.573282,484,0.6875
1567303073.6194692,500,0.75
1567303073.7002292,532,0.75
1567303075.067839,560,0.6857143044471741
1567303075.116447,576,0.5625
1567303075.193393,608,0.5
1567303075.232903,624,0.875
1567303075.27288,640,0.8125
1567303075.307693,656,0.8125
1567303075.383122,688,0.625
1567303076.740593,700,0.7071428298950195
1567303076.7784681,716,0.875
1567303076.9107578,764,0.75
1567303076.948363,780,0.875
1567303076.987027,796,0.75
1567303077.026262,812,0.6875
1567303077.063594,828,0.75
1567303078.457078,856,0.75
1567303078.497385,872,0.9375
1567303078.57886,904,0.8125
1567303078.624515,920,0.8125
1567303078.663171,936,0.75
1567303078.705767,952,0.625
1567303078.744591,968,0.6875
1567303078.782992,980,0.9166666865348816
1567303080.1143901,980,0.7714285850524902
1567303080.1962318,1012,0.8125
1567303080.238042,1028,0.75
1567303080.276536,1044,0.5625
1567303080.3224142,1060,0.875
1567303080.402261,1092,0.5625
1567303080.4798322,1120,0.8333333134651184
1567303081.766769,1120,0.7428571581840515
1567303081.844664,1152,0.75
1567303081.884744,1168,0.875
1567303081.963996,1200,0.75
1567303082.005594,1216,0.9375
1567303082.045092,1232,0.875
1567303082.081312,1248,0.9375
1567303082.1203358,1260,0.75
1567303083.412986,1260,0.8642857074737549
1567303083.491617,1292,0.875
1567303083.532182,1308,0.9375
1567303083.57272,1324,0.9375
1567303083.617803,1340,0.8125
1567303084.945447,1400,0.8714285492897034
1567303084.987029,1416,0.6875
1567303085.065461,1448,0.75
1567303085.140785,1480,0.9375
1567303085.181151,1496,0.8125
1567303085.219884,1512,0.9375
1567303086.547799,1540,0.8642857074737549
1567303086.693203,1604,0.8125
1567303086.806487,1652,0.5625
1567303086.879503,1680,1.0
1567303088.0221581,1680,0.8285714387893677
1567303088.0611079,1696,0.8125
1567303088.217089,1760,0.8125
1567303088.262899,1776,0.8125
1567303088.302647,1792,0.8125
1567303088.343814,1808,0.8125
1567303089.5479,1820,0.8142856955528259
1567303089.5897331,1836,0.6875
1567303089.708939,1884,0.75
1567303089.823915,1932,0.75
1567303089.863331,1948,0.9375
1567303091.092176,1960,0.8142856955528259
1567303091.169697,1992,0.875
1567303091.2064,2008,0.8125
1567303091.244163,2024,0.8125
1567303091.285464,2040,0.8125
1567303091.328518,2056,0.875
1567303091.3685708,2072,0.8125
1567303091.448148,2100,1.0
1567303092.62361,2100,0.8357142806053162
1567303092.6621928,2116,0.75
1567303092.69991,2132,0.8125
1567303092.777602,2164,0.8125
1567303092.8174121,2180,0.9375
1567303092.857981,2196,0.8125
1567303092.936846,2228,0.75
1567303092.973204,2240,0.6666666865348816
1567303094.154542,2240,0.800000011920929
1567303094.231055,2272,0.75
1567303094.268113,2288,0.75
1567303094.348788,2320,0.6875
1567303094.3889349,2336,0.875
1567303094.464737,2368,0.8125
1567303094.503316,2380,0.75
1567303095.6760361,2380,0.7928571701049805
1567303095.75742,2412,0.875
1567303095.913601,2476,0.75
1567303095.953563,2492,0.625
1567303095.9937851,2508,0.875
1567303096.034081,2520,0.9166666865348816
1567303097.221546,2536,0.6875
1567303097.257977,2552,0.9375
1567303097.345255,2584,0.9375
1567303097.422706,2616,0.875
1567303097.4609978,2632,0.8125
1567303097.4994838,2648,0.8125
1567303097.537893,2660,0.6666666865348816
1567303098.733966,2676,0.875
1567303098.774914,2692,0.875
1567303099.049133,2800,1.0
1567303100.335074,2848,0.75
1567303100.4497762,2896,0.75
1567303100.4891992,2912,1.0
1567303100.528262,2928,0.8125
1567303100.565092,2940,0.8333333134651184
1567303101.858025,2988,1.0
1567303101.898203,3004,0.9375
1567303101.938091,3020,0.875
1567303101.976672,3036,0.9375
1567303102.094343,3080,1.0
1567303103.280128,3080,0.9428571462631226
1567303103.32729,3096,0.75
1567303103.3667479,3112,0.875
1567303103.406268,3128,0.875
1567303103.4486709,3144,1.0
1567303103.5308921,3176,0.625
1567303103.571666,3192,0.875
1567303103.611142,3208,0.9375
1567303104.821402,3220,0.8285714387893677
1567303104.8617952,3236,0.9375
1567303104.899446,3252,1.0
1567303104.9368901,3268,1.0
1567303104.9763908,3284,0.875
1567303105.015126,3300,0.8125
1567303105.128819,3348,0.9375
1567303105.165811,3360,0.9166666865348816
1567303106.373334,3376,0.75
1567303106.523485,3440,0.875
1567303106.561165,3456,0.875
1567303106.6381462,3488,1.0
1567303106.673345,3500,1.0
1567303107.823859,3500,0.8999999761581421
1567303107.8641129,3516,0.875
1567303107.901151,3532,0.875
1567303107.940803,3548,0.6875
1567303108.057129,3596,1.0
1567303108.170826,3640,0.8333333134651184
1567303109.366718,3640,0.8714285492897034
1567303109.406898,3656,0.8125
1567303109.444267,3672,0.875
1567303109.5187259,3704,0.75
1567303109.67219,3768,0.875
1567303110.8607879,3780,0.8500000238418579
1567303110.9411461,3812,1.0
1567303110.978797,3828,0.875
1567303111.0188959,3844,0.875
1567303111.056395,3860,0.875
1567303111.0930078,3876,1.0
1567303111.173398,3908,0.875
1567303111.2125618,3920,0.9166666865348816
1567303112.3990002,3936,0.875
1567303112.4748218,3968,1.0
1567303112.5566301,4000,1.0
1567303113.8587232,4060,0.9142857193946838
1567303113.937771,4092,0.875
1567303113.974841,4108,0.875
1567303114.0531058,4140,0.875
1567303114.0907369,4156,0.875
1567303114.128544,4172,0.8125
1567303114.166684,4188,0.8125
1567303114.206959,4200,0.9166666865348816
