Wall time,Step,Value
1567299714.433302,64,0.375
1567299714.5891001,96,0.5625
1567299714.665324,112,0.4375
1567299714.817975,140,0.5
1567302328.951553,156,0.5625
1567302329.04187,172,0.5
1567302329.123605,188,0.25
1567302329.201424,204,0.5625
1567302329.2785301,220,0.4375
1567302329.36313,236,0.5625
1567302329.439434,252,0.5
1567302329.515397,268,0.4375
1567302329.597428,280,0.4166666567325592
1567302336.800124,280,0.4714285731315613
1567302336.8780859,296,0.3125
1567302337.03569,328,0.3125
1567302337.188128,360,0.5
1567302337.265044,376,0.25
1567302344.4723709,436,0.4375
1567302344.549859,452,0.3125
1567302344.62547,468,0.625
1567302344.7033799,484,0.375
1567302344.782342,500,0.375
1567302344.938448,532,0.25
1567302351.853281,560,0.4714285731315613
1567302351.928842,576,0.375
1567302352.081764,608,0.375
1567302352.158761,624,0.375
1567302352.233709,640,0.4375
1567302352.310122,656,0.5625
1567302352.469676,688,0.5
1567302360.151371,700,0.44999998807907104
1567302360.2286022,716,0.4375
1567302360.458216,764,0.3125
1567302360.533597,780,0.75
1567302360.609169,796,0.5625
1567302360.687104,812,0.5
1567302360.763062,828,0.5
1567302368.472838,856,0.5625
1567302368.562266,872,0.5
1567302368.71838,904,0.625
1567302368.799296,920,0.625
1567302368.88287,936,0.75
1567302368.96896,952,0.5625
1567302369.076711,968,0.5625
1567302369.167727,980,0.3333333432674408
1567302376.112607,980,0.550000011920929
1567302376.2666152,1012,0.4375
1567302376.3436959,1028,0.5625
1567302376.420799,1044,0.625
1567302376.497055,1060,0.4375
1567302376.6516259,1092,0.5625
1567302376.801899,1120,0.5833333134651184
1567302383.9238322,1120,0.5571428537368774
1567302384.0835059,1152,0.5625
1567302384.166137,1168,0.4375
1567302384.335197,1200,0.625
1567302384.4176,1216,0.75
1567302384.495022,1232,0.75
1567302384.573438,1248,0.4375
1567302384.653829,1260,0.75
1567302392.0153742,1260,0.6428571343421936
1567302392.171679,1292,0.75
1567302392.250458,1308,0.875
1567302392.331298,1324,0.5
1567302392.408681,1340,0.5
1567302400.648375,1400,0.6571428775787354
1567302400.725177,1416,0.6875
1567302400.878276,1448,0.625
1567302401.034086,1480,0.625
1567302401.114656,1496,0.6875
1567302401.193194,1512,0.625
1567302408.590959,1540,0.6428571343421936
1567302408.902884,1604,0.6875
1567302409.153942,1652,0.6875
1567302409.316097,1680,0.75
1567302416.700759,1680,0.7214285731315613
1567302416.780465,1696,0.75
1567302417.089105,1760,0.75
1567302417.1661031,1776,0.4375
1567302417.245026,1792,0.9375
1567302417.32272,1808,0.6875
1567302424.768012,1820,0.7428571581840515
1567302424.848655,1836,0.5625
1567302425.095079,1884,0.75
1567302425.335726,1932,0.6875
1567302425.4132988,1948,0.6875
1567302432.992339,1960,0.7142857313156128
1567302433.1511838,1992,0.8125
1567302433.2297752,2008,0.6875
1567302433.3073,2024,0.6875
1567302433.386692,2040,0.875
1567302433.465698,2056,0.8125
1567302433.543367,2072,0.8125
1567302433.7014048,2100,0.8333333134651184
1567302441.272216,2100,0.7928571701049805
1567302441.3567529,2116,0.8125
1567302441.435934,2132,0.6875
1567302441.602289,2164,0.75
1567302441.6828,2180,0.6875
1567302441.76211,2196,0.875
1567302441.9209979,2228,0.6875
1567302442.001434,2240,0.6666666865348816
1567302449.154975,2240,0.7285714149475098
1567302449.311925,2272,0.75
1567302449.386951,2288,0.875
1567302449.5355678,2320,0.75
1567302449.612431,2336,0.8125
1567302449.771727,2368,0.625
1567302449.8519669,2380,0.8333333134651184
1567302451.2134452,2380,0.800000011920929
1567302451.373086,2412,0.875
1567302451.683458,2476,0.625
1567302451.759864,2492,0.8125
1567302451.835283,2508,0.8125
1567302451.911325,2520,0.8333333134651184
1567302459.168729,2536,0.875
1567302459.251062,2552,0.8125
1567302459.407967,2584,0.875
1567302459.568915,2616,0.8125
1567302459.655361,2632,0.875
1567302459.7343621,2648,0.8125
1567302459.8107882,2660,0.9166666865348816
1567302467.38857,2676,0.8125
1567302467.4679732,2692,0.875
1567302468.048617,2800,0.9166666865348816
1567302469.605833,2848,0.875
1567302469.8478458,2896,0.75
1567302469.92527,2912,0.875
1567302470.0024981,2928,0.75
1567302470.100438,2940,0.6666666865348816
1567302471.728998,2988,0.6875
1567302471.8068311,3004,0.875
1567302471.884416,3020,0.9375
1567302471.9627578,3036,0.75
1567302472.2031229,3080,0.9166666865348816
1567302473.563214,3080,0.8500000238418579
1567302473.645398,3096,0.8125
1567302473.720801,3112,0.6875
1567302473.79524,3128,0.875
1567302473.870498,3144,0.9375
1567302474.03408,3176,0.75
1567302474.1125262,3192,0.875
1567302474.189145,3208,0.8125
1567302475.630135,3220,0.8428571224212646
1567302475.710634,3236,0.875
1567302475.784503,3252,0.8125
1567302475.861223,3268,0.875
1567302475.937378,3284,0.75
1567302476.020221,3300,0.8125
1567302476.2520719,3348,0.8125
1567302476.3281841,3360,0.75
1567302477.7643561,3376,0.8125
1567302478.0835462,3440,0.875
1567302478.159102,3456,0.9375
1567302478.312258,3488,0.9375
1567302478.389398,3500,0.9166666865348816
1567302479.773677,3500,0.8357142806053162
1567302479.8575811,3516,0.9375
1567302479.9357271,3532,0.9375
1567302480.014882,3548,0.6875
1567302480.2526631,3596,1.0
1567302480.485009,3640,0.8333333134651184
1567302481.858521,3640,0.8642857074737549
1567302481.940723,3656,0.875
1567302482.031005,3672,0.875
1567302482.1859388,3704,0.9375
1567302482.490774,3768,0.8125
1567302483.9409862,3780,0.9071428775787354
1567302484.104931,3812,0.75
1567302484.182153,3828,0.875
1567302484.259566,3844,0.9375
1567302484.334966,3860,0.9375
1567302484.4106119,3876,1.0
1567302484.566049,3908,0.8125
1567302484.6408918,3920,0.6666666865348816
1567302486.045944,3936,0.8125
1567302486.211124,3968,0.875
1567302486.364059,4000,0.875
1567302487.991318,4060,0.8714285492897034
1567302488.1467478,4092,0.875
1567302488.222396,4108,0.6875
1567302488.384403,4140,0.9375
1567302488.459949,4156,0.625
1567302488.535978,4172,0.9375
1567302488.610951,4188,1.0
1567302488.684843,4200,0.8333333134651184
1567302490.0004869,4200,0.8428571224212646
1567302490.077774,4216,0.9375
1567302490.152859,4232,1.0
1567302490.230741,4248,0.9375
1567302490.3101408,4264,0.9375
1567302490.614352,4328,0.9375
1567302490.6878452,4340,0.9166666865348816
1567302492.116197,4356,0.875
1567302492.345207,4404,0.75
1567302492.6494431,4468,1.0
1567302492.723952,4480,1.0
1567302494.082308,4480,0.8999999761581421
1567302494.16162,4496,0.875
1567302494.318906,4528,0.9375
1567302494.396845,4544,0.9375
1567302494.472694,4560,1.0
1567302494.549387,4576,1.0
1567302494.629809,4592,0.875
1567302494.706021,4608,0.8125
1567302496.211658,4636,0.9375
1567302496.2872698,4652,0.8125
1567302496.439853,4684,1.0
1567302496.589522,4716,0.9375
1567302496.740594,4748,0.75
1567302498.159512,4760,0.8785714507102966
1567302498.3201401,4792,0.9375
1567302498.395326,4808,1.0
1567302498.471272,4824,0.9375
1567302498.547276,4840,0.8125
1567302498.623289,4856,0.75
1567302498.699988,4872,0.9375
1567302498.778463,4888,0.8125
1567302498.856853,4900,0.9166666865348816
1567302500.320578,4900,0.8857142925262451
1567302500.470936,4932,0.6875
1567302500.633533,4964,0.8125
1567302500.715899,4980,0.9375
1567302500.874581,5012,1.0
1567302501.0483189,5040,0.8333333134651184
1567302502.446063,5040,0.8999999761581421
1567302502.5295382,5056,0.9375
1567302502.606326,5072,0.8125
1567302502.683848,5088,0.6875
1567302502.759546,5104,0.9375
1567302502.835427,5120,0.875
1567302502.914839,5136,0.875
1567302503.024524,5152,1.0
1567302503.1059752,5168,0.875
1567302503.183019,5180,1.0
1567302504.654977,5196,0.8125
1567302504.7363992,5212,0.875
1567302504.899699,5244,0.875
1567302505.082583,5276,0.9375
1567302505.16906,5292,0.9375
1567302505.2558231,5308,0.9375
1567302505.335871,5320,0.9166666865348816
1567302506.702246,5320,0.8999999761581421
1567302506.864376,5352,1.0
1567302506.941673,5368,0.9375
1567302507.1068401,5400,0.9375
1567302507.1866848,5416,1.0
1567302507.265804,5432,0.9375
1567302507.3431182,5448,0.875
1567302507.421346,5460,0.8333333134651184
1567302508.8376992,5476,0.875
1567302508.919384,5492,0.875
1567302509.0158038,5508,0.875
1567302509.093319,5524,0.9375
1567302509.471426,5600,1.0
1567302510.799467,5600,0.9142857193946838
1567302511.0555599,5648,0.875
1567302511.135094,5664,0.9375
1567302511.29281,5696,1.0
1567302511.371813,5712,0.9375
1567302511.5256279,5740,0.9166666865348816
1567302512.9642298,5756,0.875
1567302513.37744,5836,0.75
1567302513.4548411,5852,0.9375
1567302515.01809,5880,0.9142857193946838
1567302515.097066,5896,0.9375
