Wall time,Step,Value
1567303622.3853922,64,0.375
1567303622.507744,96,0.5
1567303622.568251,112,0.25
1567303622.687775,140,0.5
1567306239.560847,156,0.3125
1567306239.614205,172,0.375
1567306239.6756961,188,0.625
1567306239.737468,204,0.375
1567306239.800143,220,0.3125
1567306239.863364,236,0.5625
1567306239.927253,252,0.6875
1567306239.9884312,268,0.3125
1567306240.049106,280,0.3333333432674408
1567306247.547364,280,0.4357142746448517
1567306247.609782,296,0.3125
1567306247.733015,328,0.5
1567306247.857481,360,0.5625
1567306247.919062,376,0.25
1567306255.0147562,436,0.25
1567306255.073268,452,0.25
1567306255.130363,468,0.4375
1567306255.190179,484,0.4375
1567306255.24988,500,0.5625
1567306255.379487,532,0.4375
1567306262.447516,560,0.44285714626312256
1567306262.503274,576,0.3125
1567306262.619543,608,0.625
1567306262.6792388,624,0.625
1567306262.738058,640,0.75
1567306262.793505,656,0.4375
1567306262.907856,688,0.3125
1567306269.874532,700,0.47857141494750977
1567306269.9303539,716,0.5625
1567306270.107064,764,0.5625
1567306270.165747,780,0.3125
1567306270.223306,796,0.5
1567306270.295941,812,0.4375
1567306270.352479,828,0.5
1567306277.322365,856,0.375
1567306277.383244,872,0.4375
1567306277.4983292,904,0.625
1567306277.556633,920,0.5
1567306277.615872,936,0.6875
1567306277.676585,952,0.6875
1567306277.7347999,968,0.5625
1567306277.791976,980,0.75
1567306284.632017,980,0.5571428537368774
1567306284.744498,1012,0.75
1567306284.802994,1028,0.5625
1567306284.859298,1044,0.375
1567306284.917226,1060,0.8125
1567306285.0357702,1092,0.5625
1567306285.1472561,1120,0.6666666865348816
1567306292.014262,1120,0.5857142806053162
1567306292.130847,1152,0.625
1567306292.192827,1168,0.8125
1567306292.308486,1200,0.8125
1567306292.375791,1216,0.6875
1567306292.4323242,1232,0.6875
1567306292.489388,1248,0.6875
1567306292.546759,1260,0.6666666865348816
1567306299.4238038,1260,0.6714285612106323
1567306299.539671,1292,0.75
1567306299.597229,1308,0.625
1567306299.657045,1324,0.75
1567306299.717236,1340,0.75
1567306306.801617,1400,0.6785714030265808
1567306306.8603158,1416,0.8125
1567306306.9798489,1448,0.625
1567306307.099874,1480,0.8125
1567306307.158547,1496,0.9375
1567306307.2218251,1512,0.75
1567306314.124948,1540,0.7285714149475098
1567306314.3739789,1604,0.8125
1567306314.5545878,1652,0.9375
1567306314.673269,1680,0.8333333134651184
1567306321.4446762,1680,0.7714285850524902
1567306321.501802,1696,0.625
1567306321.730518,1760,0.75
1567306321.7868412,1776,0.875
1567306321.842717,1792,0.8125
1567306321.8988118,1808,0.9375
1567306328.6617658,1820,0.7857142686843872
1567306328.7216718,1836,0.8125
1567306328.8941681,1884,0.9375
1567306329.0641868,1932,0.8125
1567306329.1228778,1948,0.875
1567306335.657465,1960,0.8428571224212646
1567306335.769356,1992,0.8125
1567306335.827761,2008,0.75
1567306335.8849769,2024,0.875
1567306335.941628,2040,0.8125
1567306335.997397,2056,0.8125
1567306336.055499,2072,0.9375
1567306336.168861,2100,1.0
1567306337.389598,2100,0.8571428656578064
1567306337.449044,2116,0.875
1567306337.508937,2132,1.0
1567306337.622926,2164,0.9375
1567306337.679034,2180,0.6875
1567306337.7343948,2196,1.0
1567306337.844905,2228,0.9375
1567306337.899512,2240,0.75
1567306339.0899992,2240,0.8857142925262451
1567306339.2100601,2272,1.0
1567306339.2662241,2288,0.9375
1567306339.3931851,2320,0.8125
1567306339.45259,2336,0.875
1567306339.5646222,2368,0.9375
1567306339.61805,2380,0.8333333134651184
1567306340.7961888,2380,0.9142857193946838
1567306340.9180841,2412,0.8125
1567306341.1485162,2476,0.9375
1567306341.2036521,2492,0.8125
1567306341.2620401,2508,0.8125
1567306341.340631,2520,1.0
1567306342.595059,2536,0.875
1567306342.653158,2552,0.9375
1567306342.767296,2584,1.0
1567306342.878292,2616,1.0
1567306342.9344919,2632,0.6875
1567306342.988914,2648,0.75
1567306343.04462,2660,1.0
1567306344.298202,2676,1.0
1567306344.3658051,2692,0.8125
1567306344.752598,2800,1.0
1567306346.130661,2848,1.0
1567306346.300004,2896,1.0
1567306346.3663921,2912,1.0
1567306346.4235678,2928,0.875
1567306346.4778671,2940,0.8333333134651184
1567306347.840008,2988,0.75
1567306347.894701,3004,1.0
1567306347.9487062,3020,1.0
1567306348.0042171,3036,0.9375
1567306348.179651,3080,1.0
1567306349.44849,3080,0.9642857313156128
1567306349.509297,3096,0.875
1567306349.5674722,3112,1.0
1567306349.623251,3128,0.9375
1567306349.67995,3144,1.0
1567306349.794643,3176,0.8125
1567306349.849565,3192,0.9375
1567306349.907796,3208,0.9375
1567306351.1693592,3220,0.9357143044471741
1567306351.227457,3236,1.0
1567306351.282654,3252,1.0
1567306351.3469079,3268,0.9375
1567306351.4029849,3284,0.9375
1567306351.464669,3300,0.8125
1567306351.643064,3348,0.9375
1567306351.698771,3360,0.9166666865348816
1567306352.9465,3376,1.0
1567306353.1791658,3440,1.0
1567306353.240818,3456,1.0
1567306353.365647,3488,0.9375
1567306353.423483,3500,0.75
1567306354.6269681,3500,0.9571428298950195
1567306354.684088,3516,0.875
1567306354.740632,3532,1.0
1567306354.796724,3548,1.0
1567306354.962135,3596,0.9375
1567306355.134719,3640,1.0
1567306356.344631,3640,0.9571428298950195
1567306356.402158,3656,0.9375
1567306356.4575338,3672,1.0
1567306356.568465,3704,0.9375
1567306356.800731,3768,0.9375
1567306358.042567,3780,0.9285714030265808
1567306358.159947,3812,1.0
1567306358.216334,3828,0.8125
1567306358.279104,3844,1.0
1567306358.340523,3860,1.0
1567306358.398997,3876,1.0
1567306358.514199,3908,1.0
1567306358.570316,3920,0.9166666865348816
1567306359.7984269,3936,1.0
1567306359.908701,3968,1.0
1567306360.028518,4000,1.0
1567306361.45245,4060,0.9785714149475098
1567306361.5671911,4092,0.9375
1567306361.625988,4108,1.0
1567306361.740844,4140,1.0
1567306361.796093,4156,1.0
1567306361.8519301,4172,0.9375
1567306361.908614,4188,1.0
1567306361.962794,4200,0.9166666865348816
1567306363.155636,4200,0.9714285731315613
1567306363.2202392,4216,1.0
1567306363.281357,4232,0.9375
1567306363.343698,4248,1.0
1567306363.404622,4264,1.0
1567306363.630838,4328,1.0
1567306363.68867,4340,1.0
1567306364.933627,4356,1.0
1567306365.10589,4404,1.0
1567306365.40673,4468,1.0
1567306365.480414,4480,0.9166666865348816
1567306366.785168,4480,0.985714316368103
1567306366.844247,4496,1.0
1567306366.959286,4528,1.0
1567306367.016947,4544,1.0
1567306367.075659,4560,0.9375
1567306367.134846,4576,1.0
1567306367.191314,4592,1.0
1567306367.248159,4608,0.9375
1567306368.606015,4636,1.0
1567306368.6613429,4652,0.9375
1567306368.77227,4684,1.0
1567306368.881929,4716,0.9375
1567306368.994737,4748,1.0
1567306370.326286,4760,0.9785714149475098
1567306370.447969,4792,1.0
1567306370.505457,4808,1.0
1567306370.562492,4824,1.0
1567306370.621155,4840,1.0
1567306370.676922,4856,0.9375
1567306370.732568,4872,1.0
1567306370.787612,4888,1.0
1567306370.8422241,4900,0.9166666865348816
1567306372.045046,4900,0.985714316368103
1567306372.16113,4932,1.0
1567306372.271134,4964,1.0
1567306372.3302531,4980,1.0
1567306372.4465878,5012,1.0
1567306372.556198,5040,1.0
1567306373.763571,5040,1.0
1567306373.8222132,5056,1.0
1567306373.878156,5072,1.0
1567306373.933439,5088,1.0
1567306373.989202,5104,1.0
1567306374.046813,5120,1.0
1567306374.1030998,5136,1.0
1567306374.16146,5152,1.0
1567306374.217273,5168,1.0
1567306374.275331,5180,1.0
1567306375.546012,5196,1.0
1567306375.600072,5212,0.9375
1567306375.712279,5244,1.0
1567306375.821549,5276,0.9375
1567306375.875798,5292,1.0
1567306375.9313102,5308,1.0
1567306375.985093,5320,1.0
1567306377.189269,5320,0.9857142567634583
1567306377.304176,5352,1.0
1567306377.3696551,5368,1.0
1567306377.484736,5400,1.0
1567306377.5397298,5416,1.0
1567306377.5941892,5432,1.0
1567306377.649267,5448,1.0
1567306377.703507,5460,1.0
1567306378.939127,5476,1.0
1567306378.9979541,5492,1.0
1567306379.0597088,5508,1.0
1567306379.119933,5524,1.0
1567306379.414421,5600,1.0
1567306380.668243,5600,1.0
1567306380.848893,5648,1.0
1567306380.912866,5664,1.0
1567306381.030229,5696,1.0
1567306381.090837,5712,1.0
1567306381.206271,5740,1.0
1567306382.530805,5756,1.0
1567306382.820543,5836,1.0
1567306382.8796742,5852,1.0
1567306384.1984441,5880,1.0
1567306384.269856,5896,1.0
1567306384.3250182,5912,1.0
1567306384.384956,5928,1.0
1567306384.443777,5944,1.0
1567306384.503079,5960,1.0
1567306384.6222641,5992,1.0
1567306384.737613,6020,1.0
1567306385.99162,6036,1.0
1567306386.1052532,6068,1.0
1567306386.2800388,6116,1.0
1567306386.3523352,6132,1.0
1567306387.6699781,6160,1.0
1567306387.7298071,6176,1.0
1567306387.7880042,6192,1.0
1567306387.848085,6208,1.0
1567306387.964044,6240,1.0
1567306388.022323,6256,1.0
1567306388.195313,6300,1.0
1567306389.4025679,6300,1.0
1567306389.5143669,6332,1.0
1567306389.689284,6380,1.0
1567306389.858031,6428,1.0
1567306389.914749,6440,1.0
1567306391.125996,6440,1.0
1567306391.184191,6456,1.0
1567306391.243733,6472,1.0
1567306391.370643,6504,1.0
1567306391.428652,6520,1.0
1567306391.48501,6536,1.0
1567306391.539971,6552,1.0
1567306391.5947468,6568,1.0
1567306391.649122,6580,1.0
1567306392.865864,6580,0.9928571581840515
1567306392.977204,6612,1.0
1567306393.092312,6644,1.0
1567306393.148874,6660,1.0
1567306393.327521,6708,1.0
1567306393.384293,6720,1.0
1567306394.76561,6768,1.0
1567306394.9336588,6816,1.0
1567306394.9887118,6832,1.0
1567306395.101184,6860,1.0
1567306396.307858,6860,1.0
1567306396.433152,6892,1.0
1567306396.488081,6908,1.0
1567306396.544117,6924,1.0
1567306396.7157812,6972,1.0
1567306396.777279,6988,1.0
1567306398.182013,7000,1.0
1567306398.435976,7064,1.0
1567306398.610882,7112,1.0
1567306398.668271,7128,1.0
1567306398.7264981,7140,1.0
1567306399.985775,7140,1.0
1567306400.045843,7156,1.0
1567306400.106708,7172,1.0
1567306400.167389,7188,1.0
1567306400.2845702,7220,1.0
1567306400.354617,7236,1.0
1567306400.419758,7252,1.0
1567306400.4772558,7268,1.0
1567306400.536161,7280,1.0
1567306401.809099,7280,1.0
1567306401.8685281,7296,1.0
1567306402.105841,7360,1.0
1567306402.1665862,7376,1.0
1567306403.750766,7452,1.0
1567306403.869049,7484,1.0
1567306403.926904,7500,1.0
1567306403.985661,7516,1.0
1567306404.043226,7532,1.0
1567306404.103434,7548,1.0
1567306404.161577,7560,1.0
1567306405.474585,7560,1.0
1567306405.531445,7576,1.0
1567306405.588276,7592,1.0
1567306405.6468859,7608,1.0
1567306405.709583,7624,1.0
1567306405.7702742,7640,1.0
1567306405.8292081,7656,1.0
1567306405.887795,7672,1.0
1567306405.946195,7688,1.0
1567306406.0056949,7700,1.0
1567306407.3272672,7700,1.0
1567306407.47006,7732,1.0
1567306407.532883,7748,1.0
1567306407.5927522,7764,1.0
1567306407.710529,7796,1.0
1567306407.828703,7828,1.0
1567306409.173291,7840,1.0
1567306409.24141,7856,1.0
1567306409.429754,7904,1.0
1567306409.489642,7920,1.0
1567306409.54805,7936,1.0
1567306409.6689699,7968,1.0
1567306409.729724,7980,1.0
1567306411.027837,7980,1.0
1567306411.150107,8012,1.0
1567306411.268817,8044,1.0
1567306411.3388789,8060,1.0
1567306411.456785,8092,1.0
1567306411.5164459,8108,1.0
1567306411.575731,8120,1.0
1567306412.9227068,8120,1.0
1567306412.985374,8136,1.0
1567306413.048411,8152,1.0
1567306413.111934,8168,1.0
1567306413.17238,8184,1.0
1567306413.2449799,8200,1.0
1567306413.37835,8232,1.0
1567306413.441642,8248,1.0
1567306413.499424,8260,1.0
1567306414.933808,8292,1.0
1567306414.993862,8308,1.0
1567306415.054432,8324,1.0
1567306415.1816268,8356,1.0
1567306415.241697,8372,1.0
1567306415.30145,8388,1.0
1567306415.3637938,8400,1.0
1567306416.7386692,8416,1.0
1567306416.8608902,8448,1.0
1567306416.9224472,8464,1.0
1567306416.985883,8480,1.0
1567306417.112277,8512,1.0
1567306417.2401211,8540,1.0
1567306418.625914,8556,1.0
1567306418.6882648,8572,1.0
1567306418.748502,8588,1.0
1567306418.927928,8636,1.0
1567306420.474097,8680,1.0
1567306420.535674,8696,1.0
1567306420.594996,8712,1.0
1567306420.6557581,8728,1.0
1567306420.717798,8744,1.0
1567306420.840148,8776,1.0
1567306420.900548,8792,1.0
1567306422.340702,8820,1.0
1567306422.40306,8836,1.0
1567306422.523796,8868,1.0
1567306422.6454022,8900,1.0
1567306422.705378,8916,1.0
1567306422.883899,8960,1.0
1567306424.249946,8976,1.0
1567306424.320537,8992,1.0
1567306424.3785741,9008,1.0
1567306424.501157,9040,1.0
1567306424.561461,9056,1.0
1567306424.620998,9072,1.0
1567306424.6805189,9088,1.0
1567306424.738975,9100,1.0
1567306426.0508668,9100,1.0
1567306426.1158369,9116,1.0
1567306426.179351,9132,1.0
1567306426.2412941,9148,1.0
1567306426.492782,9212,1.0
1567306426.5554922,9228,1.0
1567306427.933008,9240,1.0
1567306428.049685,9272,1.0
1567306428.108382,9288,1.0
1567306428.1676118,9304,1.0
1567306428.227454,9320,1.0
1567306428.293094,9336,1.0
1567306428.35919,9352,1.0
1567306428.4227881,9368,1.0
1567306428.481886,9380,1.0
1567306429.748694,9380,1.0
1567306429.865896,9412,1.0
1567306429.9246662,9428,1.0
1567306429.985337,9444,1.0
1567306430.044344,9460,1.0
1567306430.1036532,9476,1.0
1567306430.223212,9508,1.0
1567306430.280409,9520,1.0
1567306431.6583092,9520,1.0
1567306431.776445,9552,1.0
1567306431.835856,9568,1.0
1567306431.892616,9584,1.0
1567306431.94957,9600,1.0
1567306432.005857,9616,1.0
1567306432.0667078,9632,1.0
1567306432.125161,9648,1.0
1567306432.185009,9660,1.0
1567306433.48284,9660,1.0
1567306433.657967,9708,1.0
1567306433.776671,9740,1.0
1567306433.896111,9772,1.0
1567306435.286109,9800,1.0
1567306435.353772,9816,1.0
1567306435.414433,9832,1.0
1567306435.4735491,9848,1.0
1567306435.5326872,9864,1.0
1567306435.592538,9880,1.0
1567306435.650906,9896,1.0
1567306435.707337,9912,1.0
1567306435.763552,9928,1.0
1567306435.819242,9940,1.0
1567306437.129531,9940,1.0
1567306437.1910841,9956,1.0
1567306437.2495391,9972,1.0
1567306437.4463518,10020,1.0
1567306437.505224,10036,1.0
1567306437.67998,10080,1.0
1567306439.013107,10080,1.0
1567306439.134581,10112,1.0
1567306439.194601,10128,1.0
1567306439.252299,10144,1.0
1567306439.310816,10160,1.0
1567306439.380641,10176,1.0
1567306439.4407492,10192,1.0
1567306440.7924259,10220,1.0
1567306440.8504572,10236,1.0
1567306440.906055,10252,1.0
1567306441.133666,10316,1.0
1567306441.191327,10332,1.0
1567306441.302828,10360,1.0
1567306442.4883652,10360,1.0
1567306442.545535,10376,1.0
1567306442.599859,10392,1.0
1567306442.712325,10424,1.0
1567306442.880815,10472,1.0
1567306442.9355478,10488,1.0
1567306444.2082188,10500,1.0
1567306444.270196,10516,1.0
1567306444.334502,10532,1.0
1567306444.399209,10548,1.0
1567306444.4571252,10564,1.0
1567306444.51489,10580,1.0
1567306444.5727959,10596,1.0
1567306444.631232,10612,1.0
1567306445.960958,10640,1.0
1567306446.016683,10656,1.0
1567306446.130908,10688,1.0
1567306446.2483158,10720,1.0
1567306446.309185,10736,1.0
1567306446.371969,10752,1.0
1567306446.431851,10768,1.0
1567306447.6783261,10780,1.0
1567306447.7378402,10796,1.0
1567306447.794472,10812,1.0
1567306447.8520682,10828,1.0
1567306447.906883,10844,1.0
1567306447.962912,10860,1.0
1567306448.020546,10876,1.0
1567306448.0799308,10892,1.0
1567306449.441804,10920,1.0
1567306449.502774,10936,1.0
1567306449.692287,10984,1.0
1567306449.754223,11000,1.0
1567306449.8151412,11016,1.0
1567306449.933441,11048,1.0
1567306451.2006998,11060,1.0
1567306451.259962,11076,1.0
1567306451.329511,11092,1.0
1567306451.3865018,11108,1.0
1567306451.442583,11124,1.0
1567306451.4977589,11140,1.0
1567306451.5539699,11156,1.0
1567306451.609115,11172,1.0
1567306451.720478,11200,1.0
1567306452.929722,11200,1.0
1567306452.987038,11216,1.0
1567306453.102539,11248,1.0
1567306453.285111,11296,1.0
1567306453.3452291,11312,1.0
